Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1214,1,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [5.48],TOP,TOP
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",773,2,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [5.48],41-,46+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3058,3,MAGNUS MIDTBOE,NOR,TOP  1. | TOP  1. [5.48],38-,42-
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2254,4,SACHI AMMA,JPN,TOP  1. | TOP  1. [5.48],39-,41
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3129,5,CÉDRIC LACHAT,SUI,TOP  1. | 13   71. [17.38],40,40-
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",437,6,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [5.48],39,38-
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",447,7,MANUEL ROMAIN,FRA,48   8. | TOP  1. [7.75],38-,38-
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1476,8,VALERIY KRYUKOV,UKR,44   17. | TOP  1. [11.29],38+,33
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2032,9,SANGWON SON,KOR,42   21. | TOP  1. [12.55],38-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2039,10,HYUNBIN MIN,KOR,48-  9. | 30   19. [13.61],38-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",444,11,GAUTIER SUPPER,FRA,45-  13. | 30   19. [16.52],38-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1216,12,MARIO LECHNER,AUT,39   37. | TOP  1. [16.88],37,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",448,13,THOMAS BALLET,FRA,46-  11. | TOP  1. [9.08],34-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3124,14,THOMAS TAUPORN,GER,45   12. | TOP  1. [9.49],34-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1559,15,SEAN MCCOLL,CAN,42-  22. | TOP  1. [12.99],34-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",61,16,MIKHAIL CHERNIKOV,RUS,48-  9. | 32   15. [11.94],33-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1364,17,ADAM ONDRA,CZE,TOP  1. | TOP  1. [5.48],31,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4716,18,KLEMEN BECAN,SLO,41-  24. | 32-  16. [21.42],29+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2574,19,ALEXANDER MEGOS,GER,44+  16. | 28   29. [21.73],27-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",69,20,ALEKSEI SHCHERVIANIN,RUS,39-  40. | 32-  16. [26.40],27-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1129,21,DOMEN SKOFIC,SLO,40+  31. | 29+  23. [27.42],27-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1128,22,JURE RAZTRESEN,SLO,41-  24. | 29-  27. [27.00],26-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4935,23,FABRICE LANDRY,FRA,45-  13. | 29   25. [18.89],25-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",778,24,VICTOR ESTELLER OCAÑA,ESP,44-  18. | 26-  34. [25.26],25-,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2040,25,JIHWAN PARK,KOR,45-  13. | TOP  1. [10.25],24,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4643,26,EVGENY OVCHINNIKOV,RUS,43+  20. | 32-  16. [18.44],21,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4783,27,AKITO MATSUSHIMA,JPN,39+  36. | 30-  21. [27.82],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5034,28,MARTINO ISCHIA,ITA,41-  24. | 27-  31. [28.93],,
