Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1559,1,SEAN MCCOLL,CAN,TOP  1. | TOP  1. [4.24],TOP,35+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,2254,2,SACHI AMMA,JPN,TOP  1. | TOP  1. [4.24],38+,35
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1214,3,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [4.24],TOP,32-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,437,4,ROMAIN DESGRANGES,FRA,TOP  1. | 38   12. [8.83],TOP,31
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1127,5,URBAN PRIMOZIC,SLO,TOP  1. | 37+  17. [10.25],38,31-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3577,6,JORG VERHOEVEN,NED,TOP  1. | TOP  1. [4.24],TOP,30-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,447,7,MANUEL ROMAIN,FRA,TOP  1. | 38   12. [8.83],39+,30-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,2039,8,HYUNBIN MIN,KOR,TOP  1. | TOP  1. [4.24],39,30-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3058,9,MAGNUS MIDTBOE,NOR,43   12. | 39-  7. [9.80],36+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3124,10,THOMAS TAUPORN,GER,40+  20. | 38-  15. [18.47],36+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,773,11,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | 39-  7. [6.93],36,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,61,12,MIKHAIL CHERNIKOV,RUS,41-  17. | 35   24. [20.78],36,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4783,13,AKITO MATSUSHIMA,JPN,TOP  1. | 35-  25. [12.73],35+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1129,14,DOMEN SKOFIC,SLO,40+  20. | 41-  6. [11.49],33,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4776,15,MYKHAYLO SHALAGIN,UKR,42   14. | 36   21. [17.55],32,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4716,16,KLEMEN BECAN,SLO,40   25. | 38-  15. [20.27],32,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5256,17,EDUARD MARIN GARCIA,ESP,41-  17. | 35-  25. [22.05],32-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1216,18,MARIO LECHNER,AUT,TOP  1. | 38+  10. [7.94],30,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5005,19,MASAKI SHIBATA,JPN,36   32. | 39-  7. [16.00],30,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,855,20,STEFANO GHISOLFI,ITA,43-  13. | 37-  19. [15.92],30-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3430,21,FRANZ KRAKENBERGER,SUI,42-  15. | 36   21. [18.47],30-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1128,22,JURE RAZTRESEN,SLO,40+  20. | 37-  19. [20.71],30-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5033,23,SERGEJ EPIH,SLO,39+  29. | 36   21. [25.26],30-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,444,24,GAUTIER SUPPER,FRA,42-  15. | 38   12. [14.20],29,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3125,25,SEBASTIAN HALENKE,GER,40+  20. | 37+  17. [19.62],22,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4934,26,SHINTA OZAWA,JPN,35-  34. | 38+  10. [19.17],20-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4937,27,KAZUMA WATANABE,JPN,40+  20. | 33-  32. [26.74],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,854,28,MARCELLO BOMBARDI,ITA,40   25. | 35-  25. [26.75],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4950,29,SILVIO REFFO,ITA,40   25. | 33   31. [28.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,6139,30,EDWARD HAMER,GBR,35-  34. | 35-  25. [30.74],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1221,31,MAX RUDIGIER,AUT,41-  17. | 17-  52. [30.89],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,6092,32,SANTIAGO DE ALBA FLORES,MEX,39-  30. | 33-  32. [31.22],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,2033,33,JABEE KIM,KOR,40   25. | 30-  37. [32.15],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,314,34,LOÏC TIMMERMANS,BEL,31-  43. | 35-  25. [34.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5627,35,MARKUS JUNG,GER,37   31. | 30-  37. [34.77],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5956,36,IZIDOR ZUPAN,SLO,35-  34. | 30   35. [35.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,2938,37,ZIDA MA,CHN,34-  37. | 32-  34. [35.47],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4949,38,FILIP BABICZ,POL,31   42. | 34   30. [35.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4942,39,DAISUKE KONISHI,JPN,31-  43. | 30   35. [39.75],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,4582,40,MATEJ SOVA,SLO,36-  33. | 22+  48. [39.80],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,864,41,FRANCESCO VETTORATA,ITA,33+  38. | 29   42. [39.95],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1124,42,JERNEJ KRUDER,SLO,33   39. | 28-  43. [41.21],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5820,43,MAURICIO HUERTA,MEX,33   39. | 25   44. [41.69],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5034,44,MARTINO ISCHIA,ITA,29+  47. | 30-  37. [43.04],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3581,44,ELKO SCHELLINGERHOUT,NED,29+  47. | 30-  37. [43.04],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,3111,46,DAVID FIRNENBURG,GER,32   41. | 24+  46. [43.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,2014,47,CHRISTOPH HANKE,GER,15+  52. | 30-  37. [45.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,6140,48,STANISLAV PEKAREK,CZE,31-  43. | 22-  49. [46.70],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,6141,49,LUKE TILLEY,GBR,29   49. | 25-  45. [46.96],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5002,50,SEOLBIN SIM,KOR,31-  43. | 17-  52. [48.56],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,1367,51,TOMAS BINTER,CZE,15+  52. | 24   47. [49.67],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5036,52,EIRIK BIRKELUND OLSEN,NOR,23+  50. | 19-  51. [50.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5021,53,PAVLO VEKLA,UKR,16-  51. | 17-  52. [51.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,6142,54,DOMINIK UHER,CZE,12-  55. | 21-  50. [52.44],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,5805,55,KIRE SERAFIMOVSKI,MKD,14   54. | 16.5+  55. [54.50],,
