Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3577,1,JORG VERHOEVEN,NED,42+  19. | TOP  1. [8.94],43+,47+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1214,2,JAKOB SCHUBERT,AUT,42   22. | TOP  1. [9.49],44,46+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2254,3,SACHI AMMA,JPN,TOP  1. | TOP  1. [5.48],42+,46+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3058,4,MAGNUS MIDTBOE,NOR,TOP  1. | TOP  1. [5.48],41,44.5+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,773,5,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [5.48],44+,35+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3129,6,CÉDRIC LACHAT,SUI,TOP  1. | 42   9. [8.22],43+,32+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,437,7,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [5.48],41,27+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3124,8,THOMAS TAUPORN,GER,45   15. | 38+  19. [17.44],40+,27+
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,447,9,MANUEL ROMAIN,FRA,TOP  1. | TOP  1. [5.48],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2039,10,HYUNBIN MIN,KOR,TOP  1. | 39   18. [11.62],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,61,11,MIKHAIL CHERNIKOV,RUS,TOP  1. | 43   8. [7.75],37+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,855,12,STEFANO GHISOLFI,ITA,42+  19. | 41   12. [15.81],36,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,66,13,ARMAN TER-MINASYAN,RUS,41   30. | 41+  10. [18.04],34+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,444,14,GAUTIER SUPPER,FRA,TOP  1. | 39+  15. [10.95],26+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2261,15,MASAHIRO HIGUCHI,JPN,TOP  1. | 16+  44. [18.67],25+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,93,16,DMITRII FAKIRIANOV,RUS,39   34. | 41+  10. [19.31],25+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,864,17,FRANCESCO VETTORATA,ITA,41+  24. | 41   12. [18.20],24+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1127,18,URBAN PRIMOZIC,SLO,TOP  1. | 40   14. [10.25],24,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,448,19,THOMAS BALLET,FRA,TOP  1. | 39+  15. [10.95],23+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,854,20,MARCELLO BOMBARDI,ITA,42   22. | 39+  15. [18.97],23+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1216,21,MARIO LECHNER,AUT,45   15. | 35+  20. [18.55],23,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1128,21,JURE RAZTRESEN,SLO,45   15. | 35+  20. [18.55],23,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,65,23,EVGENII ZAZULIN,RUS,41+  24. | 35+  20. [23.87],23,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5256,24,EDUARD MARIN GARCIA,ESP,TOP  1. | 29+  32. [15.49],21+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3125,25,SEBASTIAN HALENKE,GER,TOP  1. | 28+  33. [16.09],17,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,4950,26,SILVIO REFFO,ITA,41+  24. | 35+  20. [23.87],16+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1221,27,MAX RUDIGIER,AUT,43   18. | 26+  38. [26.32],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5033,28,SERGEJ EPIH,SLO,41+  24. | 30+  27. [27.48],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,4947,29,REINALDO CAMACHO,VEN,40   33. | 34+  24. [28.43],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5627,30,MARKUS JUNG,GER,41+  24. | 30   31. [28.66],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2033,31,JABEE KIM,KOR,42+  19. | 21   42. [28.98],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,314,32,LOÏC TIMMERMANS,BEL,39   34. | 34+  24. [29.49],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5005,33,MASAKI SHIBATA,JPN,41   30. | 30+  27. [29.72],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5597,34,EMMANUEL LOPEZ,FRA,41+  24. | 28+  33. [30.24],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,778,35,VICTOR ESTELLER OCAÑA,ESP,39   34. | 30+  27. [31.81],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3889,36,MARTIN TEKLES,GER,36+  42. | 30+  27. [34.60],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1228,37,BERNHARD RÖCK,AUT,33   46. | 32   26. [34.77],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3581,38,ELKO SCHELLINGERHOUT,NED,37+  40. | 28+  33. [37.38],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2259,39,NAOTO HAKAMADA,JPN,41   30. | 16+  44. [37.97],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5014,40,YURIY DZYUBYAK,UKR,35   43. | 28+  33. [38.52],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3430,41,FRANZ KRAKENBERGER,SUI,38+  38. | 21+  40. [39.23],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,4945,42,LUKAS KÖB,AUT,38   39. | 21+  40. [39.74],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2014,43,CHRISTOPH HANKE,GER,39   34. | 16+  44. [40.63],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,3897,44,TOMAS RAVANAL,CHI,33+  45. | 27+  37. [40.80],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,6191,45,JOHN HENRY NILSSEN,NOR,32+  48. | 26+  38. [42.99],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5001,46,SAKAE NAKAHARA,JPN,37+  40. | 16   50. [45.00],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,6192,47,JAKOB HEBER NORUM,NOR,34+  44. | 16+  44. [45.23],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,6102,48,PETR CERMAK,CZE,31+  50. | 18+  43. [46.37],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,5559,49,HAFZANIZAM BOKHARI,MAS,32   49. | 16+  44. [47.73],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,1367,50,TOMAS BINTER,CZE,33   46. | 14+  51. [48.70],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,6020,50,MICHAL ROZEK,CZE,21   51. | 16+  44. [48.70],,
