Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2254,1,SACHI AMMA,M,JPN,TOP  1. | TOP  1. [6.32],40+,43+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",773,2,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | TOP  1. [6.32],39+,41+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1559,3,SEAN MCCOLL,M,CAN,TOP  1. | TOP  1. [6.32],TOP,40+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",61,4,MIKHAIL CHERNIKOV,M,RUS,TOP  1. | TOP  1. [6.32],40+,34+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3058,5,MAGNUS MIDTBOE,M,NOR,TOP  1. | TOP  1. [6.32],39+,25+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",448,6,THOMAS BALLET,M,FRA,TOP  1. | 35   13. [10.20],39+,25+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3124,7,THOMAS TAUPORN,M,GER,TOP  1. | 35+  11. [9.59],39+,20
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",437,8,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [6.32],39+,8+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2039,9,HYUNBIN MIN,M,KOR,TOP  1. | 28+  33. [16.97],39+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4783,10,AKITO MATSUSHIMA,M,JPN,39+  31. | 36+  10. [17.61],39+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1214,11,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [6.32],39,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1476,12,VALERIY KRYUKOV,M,UKR,44   21. | TOP  1. [10.49],39,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",855,13,STEFANO GHISOLFI,M,ITA,44+  16. | 35+  11. [14.39],35+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1216,14,MARIO LECHNER,M,AUT,TOP  1. | 33+  14. [11.14],34+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1129,15,DOMEN SKOFIC,M,SLO,TOP  1. | 32+  18. [13.56],34+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",463,16,THOMAS JOANNES,M,FRA,44   21. | 33+  14. [18.47],33,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",5597,17,EMMANUEL LOPEZ,M,FRA,44+  16. | 32+  18. [20.35],33,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",444,18,GAUTIER SUPPER,M,FRA,TOP  1. | 32+  18. [13.56],32,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",864,19,FRANCESCO VETTORATA,M,ITA,44+  16. | 30+  29. [23.43],32,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4936,20,KEVIN AGLAE,M,FRA,44+  16. | 32+  18. [20.35],28+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",778,21,VICTOR ESTELLER OCAÑA,M,ESP,TOP  1. | TOP  1. [6.32],27+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4950,22,SILVIO REFFO,M,ITA,38   34. | 33+  14. [23.12],26+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1127,23,URBAN PRIMOZIC,M,SLO,TOP  1. | 32+  18. [13.56],23+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4776,24,MYKHAYLO SHALAGIN,M,UKR,44+  16. | 32+  18. [20.35],23+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",5256,25,EDUARD MARIN GARCIA,M,ESP,43   24. | 33+  14. [19.69],21,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2014,26,CHRISTOPH HANKE,M,GER,43   24. | 32+  18. [23.98],18+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2259,27,NAOTO HAKAMADA,M,JPN,42+  27. | 32+  18. [25.15],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4864,28,IVAN KAUROV,M,RUS,42   29. | 32+  18. [26.05],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2033,29,JABEE KIM,M,KOR,38+  32. | 32+  18. [27.34],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",66,30,ARMAN TER-MINASYAN,M,RUS,43   24. | 30+  29. [27.61],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1746,31,VASYA VOROTNIKOV,M,USA,37+  36. | 32+  18. [29.56],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",6184,32,ANDREY SHAGIN,M,RUS,44   21. | 25+  43. [30.94],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",5923,33,ROMAIN BUSETTA,M,FRA,42+  27. | 28+  33. [31.46],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",854,34,MARCELLO BOMBARDI,M,ITA,37+  36. | 30+  29. [34.04],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",461,35,CHARLI BLEIN,M,FRA,38   34. | 28+  33. [35.24],,
