Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing World Championship - Paris (FRA) 2012,1214,1,JAKOB SCHUBERT,M,AUT,4.183,55+,52+
IFSC Climbing World Championship - Paris (FRA) 2012,1559,2,SEAN MCCOLL,M,CAN,3.24,54+,47+
IFSC Climbing World Championship - Paris (FRA) 2012,1364,3,ADAM ONDRA,M,CZE,4.183,52+,41+
IFSC Climbing World Championship - Paris (FRA) 2012,773,4,RAMÓN JULIAN PUIGBLANQUE,M,ESP,4.183,TOP,39
IFSC Climbing World Championship - Paris (FRA) 2012,3577,5,JORG VERHOEVEN,M,NED,6.519,49+,38+
IFSC Climbing World Championship - Paris (FRA) 2012,437,6,ROMAIN DESGRANGES,M,FRA,3.24,49+,35+
IFSC Climbing World Championship - Paris (FRA) 2012,2254,7,SACHI AMMA,M,JPN,5.292,49+,30+
IFSC Climbing World Championship - Paris (FRA) 2012,2039,8,HYUNBIN MIN,M,KOR,8.66,49+,30+
IFSC Climbing World Championship - Paris (FRA) 2012,3058,9,MAGNUS MIDTBOE,M,NOR,3.24,46+,
IFSC Climbing World Championship - Paris (FRA) 2012,4783,10,AKITO MATSUSHIMA,M,JPN,8.062,44+,
IFSC Climbing World Championship - Paris (FRA) 2012,447,10,MANUEL ROMAIN,M,FRA,6.519,44+,
IFSC Climbing World Championship - Paris (FRA) 2012,1216,12,MARIO LECHNER,M,AUT,7.583,43+,
IFSC Climbing World Championship - Paris (FRA) 2012,3129,13,CÉDRIC LACHAT,M,SUI,4.183,43,
IFSC Climbing World Championship - Paris (FRA) 2012,448,14,THOMAS BALLET,M,FRA,5.339,42+,
IFSC Climbing World Championship - Paris (FRA) 2012,61,14,MIKHAIL CHERNIKOV,M,RUS,5.916,42+,
IFSC Climbing World Championship - Paris (FRA) 2012,855,16,STEFANO GHISOLFI,M,ITA,6.205,41+,
IFSC Climbing World Championship - Paris (FRA) 2012,1127,16,URBAN PRIMOZIC,M,SLO,9.67,41+,
IFSC Climbing World Championship - Paris (FRA) 2012,1129,16,DOMEN SKOFIC,M,SLO,9.67,41+,
IFSC Climbing World Championship - Paris (FRA) 2012,1476,19,VALERIY KRYUKOV,M,UKR,7.599,41,
IFSC Climbing World Championship - Paris (FRA) 2012,3124,20,THOMAS TAUPORN,M,GER,8.367,40+,
IFSC Climbing World Championship - Paris (FRA) 2012,2040,21,JIHWAN PARK,M,KOR,6.708,40,
IFSC Climbing World Championship - Paris (FRA) 2012,5256,22,EDUARD MARIN GARCIA,M,ESP,7.365,33+,
IFSC Climbing World Championship - Paris (FRA) 2012,4716,23,KLEMEN BECAN,M,SLO,12.135,32+,
IFSC Climbing World Championship - Paris (FRA) 2012,778,23,VICTOR ESTELLER OCAÑA,M,ESP,11.38,32+,
IFSC Climbing World Championship - Paris (FRA) 2012,463,23,THOMAS JOANNES,M,FRA,8.367,32+,
IFSC Climbing World Championship - Paris (FRA) 2012,65,23,EVGENII ZAZULIN,M,RUS,12.135,32+,
IFSC Climbing World Championship - Paris (FRA) 2012,2033,27,JABEE KIM,M,KOR,12.135,30+,
IFSC Climbing World Championship - Paris (FRA) 2012,2261,28,MASAHIRO HIGUCHI,M,JPN,12.689,,
IFSC Climbing World Championship - Paris (FRA) 2012,93,29,DMITRII FAKIRIANOV,M,RUS,12.247,,
IFSC Climbing World Championship - Paris (FRA) 2012,864,29,FRANCESCO VETTORATA,M,ITA,15.732,,
IFSC Climbing World Championship - Paris (FRA) 2012,1128,31,JURE RAZTRESEN,M,SLO,15.811,,
IFSC Climbing World Championship - Paris (FRA) 2012,4937,31,KAZUMA WATANABE,M,JPN,17.321,,
IFSC Climbing World Championship - Paris (FRA) 2012,774,33,MARCO ANTONIO JUBES ANGARITA,M,ESP,18.561,,
IFSC Climbing World Championship - Paris (FRA) 2012,3581,33,ELKO SCHELLINGERHOUT,M,NED,16.233,,
IFSC Climbing World Championship - Paris (FRA) 2012,4947,35,REINALDO CAMACHO,M,VEN,19.596,,
IFSC Climbing World Championship - Paris (FRA) 2012,6092,35,SANTIAGO DE ALBA FLORES,M,MEX,18.675,,
IFSC Climbing World Championship - Paris (FRA) 2012,1221,37,MAX RUDIGIER,M,AUT,20.075,,
IFSC Climbing World Championship - Paris (FRA) 2012,4776,37,MYKHAYLO SHALAGIN,M,UKR,19.748,,
IFSC Climbing World Championship - Paris (FRA) 2012,314,37,LOÏC TIMMERMANS,M,BEL,19.748,,
IFSC Climbing World Championship - Paris (FRA) 2012,1746,37,VASYA VOROTNIKOV,M,USA,20.075,,
IFSC Climbing World Championship - Paris (FRA) 2012,4864,41,IVAN KAUROV,M,RUS,20.199,,
IFSC Climbing World Championship - Paris (FRA) 2012,4950,41,SILVIO REFFO,M,ITA,20.31,,
IFSC Climbing World Championship - Paris (FRA) 2012,5820,43,MAURICIO HUERTA,M,MEX,20.976,,
IFSC Climbing World Championship - Paris (FRA) 2012,1481,43,ANTON MARDASHOV,M,UKR,20.402,,
IFSC Climbing World Championship - Paris (FRA) 2012,2042,45,SEUNGWOON CHO,M,KOR,21.909,,
IFSC Climbing World Championship - Paris (FRA) 2012,3358,45,ARTYOM DEVYATERIKOV,M,KAZ,22.5,,
IFSC Climbing World Championship - Paris (FRA) 2012,3780,47,ANDRÉ NERES,M,POR,23.452,,
IFSC Climbing World Championship - Paris (FRA) 2012,3897,47,TOMAS RAVANAL,M,CHI,22.732,,
IFSC Climbing World Championship - Paris (FRA) 2012,78,47,NIKITA SUYUSHKIN,M,RUS,22.732,,
IFSC Climbing World Championship - Paris (FRA) 2012,2798,50,ANTHONY GULLSTEN,M,FIN,24.031,,
IFSC Climbing World Championship - Paris (FRA) 2012,4901,51,TRUONG NGO,M,NED,26.048,,
IFSC Climbing World Championship - Paris (FRA) 2012,5437,51,ETHAN PRINGLE,M,USA,24.187,,
IFSC Climbing World Championship - Paris (FRA) 2012,5619,53,KHAIRUL HAFIZ ABU HASSAN,M,MAS,25.495,,
IFSC Climbing World Championship - Paris (FRA) 2012,2416,53,KALIN GARBOV,M,BUL,26.249,,
IFSC Climbing World Championship - Paris (FRA) 2012,2041,55,HANWOOL KIM,M,KOR,27.659,,
IFSC Climbing World Championship - Paris (FRA) 2012,4865,55,SERGEI SHAFEROV,M,BLR,27.96,,
IFSC Climbing World Championship - Paris (FRA) 2012,1367,57,TOMAS BINTER,M,CZE,29.749,,
IFSC Climbing World Championship - Paris (FRA) 2012,1574,57,ROBERT STEWART-PATTERSON,M,CAN,30,,
IFSC Climbing World Championship - Paris (FRA) 2012,5014,59,YURIY DZYUBYAK,M,UKR,29.85,,
IFSC Climbing World Championship - Paris (FRA) 2012,6191,59,JOHN HENRY NILSSEN,M,NOR,30.463,,
IFSC Climbing World Championship - Paris (FRA) 2012,5510,61,BOYKO LALOV,M,BUL,30.806,,
IFSC Climbing World Championship - Paris (FRA) 2012,2046,61,SUNGBO SEO,M,KOR,30.241,,
IFSC Climbing World Championship - Paris (FRA) 2012,6286,63,LUCAS GAONA,M,CHI,32.496,,
IFSC Climbing World Championship - Paris (FRA) 2012,4964,63,MAGNUS HÖGSTRÖM,M,SWE,32,,
IFSC Climbing World Championship - Paris (FRA) 2012,634,65,DAVID BARRANS,M,GBR,33.952,,
IFSC Climbing World Championship - Paris (FRA) 2012,3036,65,NIKOLA KRAMARIC,M,CRO,32.958,,
IFSC Climbing World Championship - Paris (FRA) 2012,5559,67,HAFZANIZAM BOKHARI,M,MAS,35.242,,
IFSC Climbing World Championship - Paris (FRA) 2012,1725,67,JOSEPH GIFFORD,M,USA,34.176,,
