Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1364,1,ADAM ONDRA,M,CZE,TOP  1. | TOP  1. [7.98],40+,39+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1559,2,SEAN MCCOLL,M,CAN,TOP  1. | TOP  1. [7.98],39,34+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,444,3,GAUTIER SUPPER,M,FRA,TOP  1. | TOP  1. [7.98],37,33+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1214,4,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [7.98],37+,30+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,437,5,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [7.98],40+,30
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2254,6,SACHI AMMA,M,JPN,TOP  1. | TOP  1. [7.98],40+,28+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2039,7,HYUNBIN MIN,M,KOR,37   21. | TOP  1. [12.70],42+,24+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,773,8,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | TOP  1. [7.98],40+,20
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,447,9,MANUEL ROMAIN,M,FRA,TOP  1. | TOP  1. [7.98],36+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,855,10,STEFANO GHISOLFI,M,ITA,TOP  1. | TOP  1. [7.98],36,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1129,11,DOMEN SKOFIC,M,SLO,TOP  1. | TOP  1. [7.98],34+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,864,12,FRANCESCO VETTORATA,M,ITA,38   20. | TOP  1. [12.25],33+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,448,13,THOMAS BALLET,M,FRA,TOP  1. | TOP  1. [7.98],32+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1127,14,URBAN PRIMOZIC,M,SLO,TOP  1. | 45+  15. [11.29],32+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3124,15,THOMAS TAUPORN,M,GER,36+  23. | 40+  24. [24.48],32+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1216,16,MARIO LECHNER,M,AUT,TOP  1. | TOP  1. [7.98],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1576,17,ELAN JONASMCRAE,M,CAN,37   21. | 42+  20. [20.99],30.5+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2033,18,JABEE KIM,M,KOR,TOP  1. | 39   30. [16.10],30+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,314,19,LOÏC TIMMERMANS,M,BEL,39+  17. | 41+  22. [19.56],30+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,5324,20,FLAVIEN GUERIMAND,M,FRA,39   18. | 40+  24. [21.72],24,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2271,21,NAOKI SHIMATANI,M,JPN,39   18. | 42+  20. [19.47],23+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1228,22,BERNHARD RÖCK,M,AUT,35+  25. | 43+  18. [21.72],23+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,4940,23,TATSUMI NITTA,M,JPN,TOP  1. | 43+  18. [12.54],23,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2276,24,TOMOA NARASAKI,M,JPN,35   27. | 44+  16. [21.30],23,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2259,25,NAOTO HAKAMADA,M,JPN,35+  25. | 41+  22. [23.95],22,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,463,26,THOMAS JOANNES,M,FRA,TOP  1. | 44+  16. [11.84],16+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,6268,27,CLEMENT VERNAISON,M,FRA,35   27. | 39+  28. [28.00],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,854,28,MARCELLO BOMBARDI,M,ITA,33   30. | 39+  28. [29.24],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3581,29,ELKO SCHELLINGERHOUT,M,NED,31+  32. | 40+  24. [29.66],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,6185,30,LUDOVIC LEFEVRE,M,FRA,36+  23. | 27+  38. [29.88],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3125,31,SEBASTIAN HALENKE,M,GER,32   31. | 39   30. [30.75],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3985,32,YIFTACH KUSHNIR,M,ISR,17+  39. | 40+  24. [31.54],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,461,33,CHARLI BLEIN,M,FRA,34+  29. | 32   37. [32.76],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,4790,34,BENOIT HEINTZ,M,FRA,31+  32. | 38+  32. [33.23],,
