Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1364,1,ADAM ONDRA,M,CZE,TOP  1. | 31   7. [5.92],54+,41+
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1559,2,SEAN MCCOLL,M,CAN,TOP  1. | 33+  5. [5.00],53+,39+
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1214,3,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [2.74],TOP,39
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,437,4,ROMAIN DESGRANGES,M,FRA,TOP  1. | 30+  8. [6.89],59+,39
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,444,5,GAUTIER SUPPER,M,FRA,TOP  1. | 33   6. [5.48],53+,38+
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,773,6,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | 34+  3. [4.18],TOP,33+
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1129,7,DOMEN SKOFIC,M,SLO,TOP  1. | 29+  13. [8.66],59+,32
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,855,8,STEFANO GHISOLFI,M,ITA,41+  10. | TOP  1. [3.87],49,4+
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,3125,9,SEBASTIAN HALENKE,M,GER,TOP  1. | 24   24. [11.07],48+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,3058,10,MAGNUS MIDTBOE,M,NOR,18+  32. | 34+  3. [11.30],47+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1127,11,URBAN PRIMOZIC,M,SLO,19+  21. | 29+  13. [18.57],46+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,448,12,THOMAS BALLET,M,FRA,29   18. | 29+  13. [16.43],44+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1216,13,MARIO LECHNER,M,AUT,36+  13. | 25   19. [16.82],42,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,854,14,MARCELLO BOMBARDI,M,ITA,37+  12. | 24+  21. [16.25],41+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,447,15,MANUEL ROMAIN,M,FRA,19   26. | 30+  8. [16.45],41+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,864,16,FRANCESCO VETTORATA,M,ITA,16   55. | 30+  8. [22.96],41+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,2273,17,KEIICHIRO KORENAGA,M,JPN,TOP  1. | 25   19. [9.87],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,61,18,MIKHAIL CHERNIKOV,M,RUS,16   55. | 30+  8. [22.96],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,314,19,LOÏC TIMMERMANS,M,BEL,19+  21. | 25+  18. [20.35],39+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,2041,20,HANWOOL KIM,M,KOR,16+  42. | 30   12. [24.00],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1221,21,MAX RUDIGIER,M,AUT,36+  13. | 22+  26. [19.97],31+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1576,22,ELAN JONASMCRAE,M,CAN,36+  13. | 19+  36. [23.47],30+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1234,23,GEORG PARMA,M,AUT,19+  21. | 24   24. [23.74],29+,
