Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,444,1,GAUTIER SUPPER,M,FRA,38+  7. | TOP  1. [6.75],52,43+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1364,2,ADAM ONDRA,M,CZE,TOP  1. | TOP  1. [4.42],49+,40+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,437,3,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [4.42],55+,39+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1214,4,JAKOB SCHUBERT,M,AUT,38   8. | TOP  1. [7.21],49+,36+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,855,5,STEFANO GHISOLFI,M,ITA,40+  6. | TOP  1. [6.24],49+,35+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,864,6,FRANCESCO VETTORATA,M,ITA,35   9. | TOP  1. [7.65],49+,34+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1129,7,DOMEN SKOFIC,M,SLO,TOP  1. | TOP  1. [4.42],52+,29+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3125,8,SEBASTIAN HALENKE,M,GER,TOP  1. | TOP  1. [4.42],51,23
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3058,9,MAGNUS MIDTBOE,M,NOR,TOP  1. | 36   14. [6.48],46+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,773,10,RAMÓN JULIAN PUIGBLANQUE,M,ESP,33+  10. | TOP  1. [8.26],46+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1127,11,URBAN PRIMOZIC,M,SLO,32   15. | TOP  1. [10.04],46+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,314,12,LOÏC TIMMERMANS,M,BEL,32   15. | 33   17. [16.23],46+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1559,13,SEAN MCCOLL,M,CAN,32+  13. | TOP  1. [9.37],46,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,463,14,THOMAS JOANNES,M,FRA,31+  17. | 32   20. [18.71],45+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1221,15,MAX RUDIGIER,M,AUT,31   19. | TOP  1. [11.68],44+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2014,16,CHRISTOPH HANKE,M,GER,31   19. | 32+  18. [19.71],43+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,448,17,THOMAS BALLET,M,FRA,33   12. | 35+  15. [13.64],43,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,61,18,MIKHAIL CHERNIKOV,M,RUS,32+  13. | 32+  18. [15.80],43,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,854,19,MARCELLO BOMBARDI,M,ITA,31   19. | 36+  13. [16.52],41+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1216,20,MARIO LECHNER,M,AUT,33+  10. | 30   22. [15.20],31+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3056,21,MARTIN MOBRÅTEN,M,NOR,29   26. | 25   24. [25.50],29+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,308,22,STEPHANE HANSSENS,M,BEL,31+  17. | 25   24. [20.92],25+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1228,23,BERNHARD RÖCK,M,AUT,22+  29. | 35+  15. [21.92],25+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,4945,24,LUKAS KÖB,M,AUT,31   19. | 26   23. [21.98],25,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2667,25,HANNES PUMAN,M,SWE,31   19. | 25   24. [22.91],25,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2291,26,TOMOAKI TAKATA,M,JPN,27   27. | 31   21. [23.81],14,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2259,27,NAOTO HAKAMADA,M,JPN,30   25. | 24+  27. [26.69],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3982,28,OR WECHSLER,M,ISR,30+  24. | 22+  33. [28.14],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1576,29,ELAN JONASMCRAE,M,CAN,26+  28. | 23   31. [29.70],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,4964,30,MAGNUS HÖGSTRÖM,M,SWE,22+  29. | 24+  27. [29.72],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1367,31,TOMAS BINTER,M,CZE,22+  29. | 21+  34. [34.32],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3057,31,STIAN CHRISTOPHERSEN,M,NOR,22+  29. | 21+  34. [34.32],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3985,31,YIFTACH KUSHNIR,M,ISR,22+  29. | 21+  34. [34.32],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1378,34,MARTIN JECH,M,CZE,17   39. | 23   31. [36.16],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6192,35,JAKOB HEBER NORUM,M,NOR,19+  34. | 21+  34. [36.21],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2670,35,FREDRIK SERLACHIUS,M,SWE,19+  34. | 21+  34. [36.21],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6438,37,JON PÅL HAMRE,M,NOR,17+  36. | 21+  34. [37.50],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,776,38,JAVIER CANO BLAZQUEZ,M,ESP,13+  49. | 24+  27. [37.56],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3248,38,KEVIN HUSER,M,SUI,13+  49. | 24+  27. [37.56],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6439,40,JAN EIVIND DANIELSEN,M,NOR,17   39. | 21+  34. [39.71],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3070,41,KENNETH ELVEGÅRD,M,NOR,17+  36. | 18+  45. [41.03],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,4322,42,REMO LEHMANN,M,SUI,15+  45. | 21+  34. [41.81],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6440,43,CHRISTER RAUGLAND,M,NOR,17   39. | 19+  43. [42.24],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1586,44,NATHAN SMITH,M,CAN,17   39. | 19   44. [42.73],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6441,45,TARJEI HAMRE,M,NOR,13   51. | 21+  34. [44.02],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3063,46,MARTINUS HALS SKAR,M,NOR,17+  36. | 11+  56. [45.52],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3062,47,ROLF -MARTIN BJØRNGAARD,M,NOR,15+  45. | 18+  45. [45.75],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6442,48,JARLE KALLAND,M,NOR,15+  45. | 17+  47. [46.74],,
