Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1129,1,DOMEN SKOFIC,SLO,TOP  1. | TOP  1. [4.77],TOP,TOP
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1214,2,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [4.77],40,50+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,773,3,RAMÓN JULIAN PUIGBLANQUE,ESP,44+  7. | TOP  1. [6.75],48+,49+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,444,4,GAUTIER SUPPER,FRA,TOP  1. | TOP  1. [4.77],47+,48+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,855,5,STEFANO GHISOLFI,ITA,41   10. | TOP  1. [8.46],TOP,42
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,437,6,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [4.77],40,41
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2261,7,MASAHIRO HIGUCHI,JPN,40   21. | TOP  1. [11.96],39+,37+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1221,8,MAX RUDIGIER,AUT,40+  13. | 43+  13. [14.92],40,29+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,864,9,FRANCESCO VETTORATA,ITA,40+  13. | TOP  1. [10.36],39,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3125,10,SEBASTIAN HALENKE,GER,TOP  1. | TOP  1. [4.77],38,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1364,10,ADAM ONDRA,CZE,TOP  1. | TOP  1. [4.77],38,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1127,12,URBAN PRIMOZIC,SLO,41+  8. | TOP  1. [7.43],36+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,463,13,THOMAS JOANNES,FRA,41   10. | 42+  15. [13.06],36+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2289,14,MINORU NAKANO,JPN,40+  13. | 37+  25. [20.51],36+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,314,15,LOÏC TIMMERMANS,BEL,41   10. | 42+  15. [13.06],35+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2014,16,CHRISTOPH HANKE,GER,39   25. | 43+  13. [18.55],35+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,461,17,CHARLI BLEIN,FRA,40   21. | 41+  17. [19.90],35+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,308,18,STEPHANE HANSSENS,BEL,40+  13. | 33+  36. [25.37],35+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,465,19,MAËL BONZOM,FRA,40+  13. | 39   23. [19.48],32+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,776,20,JAVIER CANO BLAZQUEZ,ESP,40+  13. | 39+  21. [18.83],29,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,854,21,MARCELLO BOMBARDI,ITA,39   25. | 39+  21. [23.41],28,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1216,22,MARIO LECHNER,AUT,40+  13. | TOP  1. [10.36],27+,
