Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1559,1,SEAN MCCOLL,M,CAN,TOP  1. | 23   29. [12.35],34+,28+
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2273,2,KEIICHIRO KORENAGA,M,JPN,41+  10. | 40   3. [5.74],39,25+
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",463,3,THOMAS JOANNES,M,FRA,TOP  1. | 19+  45. [15.49],29+,25+
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1741,4,SEAN BAILEY,M,USA,TOP  1. | 31   5. [5.00],28+,24+
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1127,5,URBAN PRIMOZIC,M,SLO,37+  18. | 23+  16. [22.49],28,22
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1214,6,JAKOB SCHUBERT,M,AUT,TOP  1. | 28+  6. [5.70],29+,19
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2261,7,MASAHIRO HIGUCHI,M,JPN,39   14. | 23+  16. [17.55],29,19
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2272,8,KOKORO FUJII,M,JPN,37+  18. | 27+  8. [15.17],28,17
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",855,9,STEFANO GHISOLFI,M,ITA,TOP  1. | 35+  4. [4.47],27+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2271,10,NAOKI SHIMATANI,M,JPN,TOP  1. | 23+  16. [10.49],27+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",461,11,CHARLI BLEIN,M,FRA,33+  32. | 27+  8. [18.03],27+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",499,12,NATHAN MICHEL,M,FRA,33+  32. | 24   13. [21.33],27+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1129,13,DOMEN SKOFIC,M,SLO,TOP  1. | 40+  1. [2.74],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",444,13,GAUTIER SUPPER,M,FRA,TOP  1. | 40+  1. [2.74],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2041,15,HANWOOL KIM,M,KOR,TOP  1. | 23   29. [12.35],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2040,16,JIHWAN PARK,M,KOR,38   15. | 27+  8. [12.65],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",465,17,MAËL BONZOM,M,FRA,37+  18. | 24   13. [17.94],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",4299,18,SASCHA LEHMANN,M,SUI,38   15. | 23+  16. [18.76],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",880,19,STEFANO CARNATI,M,ITA,27   40. | 27+  8. [20.12],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",314,20,LOÏC TIMMERMANS,M,BEL,37+  18. | 23+  16. [22.49],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",320,21,NICOLAS COLLIN,M,BEL,17   58. | 27+  8. [24.49],25+,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2289,22,MINORU NAKANO,M,JPN,37+  18. | 28+  6. [12.23],25,
