Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1129,1,DOMEN SKOFIC,M,SLO,TOP  1. | TOP  1. [7.35],43+,37+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,437,2,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [7.35],40+,37
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1559,3,SEAN MCCOLL,M,CAN,TOP  1. | TOP  1. [7.35],41+,35+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,444,4,GAUTIER SUPPER,M,FRA,TOP  1. | TOP  1. [7.35],37+,34
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2261,5,MASAHIRO HIGUCHI,M,JPN,TOP  1. | 39+  8. [11.32],36+,24+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,4299,6,SASCHA LEHMANN,M,SUI,33+  28. | 39+  8. [18.10],36+,24
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1127,7,URBAN PRIMOZIC,M,SLO,TOP  1. | 34+  13. [14.70],36+,20+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1214,8,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [7.35],40+,16
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,855,9,STEFANO GHISOLFI,M,ITA,TOP  1. | 39+  8. [11.32],36,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2307,10,MEICHI NARASAKI,M,JPN,TOP  1. | 34+  13. [14.70],35,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2041,11,HANWOOL KIM,M,KOR,TOP  1. | 37+  12. [12.73],33,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,864,12,FRANCESCO VETTORATA,M,ITA,TOP  1. | 34+  13. [14.70],32.5,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,773,13,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | TOP  1. [7.35],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1741,14,SEAN BAILEY,M,USA,TOP  1. | 39+  8. [11.32],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,463,15,THOMAS JOANNES,M,FRA,TOP  1. | 34+  13. [14.70],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2667,16,HANNES PUMAN,M,SWE,TOP  1. | 29+  29. [22.80],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1216,17,MARIO LECHNER,M,AUT,TOP  1. | 34   20. [16.43],29,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,461,18,CHARLI BLEIN,M,FRA,TOP  1. | 29+  29. [22.80],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3111,19,DAVID FIRNENBURG,M,GER,TOP  1. | 29+  29. [22.80],27+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,60,19,RUSTAM GELMANOV,M,RUS,TOP  1. | 29+  29. [22.80],27+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2296,21,KAYA OTAKA,M,JPN,33   42. | 34+  13. [25.92],26+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3248,22,KEVIN HUSER,M,SUI,TOP  1. | 27+  52. [26.87],22+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,451,23,ANATOLE BOSIO,M,FRA,TOP  1. | 29+  29. [22.80],19+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,979,24,ALBERTO GOTTA,M,ITA,33+  28. | 34+  13. [23.49],19+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3889,25,MARTIN TEKLES,M,GER,TOP  1. | 29+  29. [22.80],17,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3125,26,SEBASTIAN HALENKE,M,GER,TOP  1. | TOP  1. [7.35],15+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,314,27,LOÏC TIMMERMANS,M,BEL,33+  28. | 32+  21. [26.92],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3112,28,RUBEN FIRNENBURG,M,GER,TOP  1. | 27   56. [27.62],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2042,29,SEUNGWOON CHO,M,KOR,33+  28. | 32   22. [28.17],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2040,29,JIHWAN PARK,M,KOR,33+  28. | 32   22. [28.17],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3131,31,YANNICK FLOHÉ,M,GER,TOP  1. | 26+  58. [28.58],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,788,32,ÀLEX HERNÁNDEZ CASTILLA,M,ESP,TOP  1. | 22   66. [29.85],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2014,33,CHRISTOPH HANKE,M,GER,33+  28. | 31+  25. [29.95],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2289,34,MINORU NAKANO,M,JPN,33+  28. | 31   28. [31.08],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2332,35,KAI HARADA,M,JPN,27+  63. | 34+  13. [32.00],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1221,36,MAX RUDIGIER,M,AUT,32+  43. | 31+  25. [34.39],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,459,36,ADRIEN TRIBOUT,M,FRA,32+  43. | 31+  25. [34.39],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1135,38,MARTIN BERGANT,M,SLO,33+  28. | 29+  29. [36.45],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,499,38,NATHAN MICHEL,M,FRA,33+  28. | 29+  29. [36.45],,
