Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2273,1,KEIICHIRO KORENAGA,JPN,39+  10. | 23   20. [14.49],38+,41+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2276,2,TOMOA NARASAKI,JPN,TOP  1. | 26   8. [3.46],34,45
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2947,3,YUFEI PAN,CHN,32   14. | 20   31. [20.83],33,44+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2052,4,JONGWON CHON,KOR,29+  16. | 22+  23. [21.29],31+,45+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",1489,5,FEDIR SAMOILOV,UKR,29+  16. | 23   20. [19.71],30+,44+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2272,6,KOKORO FUJII,JPN,43   8. | 27   1. [2.83],29+,40+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",855,7,STEFANO GHISOLFI,ITA,43+  3. | 26+  2. [4.74],26+,45
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2931,8,HAIBIN QU,CHN,43+  3. | 23+  13. [8.94],17+,44+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",463,9,THOMAS JOANNES,FRA,29+  16. | 23+  13. [17.20],,40+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2041,10,HANWOOL KIM,KOR,37+  12. | 26+  2. [7.35],,39+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2261,11,MASAHIRO HIGUCHI,JPN,31+  15. | 26+  2. [8.22],,39+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2057,12,MINYOUNG LEE,KOR,29+  16. | 22+  23. [21.29],,30+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",3889,13,MARTIN TEKLES,GER,41+  9. | 23+  13. [12.00],,26
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",864,14,FRANCESCO VETTORATA,ITA,16   34. | 24   10. [19.48],,26
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2309,15,YOSHIYUKI OGATA,JPN,TOP  1. | 24   10. [4.06],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2301,16,YUKI HADA,JPN,43+  3. | 23+  13. [8.94],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",1129,17,DOMEN SKOFIC,SLO,29   22. | 26+  2. [9.95],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",1221,18,MAX RUDIGIER,AUT,37   13. | 23+  13. [14.42],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",1576,19,ELAN JONASMCRAE,CAN,26+  26. | 24   10. [16.91],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",979,20,ALBERTO GOTTA,ITA,38   11. | 12+  34. [19.76],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2667,21,HANNES PUMAN,SWE,28   25. | 23+  13. [20.00],,25+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",437,22,ROMAIN DESGRANGES,FRA,43+  3. | 26+  2. [4.74],,24
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",854,23,MARCELLO BOMBARDI,ITA,29+  16. | 26+  2. [9.12],,23+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",776,24,JAVIER CANO BLAZQUEZ,ESP,18   33. | 24+  9. [17.23],,23+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",314,25,LOÏC TIMMERMANS,BEL,29+  16. | 23+  13. [17.20],,22+
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2014,26,CHRISTOPH HANKE,GER,43+  3. | 22+  23. [11.07],,14
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",3422,27,JAN HOJER,GER,28+  23. | 23   20. [22.21],,
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2493,28,CAMPBELL HARRISON,AUS,28+  23. | 22+  23. [23.99],,
