Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2574,1,ALEXANDER MEGOS,M,GER,TOP  1. | TOP  1. [1.94],39+,45+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,437,2,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [1.94],37+,43
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1129,3,DOMEN SKOFIC,M,SLO,38+  7. | 37+  4. [8.15],41+,42+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1214,4,JAKOB SCHUBERT,M,AUT,TOP  1. | 37+  4. [4.18],38+,42+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,855,5,STEFANO GHISOLFI,M,ITA,TOP  1. | 38+  3. [2.74],37+,41+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,463,6,THOMAS JOANNES,M,FRA,31+  22. | 37+  4. [14.12],39,34+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,4299,7,SASCHA LEHMANN,M,SUI,38+  7. | 36   16. [12.71],36+,32
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2285,8,HIROTO SHIMIZU,M,JPN,38+  7. | 37+  4. [8.15],37,28+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2370,9,TAISEI HOMMA,M,JPN,32+  20. | 36+  12. [16.64],36+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1741,10,SEAN BAILEY,M,USA,38+  7. | 33   35. [18.49],36+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,773,11,RAMÓN JULIAN PUIGBLANQUE,M,ESP,41+  5. | 34+  24. [11.07],35+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2301,12,YUKI HADA,M,JPN,38   13. | 36+  12. [13.25],35+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1559,13,SEAN MCCOLL,M,CAN,34+  17. | 36+  12. [15.15],33+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2667,14,HANNES PUMAN,M,SWE,32+  20. | 36   16. [18.67],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1221,15,MAX RUDIGIER,M,AUT,38+  7. | 33+  31. [17.57],32,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2289,16,MINORU NAKANO,M,JPN,31+  22. | 36+  12. [19.62],32,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2039,17,HYUNBIN MIN,M,KOR,38+  7. | 34   26. [16.31],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,519,18,NAO MONCHOIS,M,FRA,31+  22. | 35+  19. [23.87],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2306,19,TAITO NAKAGAMI,M,JPN,37   14. | 35+  19. [17.32],30,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,864,20,FRANCESCO VETTORATA,M,ITA,39+  6. | 37+  4. [6.48],29,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2261,21,MASAHIRO HIGUCHI,M,JPN,31+  22. | 37   11. [17.71],26+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1389,22,JAKUB KONECNY,M,CZE,37   14. | 32   40. [24.49],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,854,23,MARCELLO BOMBARDI,M,ITA,33+  18. | 37+  4. [11.22],21,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,532,24,SAM AVEZOU,M,FRA,33   19. | 34   26. [23.07],21,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,649,25,JAMES POPE,M,GBR,31+  22. | 35+  19. [23.87],20,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,593,26,ROMARIC GEFFROY,M,FRA,19+  59. | 37+  4. [20.32],14+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,648,27,WILLIAM BOSI,M,GBR,30+  36. | 36   16. [24.91],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1170,28,LUKA POTOCAR,M,SLO,37   14. | 30   43. [25.84],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1234,29,GEORG PARMA,M,AUT,31+  22. | 33+  31. [30.43],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2336,29,SHUTA TANAKA,M,JPN,31+  22. | 33+  31. [30.43],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,912,31,FILIP SCHENK,M,ITA,28+  43. | 35   22. [31.46],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,776,32,JAVIER CANO BLAZQUEZ,M,ESP,28   46. | 35   22. [32.52],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,318,33,SIMON LORENZI,M,BEL,31+  22. | 32+  38. [33.12],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,172,33,VLADISLAV SHEVCHENKO,M,RUS,31+  22. | 32+  38. [33.12],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2014,35,CHRISTOPH HANKE,M,GER,23   51. | 34+  24. [35.69],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3889,36,MARTIN TEKLES,M,GER,28+  43. | 33+  31. [37.82],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,516,37,ARSÈNE DUVAL,M,FRA,31+  22. | 29+  47. [38.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1489,37,FEDIR SAMOILOV,M,UKR,31+  22. | 29+  47. [38.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3427,37,DIMITRI VOGT,M,SUI,31+  22. | 29+  47. [38.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,314,40,LOÏC TIMMERMANS,M,BEL,29   42. | 33   35. [38.88],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1772,41,KAI LIGHTNER,M,USA,30+  36. | 31+  41. [38.92],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,320,42,NICOLAS COLLIN,M,BEL,22+  54. | 34   26. [39.24],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3989,43,YUVAL SHEMLA,M,ISR,28+  43. | 33   35. [39.80],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,765,44,PHILIPP MARTIN,M,GER,29+  38. | 30   43. [41.93],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2368,45,HIDEMASA NISHIDA,M,JPN,31+  22. | 27+  63. [42.54],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3125,46,SEBASTIAN HALENKE,M,GER,16+  65. | 34   26. [42.99],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,60,47,RUSTAM GELMANOV,M,RUS,31+  22. | 27   65. [43.86],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,775,48,ERIC LOPEZ MATEOS,M,ESP,28   46. | 31+  41. [44.16],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1264,49,MATTHIAS SCHIESTL,M,AUT,15+  70. | 34   26. [45.06],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1773,50,RUDOLPH RUANA,M,USA,29+  38. | 29+  47. [45.32],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1576,51,ELAN JONASMCRAE,M,CAN,29+  38. | 29   58. [48.48],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1135,52,MARTIN BERGANT,M,SLO,20+  57. | 30   43. [50.58],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1946,53,TIMOTHY KANG,M,USA,23+  50. | 29+  47. [50.99],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,308,54,STEPHANE HANSSENS,M,BEL,29+  38. | 27   65. [51.64],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,797,55,JONATAN FLOR VAZQUEZ,M,ESP,22+  54. | 29+  47. [53.48],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,621,55,ARTHUR GUINET,M,FRA,22+  54. | 29+  47. [53.48],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1367,57,TOMAS BINTER,M,CZE,20+  57. | 29+  47. [54.68],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,470,58,JEREMY BONDER,M,FRA,23   51. | 29   58. [55.62],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,65,58,EVGENII ZAZULIN,M,RUS,23   51. | 29   58. [55.62],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1251,60,MATHIAS POSCH,M,AUT,28   46. | 27   65. [56.32],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,634,61,DAVID BARRANS,M,GBR,27   49. | 27   65. [57.51],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,792,62,BITTOR ESPARTA FRADE,M,ESP,15   76. | 30   43. [58.92],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1713,63,JOSH LEVIN,M,USA,15+  70. | 29+  47. [61.40],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,69,63,ALEKSEI SHCHERVIANIN,M,RUS,15+  70. | 29+  47. [61.40],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3136,65,CESAR GROSSO,M,BRA,19   60. | 27+  63. [62.24],,
