Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",437,1,ROMAIN DESGRANGES,M,FRA,37+  2. | 32+  7. [4.58],35+,35+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1214,2,JAKOB SCHUBERT,M,AUT,39+  1. | TOP  1. [1.58],32+,32+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2039,3,HYUNBIN MIN,M,KOR,33+  7. | TOP  1. [5.12],32,32
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2368,4,HIDEMASA NISHIDA,M,JPN,27+  20. | 24+  22. [22.25],31+,31+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",855,5,STEFANO GHISOLFI,M,ITA,36+  3. | 33   5. [4.06],28+,28+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",864,6,FRANCESCO VETTORATA,M,ITA,28   19. | 32   15. [17.44],28+,28+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1489,7,FEDIR SAMOILOV,M,UKR,27+  20. | 32   15. [18.76],28,28
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2370,8,TAISEI HOMMA,M,JPN,35+  4. | 32+  7. [6.48],26+,26+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",854,9,MARCELLO BOMBARDI,M,ITA,33+  7. | 32+  7. [10.50],26+,26+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2261,10,MASAHIRO HIGUCHI,M,JPN,33+  7. | 32+  7. [10.50],26,26
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2285,11,HIROTO SHIMIZU,M,JPN,27+  20. | TOP  1. [7.42],25+,25+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",320,12,NICOLAS COLLIN,M,BEL,33+  7. | 32   15. [12.96],25+,25+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2931,12,HAIBIN QU,M,CHN,32+  16. | 32+  7. [12.96],25+,25+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2289,14,MINORU NAKANO,M,JPN,33+  7. | 31+  18. [13.75],25+,25+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2306,15,TAITO NAKAGAMI,M,JPN,33   15. | 30+  19. [16.88],25+,25+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1221,16,MAX RUDIGIER,M,AUT,29   18. | TOP  1. [6.71],25,25
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",4299,17,SASCHA LEHMANN,M,SUI,33+  7. | 33   5. [7.60],25,25
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1234,18,GEORG PARMA,M,AUT,27+  20. | 30   20. [20.98],25,25
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1129,19,DOMEN SKOFIC,M,SLO,34+  5. | 32+  7. [7.60],21+,21+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2301,20,YUKI HADA,M,JPN,33+  7. | 32+  7. [10.50],19+,19+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1576,21,ELAN JONASMCRAE,M,CAN,33+  7. | 24+  22. [15.37],19+,19+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1759,22,MARTIN KUHNEL,M,USA,27+  20. | 20   24. [22.98],19+,19+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",314,23,LOÏC TIMMERMANS,M,BEL,34+  5. | 32+  7. [7.60],18+,18+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2309,24,YOSHIYUKI OGATA,M,JPN,32   17. | 26   21. [18.89],18,18
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",7167,25,WAN JAE JO,M,KOR,18+  26. | 13+  25. [26.50],9+,9+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",3270,26,ALFIAN MUHAMMAD FAJRI,M,INA,18+  26. | 13+  25. [26.50],9,9
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1754,27,JOHN BROSLER,M,USA,23+  25. | 13   28. [26.46],7,7
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",1634,28,AIDAN DOYLE,M,CAN,17+  29. | 13+  25. [27.46],,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",3316,29,PANGERAN SEPTO WIBOWO SIBURIAN,M,INA,18+  26. | 12+  29. [27.98],,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",3278,30,ASPAR ASPAR,M,INA,15+  30. | 8+  32. [30.98],,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",3274,31,SABRI SABRI,M,INA,15   31. | 10   31. [31.00],,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",7168,32,BRANDON BARRACLOUGH,M,CAN,9+  34. | 11+  30. [31.94],,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2845,33,MARCIN DZIENSKI,M,POL,10+  32. | 5   34. [32.98],,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",3340,34,VEDDRIQ LEONARDO,M,INA,10   33. | 5+  33. [33.00],,
