Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,855,1,STEFANO GHISOLFI,ITA,35+  5. | 35.5   5. [5.48],36+,TOP
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1214,2,JAKOB SCHUBERT,AUT,35+  5. | 35.5+  3. [4.58],37+,49+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2261,3,MASAHIRO HIGUCHI,JPN,31+  12. | 32   20. [18.04],35+,43+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,854,4,MARCELLO BOMBARDI,ITA,30+  20. | 34.5+  7. [15.33],30+,43+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1559,5,SEAN MCCOLL,CAN,32+  8. | 34.5+  7. [9.75],36+,40+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,864,6,FRANCESCO VETTORATA,ITA,31+  12. | 33+  15. [15.25],36,36
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2301,7,YUKI HADA,JPN,32+  8. | 34.5+  7. [9.75],34+,28+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2272,8,KOKORO FUJII,JPN,31+  12. | 31   24. [19.29],32,28
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,648,9,WILLIAM BOSI,GBR,31+  12. | 34.5+  7. [12.45],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2332,10,KAI HARADA,JPN,31+  12. | 32   20. [18.04],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1489,11,FEDIR SAMOILOV,UKR,31+  12. | 32   20. [18.04],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1129,12,DOMEN SKOFIC,SLO,TOP  1. | 38+  1. [1.22],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2370,13,TAISEI HOMMA,JPN,30+  20. | 32+  16. [20.28],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2309,14,YOSHIYUKI OGATA,JPN,28+  28. | 32+  16. [23.66],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2289,15,MINORU NAKANO,JPN,32+  8. | 30   27. [16.16],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,649,16,JAMES POPE,GBR,28+  28. | 34.5+  7. [17.89],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3111,17,DAVID FIRNENBURG,GER,28+  28. | 32+  16. [23.66],25+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1389,18,JAKUB KONECNY,CZE,TOP  1. | 34.5+  7. [3.87],14,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,463,19,THOMAS JOANNES,FRA,36+  3. | 35   6. [4.58],14,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,437,20,ROMAIN DESGRANGES,FRA,31+  12. | 35.5+  3. [7.37],14,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1221,21,MAX RUDIGIER,AUT,36+  3. | 30+  25. [9.45],14,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2306,22,TAITO NAKAGAMI,JPN,30+  20. | 31+  23. [23.25],14,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2368,23,HIDEMASA NISHIDA,JPN,31+  12. | 36+  2. [5.57],13+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2041,24,HANWOOL KIM,KOR,25+  42. | 34   14. [24.68],8,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,4299,25,SASCHA LEHMANN,SUI,32+  8. | 34.5+  7. [9.75],7+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3125,26,SEBASTIAN HALENKE,GER,35+  5. | 32+  16. [10.25],7+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2667,27,HANNES PUMAN,SWE,30+  20. | 27+  32. [27.64],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1234,28,GEORG PARMA,AUT,30+  20. | 25   34. [28.27],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,696,29,HAMISH MCARTHUR,GBR,28+  28. | 30   27. [29.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1251,30,MATHIAS POSCH,AUT,28+  28. | 29+  29. [30.72],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,801,31,ANDONI ESPARTA FRADE,ESP,28+  28. | 28   31. [31.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1264,32,MATTHIAS SCHIESTL,AUT,26+  38. | 30+  25. [31.74],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1135,33,MARTIN BERGANT,SLO,28+  28. | 27+  32. [32.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,312,34,SÉBASTIEN BERTHE,BEL,30+  20. | 22   43. [32.34],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1165,35,KLEMEN NOVAK,SLO,26+  38. | 29+  29. [34.14],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3586,36,MARK BRAND,NED,28+  28. | 23   39. [35.33],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3776,37,LARS HOFFMANN,GER,30+  20. | 17   56. [36.44],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1134,37,MILAN PRESKAR,SLO,30+  20. | 17   56. [36.44],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1277,39,LOUIS GUNDOLF,AUT,26+  38. | 23+  38. [38.74],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3127,40,MAX KLEESATTEL,GER,25+  42. | 24+  35. [39.30],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,69,41,ALEKSEI SHCHERVIANIN,RUS,22+  46. | 24+  35. [40.41],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1158,42,ZIGA ZAJC,SLO,27   37. | 22   43. [40.58],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1170,43,LUKA POTOCAR,SLO,28+  28. | 18   54. [41.76],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3112,44,RUBEN FIRNENBURG,GER,25+  42. | 22   43. [44.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1384,45,VOJTECH TROJAN,CZE,21+  47. | 22+  40. [44.82],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,683,46,KIERAN FORREST,GBR,25+  42. | 20+  47. [46.17],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,339,47,SVEN LEMPEREUR,BEL,13   58. | 24   37. [46.32],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3901,48,RONNY ESCOBAR,CHI,17   54. | 22+  40. [47.27],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,818,49,ENEKO CARRETERO CRUZ,ESP,21   52. | 22   43. [48.10],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1274,50,STEFAN SCHERZ,AUT,26+  38. | 14+  60. [48.68],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3903,51,BENJAMIN AYALA,CHI,21+  47. | 20+  47. [49.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2582,52,RAFAEL CORONADO,LUX,11+  60. | 22+  40. [49.60],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,113,53,VADIM MALSHCHUKOV,RUS,21+  47. | 19+  52. [50.72],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2677,54,LOVE YMER ALBER,SWE,21+  47. | 18   54. [51.68],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1367,55,TOMAS BINTER,CZE,15   56. | 20+  47. [52.62],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,813,56,GUILLEM MONSECH GASCA,ESP,19+  53. | 19+  52. [52.75],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1713,57,JOSH LEVIN,USA,21+  47. | 16   58. [53.54],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1418,58,SIMON POTUCEK,CZE,12+  59. | 20+  47. [53.77],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3916,59,BENJAMIN VARGAS,CHI,5+  61. | 20+  47. [54.67],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1449,60,STEPAN POTUCEK,CZE,15   56. | 16   58. [57.49],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3889,61,MARTIN TEKLES,GER,17   54. [57.66],,
