Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2285,1,HIROTO SHIMIZU,JPN,38+  3. | 38+  6. [5.81],32+,38+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,811,2,ALBERTO GINÉS LÓPEZ,ESP,34+  9. | TOP  1. [5.61],TOP,36+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,855,3,STEFANO GHISOLFI,ITA,38+  3. | TOP  1. [3.67],32+,32+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2301,4,YUKI HADA,JPN,38+  3. | TOP  1. [3.67],31+,28+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1749,5,JESSE GRUPPER,USA,31+  14. | 17+  30. [22.62],30+,28+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1559,6,SEAN MCCOLL,CAN,38+  3. | 2+  54. [15.59],34,27+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,314,7,LOÏC TIMMERMANS,BEL,30+  19. | 33+  13. [16.72],30+,22+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1741,8,SEAN BAILEY,USA,35+  7. | 31+  16. [11.29],34,19+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2307,9,MEICHI NARASAKI,JPN,31+  14. | 17+  30. [22.62],30+,19+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2336,10,SHUTA TANAKA,JPN,13+  39. | 38+  6. [18.47],30,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,649,11,JAMES POPE,GBR,32+  13. | 35+  10. [11.68],25+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2257,12,REI SUGIMOTO,JPN,30   25. | 31+  16. [20.82],25+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2370,13,TAISEI HOMMA,JPN,13+  39. | 35+  10. [21.86],25+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,318,14,SIMON LORENZI,BEL,30   25. | 25+  21. [23.69],25+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,3125,15,SEBASTIAN HALENKE,GER,30+  19. | 31+  16. [19.12],25,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,165,16,NIKOLAI IARILOVETS,RUS,30+  19. | 18+  25. [23.87],24,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1389,17,JAKUB KONECNY,CZE,29+  27. | 32+  14. [19.79],22+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1489,18,FEDIR SAMOILOV,UKR,TOP  1. | TOP  1. [2.12],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2273,19,KEIICHIRO KORENAGA,JPN,TOP  1. | 38+  6. [3.35],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2272,20,KOKORO FUJII,JPN,34+  9. | TOP  1. [5.61],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1773,21,RUDOLPH RUANA,USA,31+  14. | 34+  12. [13.64],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2041,22,HANWOOL KIM,KOR,34+  9. | 18+  25. [16.68],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1778,23,NATHANIEL COLEMAN,USA,30+  19. | 25+  21. [21.75],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,854,24,MARCELLO BOMBARDI,ITA,31+  14. | 17+  30. [22.62],10+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2332,25,KAI HARADA,JPN,35+  7. | 38+  6. [7.50],1.5+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1251,26,MATHIAS POSCH,AUT,34+  9. | 3+  49. [22.80],1.5+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2337,27,TAISEI ISHIMATSU,JPN,29   28. | 25+  21. [24.82],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2667,28,HANNES PUMAN,SWE,13+  39. | 32+  14. [25.69],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2014,29,CHRISTOPH HANKE,GER,24+  35. | 28   20. [26.46],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,320,30,NICOLAS COLLIN,BEL,30+  19. | 17+  30. [26.64],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1361,30,MARTIN STRANIK,CZE,30+  19. | 17+  30. [26.64],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,2072,32,SUNGSU LEE,KOR,26   31. | 20   24. [27.50],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,519,33,NAO MONCHOIS,FRA,31   18. | 13   44. [28.14],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,3983,34,ALEX KHAZANOV,ISR,13+  39. | 28+  19. [29.40],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,793,35,MIKEL ASIER LINACISORO MOLINA,ESP,25+  33. | 18+  25. [29.57],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,1138,36,ANZE PEHARC,SLO,27+  29. | 17+  30. [31.20],,
