Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1741,1,SEAN BAILEY,M,USA,9.64,40,38
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2574,2,ALEXANDER MEGOS,M,GER,5.61,37+,35+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1929,3,COLIN DUFFY,M,USA,7.04,36,31+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3125,4,SEBASTIAN HALENKE,M,GER,18.04,37+,26.5+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",811,5,ALBERTO GINÉS LÓPEZ,M,ESP,12.96,40+,26.5
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",547,6,PAUL JENFT,M,FRA,8.31,36,26
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2261,7,MASAHIRO HIGUCHI,M,JPN,18.04,37+,12
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",12879,8,ZENTO MURASHITA,M,JPN,14.78,36+,11+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2272,9,KOKORO FUJII,M,JPN,9.64,36,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",93,10,DMITRII FAKIRIANOV,M,RUS,14.73,36,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",855,11,STEFANO GHISOLFI,M,ITA,4.24,35+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",4299,12,SASCHA LEHMANN,M,SUI,6.93,34+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11390,13,SATONE YOSHIDA,M,JPN,10.36,34+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2336,14,SHUTA TANAKA,M,JPN,18.04,34+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1129,15,DOMEN SKOFIC,M,SLO,9.64,33+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1251,16,MATHIAS POSCH,M,AUT,13.78,31+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11871,17,SOHTA AMAGASA,M,JPN,15.3,31+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",854,18,MARCELLO BOMBARDI,M,ITA,18.56,31,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1644,19,VICTOR BAUDRAND,M,CAN,19.08,29+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2667,20,HANNES PUMAN,M,SWE,14.78,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3998,21,NIMROD MARCUS,M,ISR,15.23,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1778,22,NATHANIEL COLEMAN,M,USA,20.07,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",320,23,NICOLAS COLLIN,M,BEL,21.2,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1135,24,MARTIN BERGANT,M,SLO,7.55,28,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1170,25,LUKA POTOCAR,M,SLO,9.64,28,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",979,26,ALBERTO GOTTA,M,ITA,18.04,26+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3586,27,MARK BRAND,M,NED,23.27,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",765,28,PHILIPP MARTIN,M,GER,26.7,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1274,28,STEFAN SCHERZ,M,AUT,26.7,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1134,30,MILAN PRESKAR,M,SLO,28.66,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3361,31,RISHAT KHAIBULLIN,M,KAZ,29.09,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2004,32,ELLIS ERNSBERGER,M,USA,31.0,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1361,32,MARTIN STRANIK,M,CZE,31.0,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",79,34,ALEKSEY RUBTSOV,M,RUS,32.47,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1277,35,LOUIS GUNDOLF,M,AUT,33.41,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3889,35,MARTIN TEKLES,M,GER,33.41,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",793,37,MIKEL ASIER LINACISORO MOLINA,M,ESP,35.87,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3199,38,DYLAN CHUAT,M,SUI,36.93,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",518,38,ADRIEN LEMAIRE,M,FRA,36.93,,
