Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1741,1,SEAN BAILEY,USA,9.64,40,38
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2574,2,ALEXANDER MEGOS,GER,5.61,37+,35+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1929,3,COLIN DUFFY,USA,7.04,36,31+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3125,4,SEBASTIAN HALENKE,GER,18.04,37+,26.5+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",811,5,ALBERTO GINÉS LÓPEZ,ESP,12.96,40+,26.5
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",547,6,PAUL JENFT,FRA,8.31,36,26
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2261,7,MASAHIRO HIGUCHI,JPN,18.04,37+,12
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",12879,8,ZENTO MURASHITA,JPN,14.78,36+,11+
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2272,9,KOKORO FUJII,JPN,9.64,36,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",93,10,DMITRII FAKIRIANOV,RUS,14.73,36,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",855,11,STEFANO GHISOLFI,ITA,4.24,35+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",4299,12,SASCHA LEHMANN,SUI,6.93,34+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11390,13,SATONE YOSHIDA,JPN,10.36,34+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2336,14,SHUTA TANAKA,JPN,18.04,34+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1129,15,DOMEN SKOFIC,SLO,9.64,33+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1251,16,MATHIAS POSCH,AUT,13.78,31+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11871,17,SOHTA AMAGASA,JPN,15.3,31+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",854,18,MARCELLO BOMBARDI,ITA,18.56,31,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1644,19,VICTOR BAUDRAND,CAN,19.08,29+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2667,20,HANNES PUMAN,SWE,14.78,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3998,21,NIMROD MARCUS,ISR,15.23,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1778,22,NATHANIEL COLEMAN,USA,20.07,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",320,23,NICOLAS COLLIN,BEL,21.2,28+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1135,24,MARTIN BERGANT,SLO,7.55,28,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1170,25,LUKA POTOCAR,SLO,9.64,28,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",979,26,ALBERTO GOTTA,ITA,18.04,26+,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3586,27,MARK BRAND,NED,23.27,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",765,28,PHILIPP MARTIN,GER,26.7,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1274,28,STEFAN SCHERZ,AUT,26.7,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1134,30,MILAN PRESKAR,SLO,28.66,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3361,31,RISHAT KHAIBULLIN,KAZ,29.09,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2004,32,ELLIS ERNSBERGER,USA,31.0,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1361,32,MARTIN STRANIK,CZE,31.0,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",79,34,ALEKSEY RUBTSOV,RUS,32.47,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1277,35,LOUIS GUNDOLF,AUT,33.41,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3889,35,MARTIN TEKLES,GER,33.41,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",793,37,MIKEL ASIER LINACISORO MOLINA,ESP,35.87,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3199,38,DYLAN CHUAT,SUI,36.93,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",518,38,ADRIEN LEMAIRE,FRA,36.93,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11675,38,MEJDI SCHALCK,FRA,36.93,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1489,41,FEDIR SAMOILOV,UKR,38.17,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",857,42,MICHAEL PICCOLRUAZ,ITA,39.57,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3596,43,LETO CAVÉ,NED,40.34,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2825,44,JONAS BRANDENBURGER,GER,41.85,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",165,45,NIKOLAI IARILOVETS,RUS,42.77,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",4284,46,NINO GRÜNENFELDER,SUI,42.81,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2014,47,CHRISTOPH HANKE,GER,44.16,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2894,47,JAKUB ZIETEK,POL,44.16,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",4283,49,JULIEN CLÉMENCE,SUI,44.54,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",85,49,SERGEI LUZHETSKII,RUS,44.54,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1946,51,TIMOTHY KANG,USA,47.0,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2767,52,PETER KURIC,SVK,47.97,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11847,53,OSCAR BAUDRAND,CAN,49.2,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1688,54,SEAN FAULKNER,CAN,49.67,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1158,55,ZIGA ZAJC,SLO,50.96,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3427,56,DIMITRI VOGT,SUI,53.42,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2763,57,TOMAS PLEVKO,SVK,54.18,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",3989,58,YUVAL SHEMLA,ISR,56.71,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",2670,59,FREDRIK SERLACHIUS,SWE,57.66,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1513,60,LEONID OSADCHYI,UKR,58.6,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",801,61,ANDONI ESPARTA FRADE,ESP,59.21,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",865,62,LUDOVICO FOSSALI,ITA,60.88,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",813,63,GUILLEM MONSECH GASCA,ESP,61.71,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",4003,64,OR MINIELY,ISR,62.19,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",8861,65,FABIAN FÖRANDER,SWE,63.71,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",11837,66,CHRISTIAN WAGNER,CHI,64.45,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",4046,67,YOTAM BEN REUVEN,ISR,64.99,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1534,68,BOHDAN BOTNAR,UKR,67.5,,
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",912,,FILIP SCHENK,ITA,DNS,,
