Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1214,1,JAKOB SCHUBERT,M,AUT,1.73,39+,47+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",855,2,STEFANO GHISOLFI,M,ITA,5.1,31+,47
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",4299,3,SASCHA LEHMANN,M,SUI,11.62,39+,38+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2261,4,MASAHIRO HIGUCHI,M,JPN,18.97,34+,38+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",811,5,ALBERTO GINÉS LÓPEZ,M,ESP,12.33,41+,37+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2574,6,ALEXANDER MEGOS,M,GER,2.83,38+,37+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1170,7,LUKA POTOCAR,M,SLO,21.82,39+,27+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1364,8,ADAM ONDRA,M,CZE,1.41,42+,17
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2276,9,TOMOA NARASAKI,M,JPN,9.25,31+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",11832,10,AO YURIKUSA,M,JPN,11.62,31+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2272,11,KOKORO FUJII,M,JPN,11.75,31+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1361,12,MARTIN STRANIK,M,CZE,16.42,31,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1135,13,MARTIN BERGANT,M,SLO,18.52,30+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2667,14,HANNES PUMAN,M,SWE,29.17,30,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2767,15,PETER KURIC,M,SVK,21.58,27+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2798,16,ANTHONY GULLSTEN,M,FIN,23.23,27+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1129,17,DOMEN SKOFIC,M,SLO,5.1,27,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",320,18,NICOLAS COLLIN,M,BEL,18.23,26+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",547,19,PAUL JENFT,M,FRA,19.86,26,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",11390,20,SATONE YOSHIDA,M,JPN,13.13,25+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1929,21,COLIN DUFFY,M,USA,5.7,25,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2014,22,CHRISTOPH HANKE,M,GER,27.87,25,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3199,23,DYLAN CHUAT,M,SUI,29.17,25,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2332,24,KAI HARADA,M,JPN,19.74,24,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",854,25,MARCELLO BOMBARDI,M,ITA,19.86,21+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1644,26,VICTOR BAUDRAND,M,CAN,29.17,5+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1871,27,ROSS FULKERSON,M,USA,31.02,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",793,28,MIKEL ASIER LINACISORO MOLINA,M,ESP,31.89,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1489,29,FEDIR SAMOILOV,M,UKR,32.13,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1158,30,ZIGA ZAJC,M,SLO,34.09,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",11847,31,OSCAR BAUDRAND,M,CAN,34.32,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3998,32,NIMROD MARCUS,M,ISR,34.94,,
