Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1749,1,JESSE GRUPPER,USA,2.74,TOP,37
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2370,2,TAISEI HOMMA,JPN,25.25,44,35+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2574,3,ALEXANDER MEGOS,GER,4.0,41+,35+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3131,4,YANNICK FLOHÉ,GER,5.7,41+,35+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1929,5,COLIN DUFFY,USA,8.37,41+,34+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2309,6,YOSHIYUKI OGATA,JPN,17.49,41+,34+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,912,7,FILIP SCHENK,ITA,13.13,41+,27
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,696,8,HAMISH MCARTHUR,GBR,17.49,41+,25
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1170,9,LUKA POTOCAR,SLO,13.04,TOP,18+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,4299,10,SASCHA LEHMANN,SUI,5.83,41,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1741,11,SEAN BAILEY,USA,8.25,41,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3125,12,SEBASTIAN HALENKE,GER,17.49,41,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,855,13,STEFANO GHISOLFI,ITA,11.29,39+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2261,14,MASAHIRO HIGUCHI,JPN,14.87,39,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,605,15,JULES MARCHALAND,FRA,21.22,38+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,532,16,SAM AVEZOU,FRA,13.06,38,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1129,17,DOMEN SKOFIC,SLO,18.89,35+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11490,18,TOBY ROBERTS,GBR,23.69,28+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3989,19,YUVAL SHEMLA,ISR,21.22,28,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3883,20,JONAS UTELLI,SUI,23.69,28,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1361,21,MARTIN STRANIK,CZE,25.42,27+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11847,22,OSCAR BAUDRAND,CAN,26.56,27,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11390,23,SATONE YOSHIDA,JPN,3.16,26+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2272,24,KOKORO FUJII,JPN,7.07,25+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,854,25,MARCELLO BOMBARDI,ITA,25.51,25+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11832,26,AO YURIKUSA,JPN,5.24,2+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,470,27,JEREMY BONDER,FRA,28.16,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2798,28,ANTHONY GULLSTEN,FIN,28.66,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,857,29,MICHAEL PICCOLRUAZ,ITA,30.45,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2667,30,HANNES PUMAN,SWE,31.24,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1234,31,GEORG PARMA,AUT,32.73,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2493,32,CAMPBELL HARRISON,AUS,33.5,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,593,33,ROMARIC GEFFROY,FRA,33.56,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1274,34,STEFAN SCHERZ,AUT,33.64,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1149,35,ZAN LOVENJAK SUDAR,SLO,35.87,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3998,36,NIMROD MARCUS,ISR,36.03,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2947,36,YUFEI PAN,CHN,36.03,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,4284,38,NINO GRÜNENFELDER,SUI,37.45,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1489,38,FEDIR SAMOILOV,UKR,37.45,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1134,40,MILAN PRESKAR,SLO,38.61,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,584,41,DIEGO FOURBET,FRA,42.8,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,6092,42,SANTIAGO DE ALBA FLORES,MEX,42.85,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,318,43,SIMON LORENZI,BEL,43.21,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13722,44,DIMITRI FLICK,SUI,43.78,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1418,45,SIMON POTUCEK,CZE,45.01,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,518,46,ADRIEN LEMAIRE,FRA,45.32,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1131,47,GREGOR VEZONIK,SLO,46.1,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1758,48,BENJAMIN HANNA,USA,47.12,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1644,49,VICTOR BAUDRAND,CAN,47.48,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,320,49,NICOLAS COLLIN,BEL,47.48,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,516,51,ARSÈNE DUVAL,FRA,47.99,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,649,51,JAMES POPE,GBR,47.99,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1646,53,GUY MCNAMEE,CAN,49.13,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3141,54,FELIPE HO FOGANHOLO,BRA,49.7,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2217,55,CHI-FUNG AU,HKG,50.41,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1135,56,MARTIN BERGANT,SLO,50.48,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11667,57,LUCAS DUFROS,FRA,54.28,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2670,58,FREDRIK SERLACHIUS,SWE,55.25,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12872,59,MUSAUWIR MUSAUWIR,INA,55.56,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,765,60,PHILIPP MARTIN,GER,55.7,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1688,61,SEAN FAULKNER,CAN,56.6,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,544,62,ALISTAIR DUVAL,FRA,57.98,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13594,63,JINBIN HUANG,CHN,59.22,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1449,64,STEPAN POTUCEK,CZE,60.42,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1871,65,ROSS FULKERSON,USA,60.76,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2931,66,HAIBIN QU,CHN,61.31,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,492,67,HUGO PARMENTIER,FRA,62.9,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,4252,68,CHRISTOPH SCHWEIGER,GER,63.17,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,979,69,ALBERTO GOTTA,ITA,63.45,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1647,70,KINDAR MCNAMEE,CAN,64.3,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12237,71,SAMUEL BUTTERWORTH,GBR,65.27,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1145,72,MATIC KOTAR,SLO,65.3,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12870,73,MUHAMMAD RIZKY SYAHRAFLI SIMATUPANG,INA,66.76,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2218,74,CHEUNG-CHI SHOJI CHAN,HKG,66.88,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3127,75,MAX KLEESATTEL,GER,68.76,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11382,76,YONGCHEN CHEN,CHN,68.77,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1277,76,LOUIS GUNDOLF,AUT,68.77,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11836,78,MATEUS RODRIGUES BELLOTTO,BRA,70.98,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2991,79,HUALONG SONG,CHN,72.44,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,793,80,MIKEL ASIER LINACISORO MOLINA,ESP,74.18,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11400,81,MAN-HEI CHUNG,HKG,75.18,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12903,82,RODRIGO IASI HANADA,BRA,75.37,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2240,83,CHEUK-NAM WONG,HKG,77.5,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1434,84,JACHYM CINK,CZE,78.14,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11402,85,TSZ-KIU LAU,HKG,80.2,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1496,86,ROMAN BATSENKO,UKR,81.64,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13735,87,MUHAMMAD RAMZI FIRMANSYAH,INA,83.46,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,8861,88,FABIAN FÖRANDER,SWE,84.99,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13548,89,MUHAMMAD FERZA FERNADA ABDI,INA,86.5,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2658,90,HRITIK MARNE,IND,88.99,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,5181,91,IVAN SHYSHKOVSKYY,UKR,90.5,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13636,92,JOSÉ ALEJANDRO SAUCEDA RODRÍGUEZ,MEX,91.75,,
