Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",11832,1,AO YURIKUSA,JPN,4.74,36+,29
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2261,2,MASAHIRO HIGUCHI,JPN,4.74,36+,28
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3125,3,SEBASTIAN HALENKE,GER,4.9,36+,28
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2368,4,HIDEMASA NISHIDA,JPN,8.49,40+,27+
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",11390,5,SATONE YOSHIDA,JPN,3.0,37+,27+
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2101,6,DOHYUN LEE,KOR,11.14,33+,27+
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1170,7,LUKA POTOCAR,SLO,7.04,33+,25+
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3332,8,RAVIANDI RAMADHAN,INA,15.1,35,22+
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2309,9,YOSHIYUKI OGATA,JPN,3.0,33,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1741,10,SEAN BAILEY,USA,12.0,32+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1251,11,MATHIAS POSCH,AUT,16.61,32+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2370,12,TAISEI HOMMA,JPN,6.71,31+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1749,13,JESSE GRUPPER,USA,10.39,31+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3331,14,RAVIANTO RAMADHAN,INA,14.73,31+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",11847,15,OSCAR BAUDRAND,CAN,17.0,31+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",4299,16,SASCHA LEHMANN,SUI,4.74,27+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1134,17,MILAN PRESKAR,SLO,19.18,27,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2218,18,CHEUNG-CHI SHOJI CHAN,HKG,23.66,25+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",12872,19,MUSAUWIR MUSAUWIR,INA,22.08,24+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",652,20,ALEX WATERHOUSE,GBR,17.94,22+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",12870,21,MUHAMMAD RIZKY SYAHRAFLI SIMATUPANG,INA,24.03,22+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3883,22,JONAS UTELLI,SUI,14.7,21+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",696,23,HAMISH MCARTHUR,GBR,15.3,21+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3989,24,YUVAL SHEMLA,ISR,16.06,21+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1274,25,STEFAN SCHERZ,AUT,20.74,21+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",765,26,PHILIPP MARTIN,GER,25.15,21+,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1644,27,VICTOR BAUDRAND,CAN,27.93,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",1801,28,JOE GOODACRE,USA,28.98,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2217,29,CHI-FUNG AU,HKG,29.73,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3665,30,LUKE GOH WEN BIN,SGP,29.79,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",14090,31,PUTRA TRI RAMADANI,INA,30.17,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",10705,32,SIGRID BIM,INA,30.5,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",14091,33,EVALL SEPTY JAWARA,INA,31.08,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",13548,34,MUHAMMAD FERZA FERNADA ABDI,INA,31.74,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2214,35,KA-CHUN YAU,HKG,34.47,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",3268,36,FATCHUR ROJI,INA,35.43,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2146,37,CHIA HSIANG LIN,TPE,36.24,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2658,38,HRITIK MARNE,IND,36.68,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2240,39,CHEUK-NAM WONG,HKG,38.0,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",13735,40,MUHAMMAD RAMZI FIRMANSYAH,INA,38.71,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",2657,41,SAHIL KHAN,IND,39.99,,
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",811,,ALBERTO GINÉS LÓPEZ,ESP,DNS,,
