Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1121,1,MAJA STREMFELJ,SLO,TOP,43-,TOP
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,306,2,MURIEL SARKANY,BEL,TOP,41-,51-
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,58,3,YANA CHERESHNEVA,RUS,TOP,33+,49-
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4535,4,ALEXANDRA EYER,SUI,TOP,41-,42-
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,438,5,CAROLINE CIAVALDINI,FRA,TOP,42-,34-
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,430,5,SANDRINE LEVET,FRA,TOP,42-,34-
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,848,7,JENNY LAVARDA,ITA,TOP,33-,31-
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1122,8,MINA MARKOVIC,SLO,TOP,41,26
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,2035,9,JAIN KIM,KOR,TOP,32,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1202,10,BARBARA BACHER,AUT,TOP,30.5+,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1119,11,NATALIJA GROS,SLO,TOP,29-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,445,12,CHARLOTTE DURIF,FRA,TOP,28-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,41,13,OLGA BIBIK,RUS,TOP,27-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1209,13,KATHARINA SAURWEIN,AUT,TOP,27-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1203,13,BETTINA SCHÖPF,AUT,TOP,27-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,2251,16,YUKA KOBAYASHI,JPN,TOP,26,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5538,17,FANNY CONAN,FRA,TOP,26-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1207,18,ANGELA EITER,AUT,TOP,24-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5514,19,NINA CAPREZ,SUI,TOP,23-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5644,19,CHRISTINA SCHMID,SUI,TOP,23-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4735,21,KSENIIA ALEKSEEVA,RUS,TOP,21-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4917,21,FLORENCE PINET,FRA,TOP,21-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4491,21,VANESSA TAYLOR,FRA,TOP,21-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5125,24,LUCKA FRANKO,SLO,TOP,20-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5401,25,CAROLINE JANUEL,FRA,TOP,18+,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4926,26,IRATI ANDA VILLANUEVA,ESP,TOP,16,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,71,27,GALINA TERENTEVA,RUS,TOP,11,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5012,28,ANDREA BRIGITTA SZEKELY,HUN,TOP,11-,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,2823,29,JULIANE WURM,GER,33,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,439,30,ANNE-LAURE CHEVRIER,FRA,33-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5542,30,CELINE FERGEAU,FRA,33-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,3198,30,ANOUK PIOLA,SUI,33-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5678,33,EMELINE THOMAS,FRA,32+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5797,34,JULIA YACHNIK,RUS,32,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,49,35,EVGENIIA MALAMID,RUS,32-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5111,36,LI-PING HUANG,CHN,31.5+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5156,36,EKATERINA KOROLKOVA,RUS,31.5+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5321,38,MARINE LARGERON,FRA,29+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4915,39,WOON-SEON SHIN,KOR,28+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,443,40,MÉLANIE SANDOZ,FRA,28-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,3578,40,VERA ZIJLSTRA,NED,28-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5647,42,SUZANNE VAN DER SLUIS,NED,24,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5733,43,MARIA AGAFONOVA,RUS,23-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,3059,43,HANNAH MIDTBOE,NOR,23-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,1210,43,CHRISTINE SCHRANZ,AUT,23-,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5798,46,PAIGE CLAASSEN,USA,21+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,4982,46,CHUNHUA LI,CHN,21+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5106,46,MIRIAM MOOSBURGER,AUT,21+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5249,46,CHELSEA RUDE,USA,21+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5420,50,ELISKA KARESOVA,CZE,21,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5768,50,ANNA KHUDYAKOVA,RUS,21,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,851,52,MANUELA VALSECCHI,ITA,20+,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5782,53,ALIYA ISKAKOVA,KAZ,16,,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,5799,54,JOYCE KUIK,USA,12.5+,,
