Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1207,1,ANGELA EITER,F,AUT,TOP,TOP,TOP
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1122,2,MINA MARKOVIC,F,SLO,TOP,51-,47-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5282,3,EMILY HARRINGTON,F,USA,TOP,44,47-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,445,4,CHARLOTTE DURIF,F,FRA,TOP,44,46
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,2251,5,YUKA KOBAYASHI,F,JPN,TOP,44+,43-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1119,6,NATALIJA GROS,F,SLO,TOP,45-,36-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4926,7,IRATI ANDA VILLANUEVA,F,ESP,TOP,43+,36-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4917,8,FLORENCE PINET,F,FRA,39+,45+,27
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,430,9,SANDRINE LEVET,F,FRA,TOP,41-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,306,9,MURIEL SARKANY,F,BEL,TOP,41-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,49,11,EVGENIIA MALAMID,F,RUS,31-,40,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1210,12,CHRISTINE SCHRANZ,F,AUT,TOP,39+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1209,13,KATHARINA SAURWEIN,F,AUT,TOP,28-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5514,14,NINA CAPREZ,F,SUI,39-,27,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,2823,15,JULIANE WURM,F,GER,30+,26+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5125,16,LUCKA FRANKO,F,SLO,42,23+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,58,17,YANA CHERESHNEVA,F,RUS,TOP,20,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4535,17,ALEXANDRA EYER,F,SUI,TOP,20,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,848,19,JENNY LAVARDA,F,ITA,41-,20-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1202,20,BARBARA BACHER,F,AUT,TOP,19+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1121,21,MAJA STREMFELJ,F,SLO,TOP,19,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4735,22,KSENIIA ALEKSEEVA,F,RUS,31-,17,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1203,23,BETTINA SCHÖPF,F,AUT,41,16,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,2253,24,AKIYO NOGUCHI,F,JPN,TOP,13-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4543,25,GERDA RAFFETSEDER,F,AUT,30+,13-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,851,26,MANUELA VALSECCHI,F,ITA,36-,12-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5644,27,CHRISTINA SCHMID,F,SUI,TOP,11-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4560,28,LINN KARIN STENDAL,F,NOR,30-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,3578,29,VERA ZIJLSTRA,F,NED,28+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5678,30,EMELINE THOMAS,F,FRA,27,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4670,31,BARBARA SCHRANZ,F,AUT,24+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,764,32,INES DULL-KRETSCHMER,F,GER,17-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5645,32,LUISA NEUMÄRKER,F,GER,17-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5249,34,CHELSEA RUDE,F,USA,16+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5521,35,SARAH MATTHEWS,F,AUS,15-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5422,36,MATHILDE COUCHOT,F,FRA,14-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5012,36,ANDREA BRIGITTA SZEKELY,F,HUN,14-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5320,38,EMELINE TESO,F,FRA,13+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,777,39,ANDREA CARTAS BARRERA,F,ESP,13-,,
