Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1207,1,ANGELA EITER,AUT,TOP,TOP,TOP
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1122,2,MINA MARKOVIC,SLO,TOP,51-,47-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5282,3,EMILY HARRINGTON,USA,TOP,44,47-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,445,4,CHARLOTTE DURIF,FRA,TOP,44,46
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,2251,5,YUKA KOBAYASHI,JPN,TOP,44+,43-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1119,6,NATALIJA GROS,SLO,TOP,45-,36-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4926,7,IRATI ANDA VILLANUEVA,ESP,TOP,43+,36-
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4917,8,FLORENCE PINET,FRA,39+,45+,27
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,430,9,SANDRINE LEVET,FRA,TOP,41-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,306,9,MURIEL SARKANY,BEL,TOP,41-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,49,11,EVGENIIA MALAMID,RUS,31-,40,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1210,12,CHRISTINE SCHRANZ,AUT,TOP,39+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1209,13,KATHARINA SAURWEIN,AUT,TOP,28-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5514,14,NINA CAPREZ,SUI,39-,27,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,2823,15,JULIANE WURM,GER,30+,26+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5125,16,LUCKA FRANKO,SLO,42,23+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,58,17,YANA CHERESHNEVA,RUS,TOP,20,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4535,17,ALEXANDRA EYER,SUI,TOP,20,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,848,19,JENNY LAVARDA,ITA,41-,20-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1202,20,BARBARA BACHER,AUT,TOP,19+,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1121,21,MAJA STREMFELJ,SLO,TOP,19,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4735,22,KSENIIA ALEKSEEVA,RUS,31-,17,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,1203,23,BETTINA SCHÖPF,AUT,41,16,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,2253,24,AKIYO NOGUCHI,JPN,TOP,13-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4543,25,GERDA RAFFETSEDER,AUT,30+,13-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,851,26,MANUELA VALSECCHI,ITA,36-,12-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5644,27,CHRISTINA SCHMID,SUI,TOP,11-,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4560,28,LINN KARIN STENDAL,NOR,30-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,3578,29,VERA ZIJLSTRA,NED,28+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5678,30,EMELINE THOMAS,FRA,27,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,4670,31,BARBARA SCHRANZ,AUT,24+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,764,32,INES DULL-KRETSCHMER,GER,17-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5645,32,LUISA NEUMÄRKER,GER,17-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5249,34,CHELSEA RUDE,USA,16+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5521,35,SARAH MATTHEWS,AUS,15-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5422,36,MATHILDE COUCHOT,FRA,14-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5012,36,ANDREA BRIGITTA SZEKELY,HUN,14-,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,5320,38,EMELINE TESO,FRA,13+,,
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,777,39,ANDREA CARTAS BARRERA,ESP,13-,,
