Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1121,1,MAJA STREMFELJ,F,SLO,TOP,51-,64-
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,4926,2,IRATI ANDA VILLANUEVA,F,ESP,TOP,51-,55+
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1119,3,NATALIJA GROS,F,SLO,TOP,50,50-
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,2035,4,JAIN KIM,F,KOR,TOP,51-,48
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,445,5,CHARLOTTE DURIF,F,FRA,TOP,51-,48-
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1207,6,ANGELA EITER,F,AUT,TOP,TOP,46+
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,2251,7,YUKA KOBAYASHI,F,JPN,TOP,53+,46
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,306,8,MURIEL SARKANY,F,BEL,TOP,51-,46
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,438,9,CAROLINE CIAVALDINI,F,FRA,TOP,49+,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1202,10,BARBARA BACHER,F,AUT,TOP,49-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1122,10,MINA MARKOVIC,F,SLO,TOP,49-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,2253,12,AKIYO NOGUCHI,F,JPN,TOP,48+,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,4535,13,ALEXANDRA EYER,F,SUI,TOP,48-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1209,13,KATHARINA SAURWEIN,F,AUT,TOP,48-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,4550,15,RIE KIMURA,F,JPN,TOP,41-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,4543,16,GERDA RAFFETSEDER,F,AUT,46+,41-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5827,17,YOKO IKEDA,F,JPN,45,39-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,4992,18,YUKO SAKAKIBARA,F,JPN,45,38,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5065,19,YUKA ENDO,F,JPN,46+,35-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5828,20,AKI TANAKA,F,JPN,TOP,33,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,2256,21,SAARI WATANABE,F,JPN,47,33,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5829,22,KIYOE TSUTSUMI,F,JPN,40,32-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5521,23,SARAH MATTHEWS,F,AUS,32+,32-,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5830,24,NOZOMI MONMA,F,JPN,44+,30,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5617,25,DAN ZHANG,F,CHN,40,30,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,5831,26,NATALIA KUBRAKOVA,F,RUS,33-,23+,
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,2139,27,HUNG YING LEE,F,TPE,19+,,
