Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1121,1,MAJA STREMFELJ,F,SLO,TOP,TOP,37-
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1219,2,JOHANNA ERNST,F,AUT,TOP,40-,37-
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4756,3,OLGA SHALAGINA,F,UKR,TOP,29,35-
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,445,4,CHARLOTTE DURIF,F,FRA,31,30-,32
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,2253,5,AKIYO NOGUCHI,F,JPN,TOP,29,20
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1203,6,BETTINA SCHÖPF,F,AUT,31,29+,16-
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,438,7,CAROLINE CIAVALDINI,F,FRA,TOP,35+,15
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1207,8,ANGELA EITER,F,AUT,TOP,29,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1119,9,NATALIJA GROS,F,SLO,32-,29,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4535,10,ALEXANDRA EYER,F,SUI,31,29,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4920,11,KINGA OCIEPKA,F,POL,31-,29,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1202,12,BARBARA BACHER,F,AUT,31,29-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1122,13,MINA MARKOVIC,F,SLO,30-,29-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,1210,13,CHRISTINE SCHRANZ,F,AUT,30-,29-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,848,15,JENNY LAVARDA,F,ITA,29+,29-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,2823,16,JULIANE WURM,F,GER,20-,29-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,2035,17,JAIN KIM,F,KOR,TOP,28+,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,58,18,YANA CHERESHNEVA,F,RUS,TOP,28,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,446,19,MARINE THÉVENET,F,FRA,29,27,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,777,20,ANDREA CARTAS BARRERA,F,ESP,23-,23,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,5422,21,MATHILDE COUCHOT,F,FRA,22-,23,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,454,22,MELISSA LE NEVE,F,FRA,20-,23,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4922,23,ASJA GOSAR,F,SLO,19+,23-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,3578,24,VERA ZIJLSTRA,F,NED,29,22,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,3198,25,ANOUK PIOLA,F,SUI,19+,22-,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4917,26,FLORENCE PINET,F,FRA,19,19,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,5012,27,ANDREA BRIGITTA SZEKELY,F,HUN,19-,,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4926,28,IRATI ANDA VILLANUEVA,F,ESP,15-,,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,306,28,MURIEL SARKANY,F,BEL,15-,,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,5644,28,CHRISTINA SCHMID,F,SUI,15-,,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,5828,28,AKI TANAKA,F,JPN,15-,,
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,4767,32,ZOË MAIRE,F,SUI,14,,
