Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1121,1,MAJA STREMFELJ,SLO,TOP  1. | TOP  1. [6.16],TOP,71-
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1207,2,ANGELA EITER,AUT,TOP  1. | TOP  1. [6.16],TOP,69
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,2035,2,JAIN KIM,KOR,TOP  1. | TOP  1. [6.16],TOP,69
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1122,4,MINA MARKOVIC,SLO,62-  13. | TOP  1. [11.11],TOP,65+
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1119,5,NATALIJA GROS,SLO,TOP  1. | TOP  1. [6.16],48-,64
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,442,6,ALIZÉE DUFRAISSE,FRA,TOP  1. | TOP  1. [6.16],53-,63-
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,2251,7,YUKA KOBAYASHI,JPN,62+  11. | TOP  1. [10.45],48-,63-
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,306,8,MURIEL SARKANY,BEL,TOP  1. | TOP  1. [6.16],55,60+
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4535,9,ALEXANDRA EYER,SUI,54+  16. | TOP  1. [13.26],48-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,438,10,CAROLINE CIAVALDINI,FRA,63-  8. | TOP  1. [9.25],47,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,58,11,YANA CHERESHNEVA,RUS,63-  8. | TOP  1. [9.25],47-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,454,12,MELISSA LE NEVE,FRA,52+  24. | TOP  1. [15.10],44+,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1210,13,CHRISTINE SCHRANZ,AUT,54-  22. | 44   21. [21.74],44,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,446,14,MARINE THÉVENET,FRA,54+  16. | 36-  25. [23.56],42-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,49,15,EVGENIIA MALAMID,RUS,63-  8. | TOP  1. [9.25],41-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1202,16,BARBARA BACHER,AUT,46-  27. | 50   19. [23.16],41-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4920,17,KINGA OCIEPKA,POL,54+  16. | 36-  25. [23.56],41-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4922,18,ASJA GOSAR,SLO,56-  15. | 50   19. [17.10],26-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,2043,19,SEURAN HAN,KOR,54+  16. | 36-  25. [23.56],25+,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,848,20,JENNY LAVARDA,ITA,62+  11. | TOP  1. [10.45],24-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,5422,21,MATHILDE COUCHOT,FRA,30+  36. | TOP  1. [18.62],24-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1203,22,BETTINA SCHÖPF,AUT,57+  14. | 36-  25. [20.49],23+,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1219,23,JOHANNA ERNST,AUT,TOP  1. | 36-  25. [10.95],23-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,445,24,CHARLOTTE DURIF,FRA,54+  16. | TOP  1. [13.26],23-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1712,25,SASHA DIGIULIAN,USA,54-  22. | TOP  1. [14.62],23-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,2823,26,JULIANE WURM,GER,47-  25. | TOP  1. [15.56],23-,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,427,27,CECILE AVEZOU,FRA,47-  25. | 42   23. [24.48],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,3130,28,KATHERINE CHOONG,SUI,54+  16. | 34+  36. [25.99],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,41,29,OLGA BIBIK,RUS,42+  30. | 42   23. [26.55],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,5798,30,PAIGE CLAASSEN,USA,30+  36. | 43   22. [28.34],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4702,31,OLENA OSTAPENKO,UKR,46-  27. | 36-  25. [28.72],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,764,32,INES DULL-KRETSCHMER,GER,39-  31. | 36-  25. [30.50],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,5012,33,ANDREA BRIGITTA SZEKELY,HUN,37+  32. | 36-  25. [31.22],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,5678,33,EMELINE THOMAS,FRA,37+  32. | 36-  25. [31.22],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4554,35,BERTA MARTIN SANCHO,ESP,35-  34. | 36-  25. [32.17],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4912,36,SARA AVOSCAN,ITA,44+  29. | 34+  36. [32.53],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,71,37,GALINA TERENTEVA,RUS,26+  42. | 36-  25. [35.50],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4921,38,HELENA ALEMAN SOBRINO,ESP,35-  34. | 26-  41. [37.84],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,777,39,ANDREA CARTAS BARRERA,ESP,27+  39. | 29+  39. [39.25],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,2044,40,HANNARAI SONG,KOR,27-  41. | 34   38. [39.47],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,73,41,ANNA TSYGANOVA,RUS,27+  39. | 28+  40. [39.75],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,4762,42,MAGALI HAYEN,BEL,30-  38. | 21-  44. [40.89],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,6004,43,MONIKA PIASECKA,POL,22+  45. | 26-  41. [43.45],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,6005,44,ITZIAR RODRÍGUEZ MENARQEZ,ESP,22+  45. | 22-  43. [44.23],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,6006,45,TYLER YOUNGWERTH,USA,25+  43. | 20+  45. [44.24],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,6007,46,JESSE YOUNGWERTH,USA,25+  43. | 12-  47. [45.46],,
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,5932,47,MARTA SAVKINA,RUS,22-  47. | 20   46. [46.50],,
