Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1219,1,JOHANNA ERNST,F,AUT,TOP  1. | TOP  1. [8.25],TOP,26-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1119,2,NATALIJA GROS,F,SLO,TOP  1. | TOP  1. [8.25],42,26-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",58,3,YANA CHERESHNEVA,F,RUS,TOP  1. | TOP  1. [8.25],39-,26-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",438,4,CAROLINE CIAVALDINI,F,FRA,TOP  1. | TOP  1. [8.25],42-,19-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1207,5,ANGELA EITER,F,AUT,TOP  1. | TOP  1. [8.25],43-,15-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2251,6,YUKA KOBAYASHI,F,JPN,TOP  1. | TOP  1. [8.25],42-,15-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4917,7,FLORENCE PINET,F,FRA,35-  16. | TOP  1. [12.02],40,15-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",306,8,MURIEL SARKANY,F,BEL,33+  25. | TOP  1. [15.01],38+,0
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4535,9,ALEXANDRA EYER,F,SUI,35-  16. | 38-  22. [19.56],38+,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2253,10,AKIYO NOGUCHI,F,JPN,TOP  1. | TOP  1. [8.25],38,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",49,11,EVGENIIA MALAMID,F,RUS,TOP  1. | TOP  1. [8.25],38-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",445,12,CHARLOTTE DURIF,F,FRA,TOP  1. | 41-  18. [12.00],37,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4922,13,ASJA GOSAR,F,SLO,TOP  1. | TOP  1. [8.25],35,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1121,13,MAJA STREMFELJ,F,SLO,TOP  1. | TOP  1. [8.25],35,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1203,15,BETTINA SCHÖPF,F,AUT,TOP  1. | 39+  21. [12.96],35-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",442,16,ALIZÉE DUFRAISSE,F,FRA,34   19. | 41   17. [18.21],35-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1202,17,BARBARA BACHER,F,AUT,33+  25. | 40-  19. [22.73],35-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",848,18,JENNY LAVARDA,F,ITA,28-  41. | TOP  1. [19.12],34,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1122,19,MINA MARKOVIC,F,SLO,34-  21. | 35-  27. [24.65],34-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2035,20,JAIN KIM,F,KOR,TOP  1. | TOP  1. [8.25],33,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4912,21,SARA AVOSCAN,F,ITA,35-  16. | 32-  34. [24.04],33,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1210,22,CHRISTINE SCHRANZ,F,AUT,34   19. | TOP  1. [12.87],33-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",455,23,HÉLÈNE JANICOT,F,FRA,33+  25. | 40-  19. [22.73],31,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3130,24,KATHERINE CHOONG,F,SUI,TOP  1. | 36   26. [14.42],29-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2823,25,JULIANE WURM,F,GER,TOP  1. | 38-  22. [13.42],24-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2043,26,SEURAN HAN,F,KOR,33+  25. | TOP  1. [15.01],9-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",427,27,CECILE AVEZOU,F,FRA,34-  21. | 34   28. [26.20],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5678,27,EMELINE THOMAS,F,FRA,34-  21. | 34   28. [26.20],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",446,29,MARINE THÉVENET,F,FRA,29-  32. | 36+  25. [29.37],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4916,30,MATHILDE BRUMAGNE,F,BEL,33   29. | 34   28. [30.00],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5422,31,MATHILDE COUCHOT,F,FRA,28-  41. | 37-  24. [32.12],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4919,32,STEPHANIE TRABER,F,FRA,29-  32. | 34   28. [32.44],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4735,33,KSENIIA ALEKSEEVA,F,RUS,34-  21. | 26   50. [33.54],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4764,34,MANUELA SIGRIST,F,SUI,32   31. | 30   36. [33.64],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1205,35,SABINE BACHER,F,AUT,29-  32. | 31   35. [34.75],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3580,36,NIKKI VAN BERGEN,F,NED,29-  32. | 30   36. [35.49],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5798,37,PAIGE CLAASSEN,F,USA,28-  41. | 34   28. [36.21],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5542,37,CELINE FERGEAU,F,FRA,28-  41. | 34   28. [36.21],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",764,39,INES DULL-KRETSCHMER,F,GER,33   29. | 27-  46. [36.84],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",853,40,ALEXANDRA LADURNER,F,ITA,29-  32. | 28.5   44. [38.96],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4913,41,JULIA SERRIÈRE,F,FRA,28+  38. | 29   39. [39.49],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",777,42,ANDREA CARTAS BARRERA,F,ESP,29-  32. | 26.5+  47. [40.27],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5645,43,LUISA NEUMÄRKER,F,GER,28-  41. | 30-  38. [40.42],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3059,44,HANNAH MIDTBOE,F,NOR,28   40. | 29-  43. [41.47],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5320,45,EMELINE TESO,F,FRA,28+  38. | 26.5-  49. [43.43],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2044,46,HANNARAI SONG,F,KOR,27   46. | 29   39. [43.63],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",851,46,MANUELA VALSECCHI,F,ITA,27   46. | 29   39. [43.63],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4925,48,JESSICA FAURE,F,FRA,25-  51. | 29   39. [45.67],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5473,49,LUCIE HROZOVA,F,CZE,25   50. | 28   45. [47.43],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4767,50,ZOË MAIRE,F,SUI,27   46. | 26.5   48. [47.50],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4762,51,MAGALI HAYEN,F,BEL,26   49. | 24+  51. [49.99],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3133,52,JANINE CARDOSO,F,BRA,25-  51. | 15-  55. [53.46],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5723,53,EVREN KARADAĞ,F,TUR,19-  55. | 20   52. [53.48],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5999,54,ADELINE EUVRARD,F,FRA,24-  53. | 18-  54. [53.50],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5725,55,GURGEL OZVER,F,TUR,14+  58. | 19.5-  53. [55.44],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5012,56,ANDREA BRIGITTA SZEKELY,F,HUN,21+  54. | 11+  57. [55.48],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",6000,57,GAMEZ CIRIK,F,TUR,16-  56. | 15-  55. [56.00],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",6001,58,MAGNHILD OEFSTI,F,NOR,16-  56. | 8-  58. [57.25],,
