Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2035,1,JAIN KIM,KOR,TOP  1. | TOP  1. [2.24],TOP,47-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",438,2,CAROLINE CIAVALDINI,FRA,TOP  1. | 40+  2. [3.16],42,38-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1207,3,ANGELA EITER,AUT,TOP  1. | 40   3. [5.48],47+,34-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1119,4,NATALIJA GROS,SLO,TOP  1. | 40-  10. [7.25],44-,34-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",58,5,YANA CHERESHNEVA,RUS,TOP  1. | 40   3. [5.48],46-,33+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",306,6,MURIEL SARKANY,BEL,35+  13. | 39+  12. [12.99],46-,33+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1122,7,MINA MARKOVIC,SLO,31   17. | 40   3. [10.10],45,33+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1121,8,MAJA STREMFELJ,SLO,31-  18. | 36   18. [18.25],46-,28
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2253,9,AKIYO NOGUCHI,JPN,TOP  1. | 40   3. [5.48],41+,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2263,9,MOMOKA ODA,JPN,TOP  1. | 40   3. [5.48],41+,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1210,11,CHRISTINE SCHRANZ,AUT,40   10. | 39+  12. [11.18],41+,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4535,12,ALEXANDRA EYER,SUI,35   15. | 34   19. [16.88],41+,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",445,13,CHARLOTTE DURIF,FRA,TOP  1. | 39   14. [8.51],41-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",442,14,ALIZÉE DUFRAISSE,FRA,38   11. | 40-  10. [10.75],40.1,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1202,15,BARBARA BACHER,AUT,31-  18. | 37+  16. [17.20],35,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",455,16,HÉLÈNE JANICOT,FRA,32-  16. | 36+  17. [16.49],33-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2047,17,SOL SA,KOR,35+  13. | 40   3. [9.00],29-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4915,18,WOON-SEON SHIN,KOR,37-  12. | 39   14. [13.19],27-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2267,19,RISA OTA,JPN,30   20. | 31   21. [20.49],21,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4991,20,AZUMI IIDA,JPN,24-  21. | 29   22. [22.25],21-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2933,21,XUHUA PAN,CHN,24-  21. | 25   24. [23.24],21-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2251,22,YUKA KOBAYASHI,JPN,TOP  1. | 40   3. [5.48],16-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4992,23,YUKO SAKAKIBARA,JPN,24-  21. | 31+  20. [21.21],16-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4993,24,YOUN A KIM,KOR,23+  25. | 27-  23. [23.98],16-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2044,25,HANNARAI SONG,KOR,24-  21. | 17-  26. [24.19],16-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2049,26,JIHYEON JEONG,KOR,23-  26. | 15   28. [26.98],10-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4994,27,MINYOUNG HA,KOR,21   27. | 15+  27. [27.25],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4995,28,SARAH GILMOUR,NZL,19   31. | 19+  25. [27.84],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4996,29,YOUNGHEE KIM,KOR,21   27. | 14+  29. [28.48],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4997,30,AMANDA SPEED,NZL,20-  30. | 14+  29. [29.75],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4998,31,HYOJUNG KIM,KOR,21-  29. | 14   31. [30.22],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4999,32,EUNJOUNG YANG,KOR,18   32. | 14   31. [31.75],,
