Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,2035,1,JAIN KIM,F,KOR,27-  21. | TOP  1. [9.35],TOP,33+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1122,2,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [5.12],TOP,29-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,2253,3,AKIYO NOGUCHI,F,JPN,TOP  1. | TOP  1. [5.12],34-,27.5+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1207,4,ANGELA EITER,F,AUT,TOP  1. | TOP  1. [5.12],37-,21-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1222,5,KATHARINA POSCH,F,AUT,TOP  1. | 37-  7. [8.44],31-,21-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1119,6,NATALIJA GROS,F,SLO,TOP  1. | TOP  1. [5.12],35-,20.5+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1121,7,MAJA STREMFELJ,F,SLO,TOP  1. | 33   26. [13.96],31,20.5+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,2251,8,YUKA KOBAYASHI,F,JPN,33-  17. | 36+  13. [16.16],31+,20-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,68,9,DINARA FAKHRITDINOVA,F,RUS,27-  21. | TOP  1. [9.35],31-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,438,10,CAROLINE CIAVALDINI,F,FRA,36-  15. | 36+  13. [14.75],31-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,455,11,HÉLÈNE JANICOT,F,FRA,17-  31. | 37-  7. [17.57],31-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4916,12,MATHILDE BRUMAGNE,F,BEL,TOP  1. | 37-  7. [8.44],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,58,13,YANA CHERESHNEVA,F,RUS,33-  17. | 37-  7. [13.08],29,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4920,14,KINGA OCIEPKA,F,POL,TOP  1. | 35+  21. [12.85],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,49,15,EVGENIIA MALAMID,F,RUS,TOP  1. | 37-  7. [8.44],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4764,15,MANUELA SIGRIST,F,SUI,TOP  1. | 37-  7. [8.44],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,2263,17,MOMOKA ODA,F,JPN,TOP  1. | 36   17. [11.78],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,442,18,ALIZÉE DUFRAISSE,F,FRA,30   20. | 32-  28. [24.49],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1202,19,BARBARA BACHER,F,AUT,TOP  1. | 35+  21. [12.85],24,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,445,20,CHARLOTTE DURIF,F,FRA,27-  21. | 36   17. [21.51],23+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1209,21,KATHARINA SAURWEIN,F,AUT,27-  21. | 36   17. [21.51],23-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1224,22,MAGDALENA RÖCK,F,AUT,33-  17. | 35   24. [20.78],20-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,848,23,JENNY LAVARDA,F,ITA,35-  16. | 36+  13. [15.23],18,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4535,24,ALEXANDRA EYER,F,SUI,TOP  1. | 36   17. [11.78],13-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1210,25,CHRISTINE SCHRANZ,F,AUT,TOP  1. | 36+  13. [10.43],12-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,3130,26,KATHERINE CHOONG,F,SUI,27-  21. | 35+  21. [23.45],9-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4922,27,ASJA GOSAR,F,SLO,27-  21. | 34-  25. [25.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,3580,28,NIKKI VAN BERGEN,F,NED,27-  21. | 33-  27. [25.98],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4912,29,SARA AVOSCAN,F,ITA,27-  21. | 32-  28. [27.39],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,5029,29,KATHARINA PÖLL,F,AUT,27-  21. | 32-  28. [27.39],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,3198,31,ANOUK PIOLA,F,SUI,22+  30. | 26-  33. [31.46],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,5012,32,ANDREA BRIGITTA SZEKELY,F,HUN,16   35. | 32-  28. [32.40],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,4702,33,OLENA OSTAPENKO,F,UKR,13-  36. | 32-  28. [33.09],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,1205,34,SABINE BACHER,F,AUT,17-  31. | 25-  34. [33.73],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,5030,34,CHRISTINA STÜTZ,F,AUT,17-  31. | 25-  34. [33.73],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,5031,34,TINA SUSTERSIC,F,SLO,17-  31. | 25-  34. [33.73],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,5032,37,JANINA GMITER,F,POL,13-  36. | 20   37. [36.75],,
