Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2035,1,JAIN KIM,F,KOR,TOP  1. | TOP  1. [5.24],35+,TOP
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,1122,2,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [5.24],41+,52
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,455,3,HÉLÈNE JANICOT,F,FRA,TOP  1. | TOP  1. [5.24],38,50+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,68,4,DINARA FAKHRITDINOVA,F,RUS,TOP  1. | TOP  1. [5.24],37+,50+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,445,5,CHARLOTTE DURIF,F,FRA,TOP  1. | 40+  10. [7.95],33+,50+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2253,6,AKIYO NOGUCHI,F,JPN,TOP  1. | TOP  1. [5.24],36+,44+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,1222,7,KATHARINA POSCH,F,AUT,36+  21. | 40+  10. [16.61],32+,38+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,1224,8,MAGDALENA RÖCK,F,AUT,TOP  1. | TOP  1. [5.24],39+,33
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,3580,9,NIKKI VAN BERGEN,F,NED,TOP  1. | TOP  1. [5.24],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,848,10,JENNY LAVARDA,F,ITA,40+  11. | 40   14. [14.73],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,4913,11,JULIA SERRIÈRE,F,FRA,40   18. | 40   14. [16.93],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,1202,12,BARBARA BACHER,F,AUT,38+  20. | 36   21. [20.74],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2267,13,RISA OTA,F,JPN,40   18. | 40   14. [16.93],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,3130,14,KATHERINE CHOONG,F,SUI,34+  30. | 37+  18. [24.14],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2251,15,YUKA KOBAYASHI,F,JPN,40+  11. | 24   43. [24.82],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,315,16,ANAK VERHOEVEN,F,BEL,TOP  1. | 37+  18. [10.09],29,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,49,17,EVGENIIA MALAMID,F,RUS,36+  21. | TOP  1. [10.95],29,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,466,18,JULIA CHANOURDIE,F,FRA,40+  11. | 35+  23. [18.33],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,467,18,SALOMÉ ROMAIN,F,FRA,40+  11. | 35+  23. [18.33],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2263,20,MOMOKA ODA,F,JPN,TOP  1. | TOP  1. [5.24],24,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,4916,21,MATHILDE BRUMAGNE,F,BEL,40+  11. | 40+  10. [12.69],24,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,100,22,DANA GILEMKHANOVA,F,RUS,34+  30. | 40+  10. [19.03],24,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,5031,23,TINA SUSTERSIC,F,SLO,36+  21. | 36+  20. [21.91],24,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,3247,24,REBEKKA STOTZ,F,SUI,40+  11. | 25   40. [23.66],23+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,5030,25,CHRISTINA STÜTZ,F,AUT,36+  21. | 35+  23. [24.00],23,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,1121,26,MAJA STREMFELJ,F,SLO,40+  11. | 24   43. [24.82],23,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,6177,27,ANA TIRIPA,F,GER,36+  21. | 36   21. [22.72],19,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,58,28,YANA CHERESHNEVA,F,RUS,18   47. | 40   14. [27.13],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,1209,29,KATHARINA SAURWEIN,F,AUT,35+  28. | 34+  26. [27.22],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2047,30,SOL SA,F,KOR,32+  34. | 32+  27. [30.30],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2294,31,MIHO NONAKA,F,JPN,35+  28. | 28   34. [31.13],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2044,32,HANNARAI SONG,F,KOR,34+  30. | 28+  30. [31.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,633,33,NATALIE BERRY,F,GBR,30+  35. | 30+  28. [31.53],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,5012,34,ANDREA BRIGITTA SZEKELY,F,HUN,36+  21. | 24+  41. [31.56],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,483,35,PALOMA SIMON,F,FRA,29+  37. | 29   29. [32.98],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,860,36,CLAUDIA GHISOLFI,F,ITA,34+  30. | 26+  35. [33.67],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,4764,37,MANUELA SIGRIST,F,SUI,36+  21. | 19+  48. [33.94],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,6211,38,ANASTASIIA SAMOILINA,F,RUS,28+  39. | 28+  30. [35.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,6179,39,HANNAH BAEHR,F,GER,30+  35. | 26+  35. [35.75],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2666,40,KATRIN AMANN,F,SWE,26   42. | 28+  30. [36.37],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,6033,41,FEDERICA MINGOLLA,F,ITA,29+  37. | 26+  35. [36.74],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,3060,42,TINA JOHNSEN HAFSAAS,F,NOR,23   45. | 28+  30. [37.65],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,4926,43,IRATI ANDA VILLANUEVA,F,ESP,28+  39. | 26   38. [38.99],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,99,44,EVGENIYA LAPSHINA,F,RUS,28+  39. | 25+  39. [39.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,6266,45,EMILIA GRUSZEWSKA,F,POL,25   43. | 24   43. [43.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,6267,46,SABINE VANDEWOESTYNE,F,FRA,18   47. | 24+  41. [44.40],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,4702,47,OLENA OSTAPENKO,F,UKR,24   44. | 23+  46. [44.99],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,3176,48,FRANCIS RODRIGUEZ,F,VEN,21   46. | 23   47. [46.50],,
