Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2035,1,JAIN KIM,F,KOR,TOP  1. | TOP  1. [3.46],52+,47+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1122,2,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [3.46],TOP,45+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2263,3,MOMOKA ODA,F,JPN,TOP  1. | TOP  1. [3.46],55,44
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,68,4,DINARA FAKHRITDINOVA,F,RUS,TOP  1. | TOP  1. [3.46],55+,41+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,315,5,ANAK VERHOEVEN,F,BEL,46+  9. | TOP  1. [5.34],48+,36
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1121,6,MAJA STREMFELJ,F,SLO,46   11. | 44   10. [10.75],42,36
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2253,7,AKIYO NOGUCHI,F,JPN,46+  9. | 47+  6. [7.55],43+,34+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1224,8,MAGDALENA RÖCK,F,AUT,TOP  1. | 45+  7. [5.48],51+,11+
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1222,9,KATHARINA POSCH,F,AUT,47   8. | 43+  12. [10.39],40+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,467,10,SALOMÉ ROMAIN,F,FRA,TOP  1. | 43+  12. [7.35],38+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3580,11,NIKKI VAN BERGEN,F,NED,45+  12. | 44+  9. [10.61],37+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,5031,12,TINA SUSTERSIC,F,SLO,42+  15. | 39+  17. [16.93],37+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1226,13,JESSICA PILZ,F,AUT,45+  12. | 45+  7. [9.68],37,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,455,14,HÉLÈNE JANICOT,F,FRA,TOP  1. | 44   10. [6.48],36+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2268,15,AYA ONOE,F,JPN,45   14. | 43+  12. [13.75],36+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2251,16,YUKA KOBAYASHI,F,JPN,42+  15. | 43+  12. [14.47],36+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,4916,17,MATHILDE BRUMAGNE,F,BEL,28   31. | 39   21. [25.51],35,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1202,18,BARBARA BACHER,F,AUT,38+  21. | 39+  17. [20.17],34+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1209,19,KATHARINA SAURWEIN,F,AUT,41+  17. | 36+  22. [19.56],32,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3254,20,ANDREA KÜMIN,F,SUI,38+  21. | 35+  24. [22.98],32,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1130,21,KATJA DEBEVEC,F,SLO,36+  24. | 42+  16. [19.80],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,860,22,CLAUDIA GHISOLFI,F,ITA,40+  18. | 30+  31. [23.95],31+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,5030,23,CHRISTINA STÜTZ,F,AUT,38+  21. | 39+  17. [20.17],30,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,4764,24,MANUELA SIGRIST,F,SUI,39+  20. | 34+  26. [23.02],26+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,462,25,MANON HILY,F,FRA,40+  18. | 39+  17. [18.50],25+,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3060,26,TINA JOHNSEN HAFSAAS,F,NOR,36+  24. | 36+  22. [23.48],17,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2294,27,MIHO NONAKA,F,JPN,33+  26. | 34+  26. [26.25],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3426,28,ANNE-SOPHIE KOLLER,F,SUI,29   29. | 35   25. [26.93],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3984,29,NETTA FREDMAN,F,ISR,31+  27. | 31   30. [28.46],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,6033,30,FEDERICA MINGOLLA,F,ITA,28+  30. | 33+  28. [28.98],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,3203,31,JARA SPÄTE,F,SUI,30+  28. | 30   32. [29.93],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1486,32,IEVGENIIA KAZBEKOVA,F,UKR,27   34. | 33   29. [31.40],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,6015,33,OLENA SHURUBOR,F,UKR,27+  32. | 25+  33. [33.00],,
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1370,33,TEREZA SVOBODOVA,F,CZE,27+  32. | 25+  33. [33.00],,
