Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1122,1,MINA MARKOVIC,F,SLO,TOP  1. | 40+  2. [1.73],46+,46+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2035,2,JAIN KIM,F,KOR,TOP  1. | TOP  1. [1.22],39,42+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2253,3,AKIYO NOGUCHI,F,JPN,35   9. | 36+  8. [9.25],37+,36
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1226,4,JESSICA PILZ,F,AUT,36+  6. | 38+  3. [4.58],32+,31+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1222,5,KATHARINA POSCH,F,AUT,34.5+  10. | 38+  3. [6.06],32+,28
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2251,6,YUKA KOBAYASHI,F,JPN,35+  7. | 33+  20. [12.25],35+,27+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,315,7,ANAK VERHOEVEN,F,BEL,37   5. | 37+  5. [5.24],32+,24+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1121,8,MAJA STREMFELJ,F,SLO,37+  3. | 36+  8. [5.77],32+,24
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1224,9,MAGDALENA RÖCK,F,AUT,35+  7. | 37+  5. [6.42],32+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,455,10,HÉLÈNE JANICOT,F,FRA,30+  16. | 34   19. [17.97],32+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,442,11,ALIZÉE DUFRAISSE,F,FRA,34.5+  10. | 37   7. [8.57],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,3580,12,NIKKI VAN BERGEN,F,NED,29+  20. | 34+  15. [18.61],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2267,13,RISA OTA,F,JPN,34   13. | 36+  8. [11.11],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,456,14,MATHILDE BECERRA,F,FRA,37+  3. | 34+  15. [7.60],29+,
