Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",1122,1,MINA MARKOVIC,F,SLO,TOP  1. | 42+  2. [2.45],35+,31+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",315,2,ANAK VERHOEVEN,F,BEL,36   6. | 42+  2. [5.29],35,24+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",455,3,HÉLÈNE JANICOT,F,FRA,36+  4. | TOP  1. [2.12],30+,20+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",1224,4,MAGDALENA RÖCK,F,AUT,36+  4. | 37   9. [6.36],35+,17+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",1222,5,KATHARINA POSCH,F,AUT,36   6. | 42+  2. [5.29],35,17+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",2251,6,YUKA KOBAYASHI,F,JPN,36   6. | 35+  11. [8.77],31+,17+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",2268,7,AYA ONOE,F,JPN,32+  11. | 37+  7. [9.49],26+,15+
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",1121,8,MAJA STREMFELJ,F,SLO,32+  11. | 34+  12. [12.00],36+,13
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",1210,9,CHRISTINE SCHRANZ,F,AUT,31+  14. | 34   13. [13.49],22+,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",2035,10,JAIN KIM,F,KOR,TOP  1. | 42+  2. [2.45],21+,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",3580,11,NIKKI VAN BERGEN,F,NED,33+  9. | 36   10. [9.75],20+,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",1202,12,BARBARA BACHER,F,AUT,30+  15. | 30+  14. [14.49],20+,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",68,13,DINARA FAKHRITDINOVA,F,RUS,37+  3. | 37+  7. [4.74],20,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",445,14,CHARLOTTE DURIF,F,FRA,33+  9. | 42+  2. [6.16],20,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",3984,15,NETTA FREDMAN,F,ISR,32+  11. | 22+  15. [13.42],19+,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",2941,16,DI NIU,F,CHN,24+  16. | 18+  16. [16.00],18+,
