Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1122,1,MINA MARKOVIC,SLO,TOP  1. | TOP  1. [5.24],TOP,57+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1226,2,JESSICA PILZ,AUT,TOP  1. | TOP  1. [5.24],42+,57+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,315,3,ANAK VERHOEVEN,BEL,TOP  1. | TOP  1. [5.24],TOP,55+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2035,4,JAIN KIM,KOR,TOP  1. | TOP  1. [5.24],TOP,39
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,455,5,HÉLÈNE JANICOT,FRA,TOP  1. | TOP  1. [5.24],42+,37+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1139,6,TJASA KALAN,SLO,40   15. | TOP  1. [9.53],42,37+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2267,7,RISA OTA,JPN,41   12. | 47+  11. [12.96],41+,37+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2251,8,YUKA KOBAYASHI,JPN,39+  19. | 47+  11. [16.52],42+,36+
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,456,9,MATHILDE BECERRA,FRA,TOP  1. | 47+  11. [8.37],41,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2671,10,KAJSA ROSEN,SWE,TOP  1. | TOP  1. [5.24],39+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,49,11,EVGENIIA MALAMID,RUS,TOP  1. | 45+  18. [9.62],39+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1222,12,KATHARINA POSCH,AUT,39   21. | TOP  1. [10.75],39+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3247,13,REBEKKA STOTZ,SUI,40+  13. | 47+  11. [13.75],39+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,466,14,JULIA CHANOURDIE,FRA,40   15. | TOP  1. [9.53],37+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3130,15,KATHERINE CHOONG,SUI,33+  24. | 42+  21. [23.72],36+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2268,16,AYA ONOE,JPN,40+  13. | 47+  11. [13.75],36,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,442,17,ALIZÉE DUFRAISSE,FRA,44+  10. | 47+  11. [11.83],35+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1210,18,CHRISTINE SCHRANZ,AUT,43   11. | 42   25. [16.58],35,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1224,19,MAGDALENA RÖCK,AUT,TOP  1. | 47+  11. [8.37],29+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,848,20,JENNY LAVARDA,ITA,39+  19. | TOP  1. [10.36],29+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3984,21,NETTA FREDMAN,ISR,40   15. | 37   27. [21.11],29+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3060,22,TINA JOHNSEN HAFSAAS,NOR,38   22. | 42+  21. [22.50],29,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3888,23,ALINA RING,SUI,38   22. | 42+  21. [22.50],27+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1724,24,DELANEY MILLER,USA,40   15. | 45   20. [18.17],26+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1202,25,BARBARA BACHER,AUT,31+  27. | 42+  21. [24.65],21+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,1369,26,IVA ONDRA,CZE,33+  24. | 45+  18. [21.51],20+,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,68,27,DINARA FAKHRITDINOVA,RUS,33+  24. | 40+  26. [25.50],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6137,28,MARIA DAVIES SANDBU,NOR,31   28. | 36   28. [28.74],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,328,29,HELOÏSE DOUMONT,BEL,31   28. | 34+  29. [29.25],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3865,30,MICHELLE KIM THEISEN,DEN,31   28. | 33+  30. [29.75],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2669,31,STELLA PLANTIN,SWE,31   28. | 33   31. [30.24],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2666,32,KATRIN AMANN,SWE,30   32. | 31   32. [32.00],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3064,33,LISA-MARIE KVANDAHL,NOR,25+  33. | 29+  33. [34.00],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6432,33,JULIA MASSULLO,CAN,25+  33. | 29+  33. [34.00],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,3075,35,ELINE NÆSHEIM,NOR,25+  33. | 29   36. [34.99],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2490,36,ROXY PERRY,AUS,19   37. | 29+  33. [35.47],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6433,37,RAGNHILD ERIKSRUD,NOR,25   36. | 22   37. [36.50],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6434,38,JORUN RENNAN,NOR,17   38. | 17   40. [38.99],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6435,39,IDA MARIE HØIAAS,NOR,16   39. | 17+  39. [39.25],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6436,40,BIBIANA DAHLE NESS,NOR,14+  41. | 20   38. [39.47],,
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,6437,41,LØVMO MIA KVÅLE,NOR,16   39. | 7   41. [40.24],,
