Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1122,1,MINA MARKOVIC,F,SLO,45   2. | TOP  1. [2.00],TOP,TOP
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1147,2,JANJA GARNBRET,F,SLO,44+  3. | TOP  1. [2.83],TOP,TOP
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1226,3,JESSICA PILZ,F,AUT,40+  7. | 43+  4. [6.00],TOP,47
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",315,4,ANAK VERHOEVEN,F,BEL,40   12. | 32+  12. [12.73],47,45+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2035,5,JAIN KIM,F,KOR,TOP  1. | TOP  1. [1.41],TOP,43+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",455,6,HÉLÈNE JANICOT,F,FRA,42+  6. | 32+  12. [9.00],47,42+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",68,7,DINARA FAKHRITDINOVA,F,RUS,44+  3. | 32   16. [8.12],47,32+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2268,8,AYA ONOE,F,JPN,39+  13. | 35+  6. [9.19],46+,26+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",467,9,SALOMÉ ROMAIN,F,FRA,37+  19. | 29+  20. [20.98],46,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1724,10,DELANEY MILLER,F,USA,40+  7. | 34+  8. [8.49],45,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2267,11,RISA OTA,F,JPN,40+  7. | 35+  6. [7.65],44+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1210,12,CHRISTINE SCHRANZ,F,AUT,38+  16. | 33+  9. [12.37],41+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",49,13,EVGENIIA MALAMID,F,RUS,29+  32. | 29+  20. [27.95],41+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",3580,14,NIKKI VAN BERGEN,F,NED,34+  23. | 33   10. [15.71],39,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2251,15,YUKA KOBAYASHI,F,JPN,38+  16. | 27+  27. [22.77],39,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",456,16,MATHILDE BECERRA,F,FRA,44+  3. | 38+  5. [4.47],38+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1139,17,TJASA KALAN,F,SLO,40+  7. | 33   10. [9.72],38+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",445,18,CHARLOTTE DURIF,F,FRA,39   14. | 32+  12. [13.99],38+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",3426,19,ANNE-SOPHIE KOLLER,F,SUI,29+  32. | 29+  20. [27.95],38+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",3984,20,NETTA FREDMAN,F,ISR,38+  16. | 26.5+  37. [25.08],37.5,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1222,21,KATHARINA POSCH,F,AUT,37+  19. | 32   16. [18.17],37+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",466,22,JULIA CHANOURDIE,F,FRA,37   22. | 32+  12. [17.23],37,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",4960,23,MATILDA SÖDERLUND,F,SWE,37+  19. | 29+  20. [20.98],36,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",442,24,ALIZÉE DUFRAISSE,F,FRA,39   14. | 31+  18. [16.38],30+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",891,25,ASJA GOLLO,F,ITA,34+  23. | 27+  27. [26.77],30,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1224,26,MAGDALENA RÖCK,F,AUT,40+  7. | 31+  18. [12.90],18+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",457,27,NOLWEN BERTHIER,F,FRA,33+  25. | 27+  27. [27.61],18+,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",3254,28,ANDREA KÜMIN,F,SUI,33   26. | 27+  27. [28.16],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1369,29,IVA ONDRA,F,CZE,29+  32. | 28+  25. [29.79],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",860,30,CLAUDIA GHISOLFI,F,ITA,30+  29. | 27+  27. [30.25],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2055,30,MINSEON KIM,F,KOR,30+  29. | 27+  27. [30.25],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1232,30,HANNAH SCHUBERT,F,AUT,30+  29. | 27+  27. [30.25],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",3130,33,KATHERINE CHOONG,F,SUI,29+  32. | 28   26. [30.38],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1239,34,JULIA FISER,F,AUT,28   43. | 29+  20. [30.76],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",848,35,JENNY LAVARDA,F,ITA,29+  32. | 27   35. [35.50],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1202,36,BARBARA BACHER,F,AUT,27+  44. | 27+  27. [37.46],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",5542,37,CELINE FERGEAU,F,FRA,32+  27. | 21+  50. [37.65],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",6347,38,MARTINA BLANCHET,F,ITA,28+  41. | 26+  38. [39.97],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2053,39,HAIMI CHO,F,KOR,29+  32. | 22+  43. [40.41],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",3247,39,REBEKKA STOTZ,F,SUI,29+  32. | 22+  43. [40.41],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",118,41,IULIIA PANTELEEVA,F,RUS,29   40. | 25+  41. [40.74],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",485,42,SOLÈNE AMOROS,F,FRA,31+  28. | 1   62. [41.67],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2056,43,JIWON BAE,F,KOR,26+  49. | 27   35. [41.92],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",4301,44,MICHELLE HULLIGER,F,SUI,27+  44. | 26+  38. [42.08],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2936,45,LAMU RENQING,F,CHN,29+  32. | 21+  50. [43.17],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1486,46,IEVGENIIA KAZBEKOVA,F,UKR,28+  41. | 22+  43. [43.69],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2850,47,KATARZYNA EKWINSKA,F,POL,25   52. | 26   40. [45.61],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",539,48,LÉA MARIGO,F,FRA,27+  44. | 22+  43. [46.00],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",71,48,GALINA TERENTEVA,F,RUS,27+  44. | 22+  43. [46.00],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",94,50,ANASTASIIA GOLIKOVA,F,RUS,25+  51. | 25+  41. [46.01],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2051,51,SEUNGHYUN KIM,F,KOR,27+  44. | 21+  50. [49.14],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",70,52,ANNA ZAIKINA,F,RUS,21+  54. | 22+  43. [50.07],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",4926,53,IRATI ANDA VILLANUEVA,F,ESP,26+  49. | 21+  50. [50.98],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1569,54,ALISON STEWART-PATTERSON,F,CAN,20+  57. | 22+  43. [52.10],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2666,55,KATRIN AMANN,F,SWE,24+  53. | 21+  50. [52.75],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2488,56,LUCINDA ANN TURNBULL,F,AUS,21+  54. | 21+  50. [53.49],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1370,57,TEREZA SVOBODOVA,F,CZE,20+  57. | 21   56. [57.48],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",1368,58,GABRIELA VRABLIKOVA,F,CZE,20+  57. | 19+  57. [57.99],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",321,59,CELINE CUYPERS,F,BEL,21   56. | 12+  60. [58.21],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",77,60,NATALIIA STEPANOVA,F,RUS,20+  57. | 18+  58. [58.50],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",4323,61,SOLVEIG KORHERR,F,GER,20+  57. | 12+  60. [59.75],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",6409,62,MAJA BOZICH,F,CRO,17+  62. | 17   59. [60.48],,
