Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1224,1,MAGDALENA RÖCK,F,AUT,42+  12. | 39+  9. [11.11],57+,56+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1122,2,MINA MARKOVIC,F,SLO,47+  3. | 45   3. [3.24],59+,56
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2035,3,JAIN KIM,F,KOR,47+  3. | 42+  4. [3.97],56+,56
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,315,4,ANAK VERHOEVEN,F,BEL,TOP  1. | 46   1. [1.22],59+,54
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1147,5,JANJA GARNBRET,F,SLO,48   2. | 46   1. [1.73],58+,50+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,466,6,JULIA CHANOURDIE,F,FRA,39+  21. | 40+  6. [12.75],54,45+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1139,7,TJASA KALAN,F,SLO,43   10. | 35   23. [15.87],51,45+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3426,8,ANNE-SOPHIE KOLLER,F,SUI,41+  15. | 38+  11. [14.36],54+,39
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1210,9,CHRISTINE SCHRANZ,F,AUT,43+  7. | 38+  11. [10.00],50+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,530,10,NOLWENN ARC,F,FRA,40   19. | 35   23. [21.63],50+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,455,11,HÉLÈNE JANICOT,F,FRA,46+  5. | 40   8. [6.32],48+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2251,12,YUKA KOBAYASHI,F,JPN,42+  12. | 39+  9. [11.11],48+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,467,13,SALOMÉ ROMAIN,F,FRA,42+  12. | 30+  32. [21.33],47+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1486,14,IEVGENIIA KAZBEKOVA,F,UKR,39+  21. | 37+  15. [20.00],43,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2267,15,RISA OTA,F,JPN,40   19. | 37   18. [18.99],42+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1133,16,REBEKA KAMIN,F,SLO,41+  15. | 34+  26. [21.30],42+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,456,17,MATHILDE BECERRA,F,FRA,43+  7. | 40+  6. [7.21],41+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,68,18,DINARA FAKHRITDINOVA,F,RUS,41+  15. | 37+  15. [16.25],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3984,19,NETTA FREDMAN,F,ISR,36+  30. | 35+  21. [25.61],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3888,20,ALINA RING,F,SUI,43+  7. | 38+  11. [10.00],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1222,21,KATHARINA POSCH,F,AUT,43   10. | 38+  11. [11.46],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,485,22,SOLÈNE AMOROS,F,FRA,39+  21. | 33+  30. [27.61],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1202,23,BARBARA BACHER,F,AUT,25+  35. | 35+  21. [28.20],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2324,24,KOKORO TAKATA,F,JPN,24+  40. | 37   18. [27.87],33+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,539,25,LÉA MARIGO,F,FRA,41+  15. | 37+  15. [16.25],31+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2671,26,KAJSA ROSEN,F,SWE,45+  6. | 42+  4. [5.20],22,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1724,27,DELANEY MILLER,F,USA,24+  40. | 36+  20. [28.98],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,457,28,NOLWEN BERTHIER,F,FRA,39+  21. | 30+  32. [29.58],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,860,28,CLAUDIA GHISOLFI,F,ITA,39+  21. | 30+  32. [29.58],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2270,28,YUKI HIROSHIGE,F,JPN,39+  21. | 30+  32. [29.58],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1136,31,VERONIKA MEKE,F,SLO,25+  35. | 35   23. [29.80],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,859,32,ANDREA EBNER,F,ITA,31+  32. | 34+  26. [29.90],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,977,33,SILVIA CASSOL,F,ITA,39+  21. | 25+  43. [32.79],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1249,34,LAURA STÖCKLER,F,AUT,25+  35. | 33+  30. [33.59],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,4251,35,CHIARA MARIA CLOSTERMANN,F,GER,26   34. | 30+  32. [34.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2043,36,SEURAN HAN,F,KOR,39+  21. | 17   48. [35.00],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1397,37,LENKA SLEZAKOVA,F,CZE,24   45. | 34+  26. [35.37],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,884,38,LISA DE MARTINI,F,ITA,39+  21. | 16+  51. [36.06],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3130,39,KATHERINE CHOONG,F,SUI,16+  48. | 34+  26. [36.71],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1565,40,ALANNAH YIP,F,CAN,24+  40. | 30+  32. [38.34],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3858,41,NEA HERFORTH BAEHR,F,DEN,25+  35. | 26+  42. [39.42],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,4323,42,SOLVEIG KORHERR,F,GER,36+  30. | 16+  51. [39.82],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3060,43,TINA JOHNSEN HAFSAAS,F,NOR,24+  40. | 29+  39. [40.47],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2490,44,ROXY PERRY,F,AUS,16   51. | 30+  32. [42.46],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3110,45,DENISE BERTRAM,F,GER,31+  32. | 13+  56. [42.66],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1239,46,JULIA FISER,F,AUT,25+  35. | 16+  51. [43.86],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1842,47,JULIA TALBOT,F,USA,24+  40. | 18   46. [43.95],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2277,48,MOE YOSHIMURA,F,JPN,16+  48. | 28+  41. [44.82],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1368,49,GABRIELA VRABLIKOVA,F,CZE,24   45. | 19+  44. [45.00],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2488,50,LUCINDA ANN TURNBULL,F,AUS,13   55. | 29   40. [46.90],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2055,51,MINSEON KIM,F,KOR,16   51. | 19+  44. [47.87],,
