Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1147,1,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [3.16],TOP,42+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",315,2,ANAK VERHOEVEN,BEL,TOP  1. | TOP  1. [3.16],TOP,40+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2035,3,JAIN KIM,KOR,TOP  1. | TOP  1. [3.16],44+,40+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2253,4,AKIYO NOGUCHI,JPN,TOP  1. | TOP  1. [3.16],38+,36+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1122,5,MINA MARKOVIC,SLO,34   5. | TOP  1. [4.47],44+,35+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",466,6,JULIA CHANOURDIE,FRA,28.5+  9. | 40+  8. [9.25],36+,33+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",467,7,SALOMÉ ROMAIN,FRA,27+  10. | TOP  1. [6.78],38+,29+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1226,8,JESSICA PILZ,AUT,32   6. | 39+  12. [8.83],38,21+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1224,9,MAGDALENA RÖCK,AUT,20+  14. | 40+  8. [12.33],36+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",456,10,MATHILDE BECERRA,FRA,30+  7. | TOP  1. [5.29],34+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2251,11,YUKA KOBAYASHI,JPN,20+  14. | 40+  8. [12.33],32+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2936,12,LAMU RENQING,CHN,27+  10. | 40+  8. [10.45],31+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",455,13,HÉLÈNE JANICOT,FRA,29+  8. | 37+  15. [11.14],31,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2267,14,RISA OTA,JPN,27+  10. | 39+  12. [12.23],31,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1222,15,KATHARINA POSCH,AUT,12+  21. | 33   18. [19.44],30,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2270,16,YUKI HIROSHIGE,JPN,27+  10. | 37+  15. [13.35],29+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",3984,17,NETTA FREDMAN,ISR,10   23. | 39+  12. [17.29],29+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2304,18,NATSUKO SHIMIZU,JPN,20+  14. | 34+  17. [16.49],21+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",860,19,CLAUDIA GHISOLFI,ITA,20+  14. | 23+  21. [18.55],21,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2324,20,KOKORO TAKATA,JPN,12   22. | 32+  19. [20.71],18+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2302,21,AYA KIKUZAWA,JPN,20+  14. | 32+  19. [17.66],17+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",73,22,ANNA TSYGANOVA,RUS,9+  24. | 23+  21. [23.18],16+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2941,23,DI NIU,CHN,19+  19. | 23   23. [21.18],14+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2957,24,YUZHEN BAIMA,CHN,19+  19. | 14+  25. [22.08],14+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2946,25,ZHUOMA PUBU,CHN,9+  24. | 17+  24. [24.49],12+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2988,26,RENZENG ZHUOMA,CHN,9+  24. | 10+  26. [25.50],7,
