Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing World Championships - Paris (FRA) 2016,1147,1,JANJA GARNBRET,SLO,1. [3.00],47+,TOP
IFSC Climbing World Championships - Paris (FRA) 2016,315,2,ANAK VERHOEVEN,BEL,1. [3.00],45,TOP
IFSC Climbing World Championships - Paris (FRA) 2016,1122,3,MINA MARKOVIC,SLO,1. [2.45],46+,43+
IFSC Climbing World Championships - Paris (FRA) 2016,2035,4,JAIN KIM,KOR,1. [2.45],46,43+
IFSC Climbing World Championships - Paris (FRA) 2016,1226,5,JESSICA PILZ,AUT,1. [3.00],42+,43+
IFSC Climbing World Championships - Paris (FRA) 2016,466,6,JULIA CHANOURDIE,FRA,4. [3.46],44+,25+
IFSC Climbing World Championships - Paris (FRA) 2016,1751,7,CLAIRE BUHRFEIND,USA,10. [10.17],37+,23+
IFSC Climbing World Championships - Paris (FRA) 2016,1224,7,MAGDALENA RÖCK,AUT,1. [2.45],37+,23+
IFSC Climbing World Championships - Paris (FRA) 2016,3888,9,ALINA RING,SUI,11. [11.78],37+,19
IFSC Climbing World Championships - Paris (FRA) 2016,456,10,MATHILDE BECERRA,FRA,7. [6.54],32+,
IFSC Climbing World Championships - Paris (FRA) 2016,1210,10,CHRISTINE SCHRANZ,AUT,5. [5.20],32+,
IFSC Climbing World Championships - Paris (FRA) 2016,467,12,SALOMÉ ROMAIN,FRA,4. [4.50],32,
IFSC Climbing World Championships - Paris (FRA) 2016,445,13,CHARLOTTE DURIF,FRA,12. [11.83],31+,
IFSC Climbing World Championships - Paris (FRA) 2016,2251,13,YUKA KOBAYASHI,JPN,8. [8.94],31+,
IFSC Climbing World Championships - Paris (FRA) 2016,3426,13,ANNE-SOPHIE KOLLER,SUI,5. [4.24],31+,
IFSC Climbing World Championships - Paris (FRA) 2016,1222,13,KATHARINA POSCH,AUT,7. [8.66],31+,
IFSC Climbing World Championships - Paris (FRA) 2016,328,17,HELOÏSE DOUMONT,BEL,13. [12.19],28+,
IFSC Climbing World Championships - Paris (FRA) 2016,1753,17,MARGO HAYES,USA,10. [9.49],28+,
IFSC Climbing World Championships - Paris (FRA) 2016,1724,19,DELANEY MILLER,USA,11. [11.14],27+,
IFSC Climbing World Championships - Paris (FRA) 2016,1232,19,HANNAH SCHUBERT,AUT,6. [6.00],27+,
IFSC Climbing World Championships - Paris (FRA) 2016,3060,21,TINA JOHNSEN HAFSAAS,NOR,13. [12.52],26+,
IFSC Climbing World Championships - Paris (FRA) 2016,1133,21,REBEKA KAMIN,SLO,12. [12.23],26+,
IFSC Climbing World Championships - Paris (FRA) 2016,530,23,NOLWENN ARC,FRA,8. [6.71],26,
IFSC Climbing World Championships - Paris (FRA) 2016,455,23,HÉLÈNE JANICOT,FRA,9. [7.04],26,
IFSC Climbing World Championships - Paris (FRA) 2016,642,25,MOLLY THOMPSON-SMITH,GBR,6. [5.61],25+,
