Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1147,1,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [1.41],TOP,44+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2035,2,JAIN KIM,KOR,TOP  1. | 35+  3. [2.65],TOP,43
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,642,3,MOLLY THOMPSON-SMITH,GBR,24   13. | 30+  5. [9.00],37+,33+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,466,4,JULIA CHANOURDIE,FRA,24.5   10. | 30+  5. [7.75],35,33+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1122,5,MINA MARKOVIC,SLO,34+  4. | 35+  3. [3.74],TOP,32+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,636,6,SHAUNA COXSEY,GBR,24.5+  7. | 25   11. [9.59],35,29+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1153,7,VITA LUKAN,SLO,23+  15. | 19+  17. [20.24],31,23+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,315,8,ANAK VERHOEVEN,BEL,TOP  1. | 36   2. [2.00],TOP,23
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2253,9,AKIYO NOGUCHI,JPN,24+  11. | 30+  5. [8.31],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1164,10,URSKA REPUSIC,SLO,30+  6. | 21+  15. [9.64],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3426,11,ANNE-SOPHIE KOLLER,SUI,24   13. | 25+  9. [11.32],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2278,12,MEI KOTAKE,JPN,23+  15. | 25+  9. [14.12],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2267,13,RISA OTA,JPN,24+  11. | 13+  38. [21.18],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1239,14,JULIA FISER,AUT,23+  15. | 17+  23. [24.68],30.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3840,15,STASA GEJO,SRB,24.5+  7. | 23+  13. [10.20],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1232,16,HANNAH SCHUBERT,AUT,31   5. | 17+  23. [12.04],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2294,17,MIHO NONAKA,JPN,24.5+  7. | 17+  23. [15.23],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,328,18,HELOÏSE DOUMONT,BEL,23+  15. | 22   14. [17.15],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1161,19,MIA KRAMPL,SLO,16+  51. | 27+  8. [20.20],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,68,20,DINARA FAKHRITDINOVA,RUS,23+  15. | 19+  17. [20.24],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2277,21,MOE YOSHIMURA,JPN,23+  15. | 17+  23. [24.68],30.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1130,22,KATJA DEBEVEC,SLO,23+  15. | 17+  23. [24.68],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1160,23,LUCKA RAKOVEC,SLO,23+  15. | 19+  17. [20.24],30,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,928,23,LAURA ROGORA,ITA,23+  15. | 19+  17. [20.24],30,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,147,25,VIKTORIIA MESHKOVA,RUS,23+  15. | 17+  23. [24.68],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3059,26,HANNAH MIDTBOE,NOR,22+  31. | 25   11. [19.18],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3130,27,KATHERINE CHOONG,SUI,23+  15. | 13.5+  36. [27.69],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,4301,27,MICHELLE HULLIGER,SUI,23+  15. | 13.5+  36. [27.69],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1139,29,TJASA KALAN,SLO,17+  49. | 21+  15. [27.70],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,455,30,HÉLÈNE JANICOT,FRA,20+  36. | 19+  17. [27.93],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1155,30,LANA SKUSEK,SLO,20+  36. | 19+  17. [27.93],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,530,32,NOLWENN ARC,FRA,23+  15. | 13+  38. [28.62],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1136,33,VERONIKA MEKE,SLO,22+  31. | 17+  23. [30.46],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1226,33,JESSICA PILZ,AUT,22+  31. | 17+  23. [30.46],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1259,35,EVA MARIA HAMMELMÜLLER,AUT,22   34. | 17+  23. [31.63],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,669,36,HANNAH SLANEY,GBR,23   28. | 13+  38. [33.63],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3060,37,TINA JOHNSEN HAFSAAS,NOR,20+  36. | 17+  23. [34.06],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3109,37,JOHANNA HOLFELD,GER,20+  36. | 17+  23. [34.06],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1249,37,LAURA STÖCKLER,AUT,20+  36. | 17+  23. [34.06],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,859,40,ANDREA EBNER,ITA,19+  45. | 17+  23. [36.32],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,456,41,MATHILDE BECERRA,FRA,23   28. | 10+  45. [36.92],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1148,41,TJASA SLEMENSEK,SLO,23   28. | 10+  45. [36.92],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1143,43,KAJA SKVARC BOZIC,SLO,22   34. | 11   44. [38.96],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3113,44,HANNAH MEUL,GER,20+  36. | 13   41. [40.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3122,45,FREDERIKE FELL,GER,20+  36. | 10+  45. [43.36],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,860,45,CLAUDIA GHISOLFI,ITA,20+  36. | 10+  45. [43.36],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,4328,47,ALMA BESTVATER,GER,19+  45. | 13   41. [43.71],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1224,48,MAGDALENA RÖCK,AUT,18+  47. | 13   41. [44.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,321,49,CELINE CUYPERS,BEL,20+  36. | 10   50. [44.94],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,653,50,JENNIFER WOOD,GBR,18   48. | 10+  45. [47.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1368,51,GABRIELA VRABLIKOVA,CZE,17+  49. | 10   50. [50.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1401,52,TEREZA KUBATOVA,CZE,14+  52. | 9+  52. [52.00],,
