Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1147,1,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [1.22],TOP,50+
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1226,2,JESSICA PILZ,AUT,48+  3. | 40   5. [4.18],44+,49+
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",315,3,ANAK VERHOEVEN,BEL,55   2. | TOP  1. [1.73],40,39+
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1751,4,CLAIRE BUHRFEIND,USA,43   7. | 36   10. [8.66],41+,33+
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",455,5,HÉLÈNE JANICOT,FRA,40+  10. | 32+  16. [13.87],37,31
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",462,6,MANON HILY,FRA,28+  16. | 39+  6. [12.25],37+,28
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1486,7,IEVGENIIA KAZBEKOVA,UKR,40+  10. | 35+  11. [11.96],37,28
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1210,8,CHRISTINE SCHRANZ,AUT,28+  16. | 44   3. [8.66],43,9
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1139,9,TJASA KALAN,SLO,28+  16. | 40+  4. [10.00],34+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1122,10,MINA MARKOVIC,SLO,48+  3. | 25+  28. [10.67],34+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3060,11,TINA JOHNSEN HAFSAAS,NOR,44+  5. | 25+  28. [13.37],33+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3840,12,STASA GEJO,SRB,40   13. | 32+  16. [15.08],33+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2268,13,AYA ONOE,JPN,28+  16. | 31+  20. [22.36],33+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",466,14,JULIA CHANOURDIE,FRA,28+  16. | 37+  8. [14.14],32+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",328,15,HELOÏSE DOUMONT,BEL,26   40. | 35+  11. [22.95],31,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2278,16,MEI KOTAKE,JPN,44+  5. | 35+  11. [8.46],30+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3426,17,ANNE-SOPHIE KOLLER,SUI,42+  9. | 36+  9. [9.00],30+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1222,18,KATHARINA POSCH,AUT,35   14. | 27.5+  24. [18.65],28+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1232,19,HANNAH SCHUBERT,AUT,43   7. | 38   7. [7.25],26+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3130,20,KATHERINE CHOONG,SUI,28+  16. | 30+  21. [23.18],26+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",928,21,LAURA ROGORA,ITA,28+  16. | 35+  11. [18.03],26,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1812,21,ASHIMA SHIRAISHI,USA,28+  16. | 35+  11. [18.03],26,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2270,23,YUKI HIROSHIGE,JPN,28+  16. | 32+  16. [20.92],26,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2864,24,IDA KUPS,POL,28+  16. | 30+  21. [23.18],26,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1811,25,BROOKE RABOUTOU,USA,28+  16. | 27+  25. [25.25],26,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1130,26,KATJA DEBEVEC,SLO,40+  10. | 30   23. [15.91],25+,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1249,27,LAURA STÖCKLER,AUT,35   14. | 19+  48. [27.19],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1239,28,JULIA FISER,AUT,28+  16. | 25+  28. [28.50],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",860,28,CLAUDIA GHISOLFI,ITA,28+  16. | 25+  28. [28.50],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2043,28,SEURAN HAN,KOR,28+  16. | 25+  28. [28.50],,
