Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2035,1,JAIN KIM,KOR,TOP  1. | 43+  3. [1.87],TOP,41
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1147,2,JANJA GARNBRET,SLO,43+  4. | TOP  1. [2.00],40,34+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1232,3,HANNAH SCHUBERT,AUT,44+  2. | 45+  2. [2.24],38+,34+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1226,4,JESSICA PILZ,AUT,44+  2. | 43+  3. [2.96],40+,30
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1222,5,KATHARINA POSCH,AUT,31+  10. | 33.5+  11. [12.63],32,27+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2369,6,NATSUMI HIRANO,JPN,31+  10. | 39   6. [9.33],34+,13+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3130,7,KATHERINE CHOONG,SUI,31+  10. | 35+  7. [10.77],34,13+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1122,8,MINA MARKOVIC,SLO,31+  10. | 39+  5. [8.51],32,13+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2278,9,MEI KOTAKE,JPN,31+  10. | 32   16. [15.70],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1161,10,MIA KRAMPL,SLO,33+  6. | 35+  7. [7.21],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,462,11,MANON HILY,FRA,31+  10. | 31+  19. [16.60],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1139,12,TJASA KALAN,SLO,31+  10. | 33+  12. [13.46],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1239,13,JULIA FISER,AUT,28+  21. | 33+  12. [16.96],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1155,14,LANA SKUSEK,SLO,21+  36. | 32   16. [24.91],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,328,15,HELOÏSE DOUMONT,BEL,31+  10. | 29+  23. [18.65],28,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,642,16,MOLLY THOMPSON-SMITH,GBR,34+  5. | 29   26. [11.83],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,455,17,HÉLÈNE JANICOT,FRA,28+  21. | 32+  14. [18.26],26,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3426,18,ANNE-SOPHIE KOLLER,SUI,28+  21. | 35+  7. [13.56],25+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1130,19,KATJA DEBEVEC,SLO,30   20. | 29+  23. [21.91],25+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1153,20,VITA LUKAN,SLO,33+  6. | 35   10. [8.06],25,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2294,21,MIHO NONAKA,JPN,31+  10. | 32+  14. [14.50],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1369,22,IVA ONDRA,CZE,31+  10. | 29+  23. [18.65],24,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1486,23,IEVGENIIA KAZBEKOVA,UKR,28+  21. | 32   16. [19.77],19,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1160,24,LUCKA RAKOVEC,SLO,32+  8. | 25   35. [17.49],18+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,535,25,MAËLYS AGRAPART,FRA,26+  27. | 31   20. [24.29],16+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1210,26,CHRISTINE SCHRANZ,AUT,32+  8. | 27   32. [16.62],11+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2771,27,VANDA MICHALKOVA,SVK,26+  27. | 30+  21. [25.18],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2268,27,AYA ONOE,JPN,26+  27. | 30+  21. [25.18],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,4301,29,MICHELLE HULLIGER,SUI,28+  21. | 26+  34. [27.96],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1148,30,TJASA SLEMENSEK,SLO,27   26. | 27   32. [29.07],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1400,31,ELISKA ADAMOVSKA,CZE,24+  33. | 29   26. [30.85],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3060,31,TINA JOHNSEN HAFSAAS,NOR,24+  33. | 29   26. [30.85],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2270,33,YUKI HIROSHIGE,JPN,24+  33. | 28   31. [32.47],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1164,34,URSKA REPUSIC,SLO,26+  27. | 25   35. [32.59],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3580,34,NIKKI VAN BERGEN,NED,26+  27. | 25   35. [32.59],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,316,36,CHLOE CAULIER,BEL,20   38. | 29   26. [32.62],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,697,37,JOANNA NEAME,GBR,26+  27. | 23   38. [33.48],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,977,38,SILVIA CASSOL,ITA,19+  39. | 29   26. [34.09],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1397,39,LENKA SLEZAKOVA,CZE,21+  36. | 22   39. [37.97],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1412,40,ELISKA NOVOTNA,CZE,19+  39. | 22   39. [40.49],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1577,41,REBECCA FRANGOS,CAN,19+  39. | 19+  41. [41.75],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,115,41,MARIIA MUSIENKO,RUS,19+  39. | 19+  41. [41.75],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1943,41,EMMA PALMER,USA,19+  39. | 19+  41. [41.75],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2018,44,LEONIE LOCHNER,GER,19+  39. | 18+  44. [42.73],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,1391,45,SABINA VECEROVA,CZE,17   45. | 17   45. [45.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,3921,46,ANTONIA VALENZUELA,CHI,14+  46. | 12+  46. [46.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,2488,47,LUCINDA ANN TURNBULL,AUS,13+  47. | 6   47. [47.00],,
