Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2080,1,CHAEHYUN SEO,F,KOR,TOP  1. | TOP  1. [1.50],50,34+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",3009,2,YUETONG ZHANG,F,CHN,36+  8. | 39+  4. [5.83],50,34+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1226,3,JESSICA PILZ,F,AUT,41+  4. | 26+  14. [11.12],50,34+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2380,4,AI MORI,F,JPN,35+  10. | 41+  3. [5.48],45,34+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1812,5,ASHIMA SHIRAISHI,F,USA,41+  4. | 36+  7. [6.18],42+,34+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",642,6,MOLLY THOMPSON-SMITH,F,GBR,24   54. | 36+  7. [21.91],42+,26+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1160,7,LUCKA RAKOVEC,F,SLO,42   3. | 26+  14. [9.08],49+,25+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2381,8,NATSUKI TANII,F,JPN,37+  7. | 26+  14. [13.87],52+,17+
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1147,9,JANJA GARNBRET,F,SLO,TOP  1. | TOP  1. [1.50],42,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2253,10,AKIYO NOGUCHI,F,JPN,39+  6. | 37+  6. [6.00],41.5,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1161,11,MIA KRAMPL,F,SLO,36+  8. | 26+  14. [15.29],41+,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1153,12,VITA LUKAN,F,SLO,30+  14. | 26+  14. [22.86],40+,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",561,13,CAMILLE POUGET,F,FRA,30+  14. | 26+  14. [22.86],36+,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",466,14,JULIA CHANOURDIE,F,FRA,30   25. | 38+  5. [11.40],33,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1210,15,CHRISTINE SCHRANZ,F,AUT,33+  11. | 26+  14. [17.78],32+,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",3246,16,PETRA KLINGLER,F,SUI,30+  14. | 26+  14. [22.86],32+,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2294,16,MIHO NONAKA,F,JPN,30+  14. | 26+  14. [22.86],32+,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1753,18,MARGO HAYES,F,USA,30+  14. | 26+  14. [22.86],32,
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1222,19,KATHARINA POSCH,F,AUT,30   25. | 34+  12. [17.66],31+,
