Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2080,1,CHAEHYUN SEO,F,KOR,TOP  1. | TOP  1. [5.36],TOP,TOP
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2253,2,AKIYO NOGUCHI,F,JPN,35+  5. | TOP  1. [12.69],38+,TOP
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2035,3,JAIN KIM,F,KOR,35+  5. | TOP  1. [12.69],38+,TOP
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1147,4,JANJA GARNBRET,F,SLO,TOP  1. | TOP  1. [5.36],TOP,37+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2381,5,NATSUKI TANII,F,JPN,35+  5. | TOP  1. [12.69],33.5,37+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1160,6,LUCKA RAKOVEC,F,SLO,TOP  1. | TOP  1. [5.36],33+,37+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",3009,7,YUETONG ZHANG,F,CHN,35+  5. | TOP  1. [12.69],TOP,34+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1486,8,IEVGENIIA KAZBEKOVA,F,UKR,35+  5. | TOP  1. [12.69],36+,31+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2380,9,AI MORI,F,JPN,TOP  1. | TOP  1. [5.36],33+,10+
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1239,10,JULIA FISER,F,AUT,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2369,10,NATSUMI HIRANO,F,JPN,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2070,10,LAN KIM,F,KOR,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",928,10,LAURA ROGORA,F,ITA,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",467,10,SALOMÉ ROMAIN,F,FRA,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1210,10,CHRISTINE SCHRANZ,F,AUT,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2287,10,AIKA TAJIMA,F,JPN,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",642,10,MOLLY THOMPSON-SMITH,F,GBR,35+  5. | TOP  1. [12.69],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2270,18,YUKI HIROSHIGE,F,JPN,34   24. | TOP  1. [16.61],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",3465,19,ELNAZ REKABI,F,IRI,28+  28. | TOP  1. [18.10],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",466,20,JULIA CHANOURDIE,F,FRA,35+  5. | 42+  23. [18.33],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1753,20,MARGO HAYES,F,USA,35+  5. | 42+  23. [18.33],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",328,22,HELOÏSE DOUMONT,F,BEL,35+  5. | 22+  33. [22.29],33+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",144,23,ELENA KRASOVSKAIA,F,RUS,30+  26. | TOP  1. [17.46],32,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1161,24,MIA KRAMPL,F,SLO,35+  5. | TOP  1. [12.69],18,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1812,25,ASHIMA SHIRAISHI,F,USA,35+  5. | 42+  23. [18.33],17+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2278,26,MEI KOTAKE,F,JPN,35+  5. | 22+  33. [22.29],17+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1526,27,NIKA POTAPOVA,F,UKR,27+  30. | TOP  1. [19.03],16+,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1270,28,SANDRA LETTNER,F,AUT,33+  25. | 35+  29. [26.93],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",469,29,FANNY GIBERT,F,FRA,28+  28. | 36+  27. [28.00],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",3060,30,TINA JOHNSEN HAFSAAS,F,NOR,27+  30. | 41   26. [28.62],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",147,31,VIKTORIIA MESHKOVA,F,RUS,30+  26. | 22+  33. [30.67],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1565,32,ALANNAH YIP,F,CAN,24+  35. | 36+  27. [31.02],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",693,33,EMILY PHILLIPS,F,GBR,27+  30. | 23+  32. [31.75],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2047,34,SOL SA,F,KOR,27+  30. | 22+  33. [33.44],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2139,35,HUNG YING LEE,F,TPE,23+  37. | 28   30. [33.82],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",4755,36,ALEX JOHNSON,F,USA,22+  39. | 28   30. [34.49],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2501,37,OCEANIA MACKENZIE,F,AUS,26   34. | 22+  33. [34.74],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2935,38,RONG JIANG,F,CHN,24   36. | 22   39. [37.71],,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",3209,39,ANDREA ROJAS,F,ECU,23+  37. | 22   39. [38.49],,
