Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1147,1,JANJA GARNBRET,F,SLO,1.41,42+,TOP
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1811,2,BROOKE RABOUTOU,F,USA,2.83,36.5+,40
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2253,3,AKIYO NOGUCHI,F,JPN,7.5,32+,33+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",147,4,VIKTORIIA MESHKOVA,F,RUS,10.91,35,22+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2294,5,MIHO NONAKA,F,JPN,13.23,32,22+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1153,6,VITA LUKAN,F,SLO,4.9,35+,19+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",928,7,LAURA ROGORA,F,ITA,2.0,42,13+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1160,8,LUCKA RAKOVEC,F,SLO,6.32,36.5+,13+
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2357,9,FUTABA ITO,F,JPN,19.62,31+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",466,10,JULIA CHANOURDIE,F,FRA,11.75,30+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1161,11,MIA KRAMPL,F,SLO,14.73,30+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1400,12,ELISKA ADAMOVSKA,F,CZE,16.36,30+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",12845,13,MOMOKO ABE,F,JPN,13.23,29+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",328,14,HELOÏSE DOUMONT,F,BEL,8.25,26+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3426,15,ANNE-SOPHIE KOLLER,F,SUI,10.91,26+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1155,16,LANA SKUSEK,F,SLO,13.23,26+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",467,17,SALOMÉ ROMAIN,F,FRA,24.0,26+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",11464,18,ALEKSANDRA TOTKOVA,F,BUL,9.17,24+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",462,19,MANON HILY,F,FRA,21.63,24+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",860,20,CLAUDIA GHISOLFI,F,ITA,24.74,24+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1750,21,KYRA CONDIE,F,USA,22.1,23+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1259,22,EVA MARIA HAMMELMÜLLER,F,AUT,23.14,23,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",914,23,GIORGIA TESIO,F,ITA,25.79,23,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1239,24,JULIA FISER,F,AUT,21.24,20,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1803,25,NATALIA GROSSMAN,F,USA,9.37,18+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1148,26,TJASA SLEMENSEK,F,SLO,26.06,15+,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1824,27,MAYA MADERE,F,USA,26.86,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",12846,28,MIU KAKIZAKI,F,JPN,28.98,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3594,29,LYNN VAN DER MEER,F,NED,29.52,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",55,30,EKATERINA KIPRIIANOVA,F,RUS,31.0,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3060,31,TINA JOHNSEN HAFSAAS,F,NOR,31.94,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",514,32,NINA ARTHAUD,F,FRA,32.3,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",12383,33,ARIANE FRANKEN,F,AUT,33.2,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",363,33,LUCIE WATILLON,F,BEL,33.2,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",70,33,ANNA ZAIKINA,F,RUS,33.2,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",4301,36,MICHELLE HULLIGER,F,SUI,34.19,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3424,37,KÄTHE ATKINS,F,GER,36.0,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3246,38,PETRA KLINGLER,F,SUI,36.94,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3132,39,LUISA FLOHÉ,F,GER,38.48,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",4018,40,MAYA DREAMER,F,ISR,40.19,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",12721,41,JULIA DUFFY,F,USA,42.74,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1342,42,EMILIA WARENSKI,F,AUT,43.91,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1287,43,JANA RAUTH,F,AUT,45.06,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",4320,44,ROXANA WIENAND,F,GER,45.6,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3979,45,VALERI KREMER,F,ISR,45.63,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1232,45,HANNAH SCHUBERT,F,AUT,45.63,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",4017,47,AYALA KEREM,F,ISR,47.68,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",12358,47,IZIAR MARTÍNEZ ALMENDROS,F,ESP,47.68,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1438,47,MICHAELA SMETANOVA,F,CZE,47.68,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",841,47,AIDA TORRES ILLAMOLA,F,ESP,47.68,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3098,51,SUNNIVA ØVRE-EIDE,F,NOR,48.24,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3161,52,VALENTINA AGUADO,F,ARG,50.92,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",87,52,IRINA KUZMENKO,F,RUS,50.92,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",11657,52,ANNIKA STÖCKL,F,AUT,50.92,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",11614,55,BIANCA MAGALHAES DE CASTRO,F,BRA,51.2,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",4165,56,ELZA ELIZABETE BARAKA,F,LAT,53.16,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3086,56,INGRID KINDLIHAGEN,F,NOR,53.16,,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3911,58,ALEJANDRA CONTRERAS,F,CHI,54.98,,
