Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1147,1,JANJA GARNBRET,F,SLO,5.34,47+,49+
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,2080,2,CHAEHYUN SEO,F,KOR,3.0,36,46
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1803,3,NATALIA GROSSMAN,F,USA,6.0,37+,41+
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,928,4,LAURA ROGORA,F,ITA,3.0,44+,39
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1153,5,VITA LUKAN,F,SLO,8.15,38+,39
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1160,6,LUCKA RAKOVEC,F,SLO,10.42,36+,34+
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,68,7,DINARA FAKHRITDINOVA,F,RUS,4.58,35+,31+
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,2381,8,NATSUKI TANII,F,JPN,24.17,34+,26
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1161,9,MIA KRAMPL,F,SLO,5.34,33+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1155,10,LANA SKUSEK,F,SLO,16.01,33+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,642,11,MOLLY THOMPSON-SMITH,F,GBR,10.68,32,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,12845,12,MOMOKO ABE,F,JPN,10.25,31+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,3113,13,HANNAH MEUL,F,GER,12.25,31+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1226,14,JESSICA PILZ,F,AUT,12.37,31+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,11783,15,RYU NAKAGAWA,F,JPN,12.96,31+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,530,16,NOLWENN ARC,F,FRA,18.67,31+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,12878,17,TOMONA TAKAO,F,JPN,18.67,30,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,3426,18,ANNE-SOPHIE KOLLER,F,SUI,26.15,29+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,4301,19,MICHELLE HULLIGER,F,SUI,21.77,27,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,4320,20,ROXANA WIENAND,F,GER,23.09,27,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,2278,21,MEI KOTAKE,F,JPN,3.0,20+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,467,22,SALOMÉ ROMAIN,F,FRA,12.49,20+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,11546,23,SARA COPAR,F,SLO,18.47,20+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1239,24,JULIA FISER,F,AUT,19.74,20+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1181,25,LUCIJA TARKUS,F,SLO,20.2,20+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,561,26,CAMILLE POUGET,F,FRA,20.5,20+,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1148,27,TJASA SLEMENSEK,F,SLO,26.25,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,462,28,MANON HILY,F,FRA,27.71,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,3979,29,VALERI KREMER,F,ISR,29.12,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,11684,30,LIZA NOVAK,F,SLO,31.22,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1130,31,KATJA DEBEVEC,F,SLO,32.25,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,12721,32,JULIA DUFFY,F,USA,32.47,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,3161,33,VALENTINA AGUADO,F,ARG,32.5,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,12324,34,MARTINA DEMMEL,F,GER,33.12,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,321,35,CELINE CUYPERS,F,BEL,33.99,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,914,36,GIORGIA TESIO,F,ITA,34.21,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,3424,37,KÄTHE ATKINS,F,GER,35.5,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1259,38,EVA MARIA HAMMELMÜLLER,F,AUT,36.28,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,316,39,CHLOE CAULIER,F,BEL,37.56,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,12537,40,KYLIE CULLEN,F,USA,38.65,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1914,41,QUINN MASON,F,USA,38.71,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,3132,42,LUISA FLOHÉ,F,GER,39.42,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,4002,43,NOA SHIRAN,F,ISR,42.16,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,11456,44,ASHLEY FISHER,F,USA,43.0,,
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,4116,45,ATHANASIA LIOUNI,F,GRE,44.5,,
