Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2080,1,CHAEHYUN SEO,F,KOR,1.73,TOP,TOP
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1803,2,NATALIA GROSSMAN,F,USA,2.45,TOP,37 (4:22)
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",928,3,LAURA ROGORA,F,ITA,2.45,TOP,37 (5:01)
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1226,4,JESSICA PILZ,F,AUT,13.44,41+,36+
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1811,5,BROOKE RABOUTOU,F,USA,5.48,39+,35+
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2381,6,NATSUKI TANII,F,JPN,26.52,41+,32+
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",68,7,DINARA FAKHRITDINOVA,F,CFR,7.55,39+,32+
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",467,8,SALOMÉ ROMAIN,F,FRA,16.88,40,25+
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1400,9,ELISKA ADAMOVSKA,F,CZE,8.72,39+,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",12845,10,MOMOKO ABE,F,JPN,9.8,39+,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",642,11,MOLLY THOMPSON-SMITH,F,GBR,11.94,39,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",11464,12,ALEKSANDRA TOTKOVA,F,BUL,14.62,38,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",11783,13,RYU NAKAGAWA,F,JPN,10.45,37,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1160,14,LUCKA RAKOVEC,F,SLO,4.8,35+,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",147,15,VIKTORIIA MESHKOVA,F,CFR,16.88,33+,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1153,16,VITA LUKAN,F,SLO,6.16,30,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1486,17,IEVGENIIA KAZBEKOVA,F,UKR,27.25,30,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",144,18,ELENA KRASOVSKAIA,F,CFR,20.15,29,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1161,19,MIA KRAMPL,F,SLO,9.5,28+,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",11420,20,IGNACIA MELLADO QUINTEROS,F,CHI,20.68,28+,
