Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1147,1,JANJA GARNBRET,SLO,2.12,43,42+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2080,2,CHAEHYUN SEO,KOR,1.22,42+,41+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1803,3,NATALIA GROSSMAN,USA,5.24,39+,41
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1811,4,BROOKE RABOUTOU,USA,4.06,38+,41
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2381,5,NATSUKI TANII,JPN,8.94,43+,37+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,928,6,LAURA ROGORA,ITA,3.0,39+,37+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1153,7,VITA LUKAN,SLO,11.14,38+,18+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11783,8,RYU NAKAGAWA,JPN,13.92,35+,18+
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1160,9,LUCKA RAKOVEC,SLO,15.41,35+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3113,10,HANNAH MEUL,GER,21.24,35+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,455,11,HÉLÈNE JANICOT,FRA,11.14,34,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,462,12,MANON HILY,FRA,8.0,32+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1161,13,MIA KRAMPL,SLO,8.49,32,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2357,14,FUTABA ITO,JPN,10.77,31+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,895,15,ILARIA SCOLARIS,ITA,25.69,29+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,860,16,CLAUDIA GHISOLFI,ITA,21.24,27+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,642,17,MOLLY THOMPSON-SMITH,GBR,18.47,26+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,561,18,CAMILLE POUGET,FRA,13.19,25+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13596,19,ZHILU LUO,CHN,17.86,25,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12845,20,MOMOKO ABE,JPN,22.98,23+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3424,21,KÄTHE ATKINS,GER,25.26,21,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11546,21,SARA COPAR,SLO,25.26,21,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3009,23,YUETONG ZHANG,CHN,26.41,20,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,914,24,GIORGIA TESIO,ITA,22.49,19+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2267,25,RISA OTA,JPN,11.14,17+,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,2278,26,MEI KOTAKE,JPN,8.77,17,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1486,27,IEVGENIIA KAZBEKOVA,UKR,26.46,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1400,28,ELISKA ADAMOVSKA,CZE,29.1,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12324,29,MARTINA DEMMEL,GER,30.94,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,947,29,CAMILLA MORONI,ITA,30.94,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1438,31,MICHAELA SMETANOVA,CZE,31.39,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,530,32,NOLWENN ARC,FRA,32.16,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,4002,33,NOA SHIRAN,ISR,34.21,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,467,34,SALOMÉ ROMAIN,FRA,35.23,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3426,35,ANNE-SOPHIE KOLLER,SUI,37.49,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12326,35,INA PLASSOUX DJIGA,FRA,37.49,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1750,37,KYRA CONDIE,USA,39.85,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3979,38,VALERI KREMER,ISR,39.94,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1565,39,ALANNAH YIP,CAN,41.02,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1155,40,LANA SKUSEK,SLO,41.42,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,3881,41,LIV EGLI,SUI,41.62,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1259,41,EVA MARIA HAMMELMÜLLER,AUT,41.62,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,12846,41,MIU KAKIZAKI,JPN,41.62,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1181,41,LUCIJA TARKUS,SLO,41.62,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11813,45,CLOE COSCOY,USA,43.24,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1577,46,REBECCA FRANGOS,CAN,43.57,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,575,46,VALENTINE MANGIN,FRA,43.57,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1649,46,BABETTE ROY,CAN,43.57,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1148,46,TJASA SLEMENSEK,SLO,43.57,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1239,50,JULIA FISER,AUT,45.23,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1914,51,QUINN MASON,USA,46.02,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11740,52,SANDRA HOPFENSITZ,GER,46.73,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,559,53,LUCIE VAILLANT BULTEL,FRA,48.23,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11465,54,LOUNA DESHAYES,FRA,50.73,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,4301,55,MICHELLE HULLIGER,SUI,52.14,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,1617,56,CHLOE EARLE,CAN,53.24,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11468,57,ERIN MCNEICE,GBR,53.48,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11355,58,ZIHAN HUANG,CHN,55.84,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11614,59,BIANCA MAGALHAES DE CASTRO,BRA,59.16,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11372,60,SUKMA LINTANG CAHYANI,INA,60.47,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,693,60,EMILY PHILLIPS,GBR,60.47,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,7164,60,HONGCHUN XIANG,CHN,60.47,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,4320,63,ROXANA WIENAND,GER,61.6,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,11480,64,THEA CAMERON,GBR,62.75,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13733,64,FADYA DEVI MONICA,INA,62.75,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,697,64,JOANNA NEAME,GBR,62.75,,
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,13639,67,YAJUN HUANG,CHN,63.07,,
