Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,2380,1,AI MORI,F,JPN,1.41,45+,30+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1147,2,JANJA GARNBRET,F,SLO,1.87,TOP,27+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1811,3,BROOKE RABOUTOU,F,USA,10.91,32+,23+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,2080,4,CHAEHYUN SEO,F,KOR,2.45,34+,22
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1226,5,JESSICA PILZ,F,AUT,6.32,32+,21+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1161,6,MIA KRAMPL,F,SLO,5.45,31+,21+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1803,7,NATALIA GROSSMAN,F,USA,9.89,31+,21+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,455,8,HÉLÈNE JANICOT,F,FRA,12.49,29,16+
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,642,9,MOLLY THOMPSON-SMITH,F,GBR,10.68,28+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1153,10,VITA LUKAN,F,SLO,16.52,28+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,3840,11,STASA GEJO,F,SRB,23.12,27+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,3113,12,HANNAH MEUL,F,GER,19.25,27,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,2381,13,NATSUKI TANII,F,JPN,13.86,26,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,2357,14,FUTABA ITO,F,JPN,24.82,25,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,11783,15,RYU NAKAGAWA,F,JPN,17.97,24+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1160,16,LUCKA RAKOVEC,F,SLO,8.25,24,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,928,17,LAURA ROGORA,F,ITA,13.86,20,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1130,18,KATJA DEBEVEC,F,SLO,20.95,20,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1266,19,MATTEA PÖTZI,F,AUT,21.92,19+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1155,20,LANA SKUSEK,F,SLO,24.25,19+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1565,21,ALANNAH YIP,F,CAN,18.91,19,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,462,22,MANON HILY,F,FRA,4.47,17+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1400,23,ELISKA ADAMOVSKA,F,CZE,14.46,17+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1133,24,REBEKA KAMIN,F,SLO,17.94,17,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,3594,25,LYNN VAN DER MEER,F,NED,16.43,16+,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,561,26,CAMILLE POUGET,F,FRA,20.95,DNS,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,860,27,CLAUDIA GHISOLFI,F,ITA,25.22,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1750,28,KYRA CONDIE,F,USA,25.72,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,2267,29,RISA OTA,F,JPN,26.53,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,947,30,CAMILLA MORONI,F,ITA,27.22,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,12846,31,MIU KAKIZAKI,F,JPN,29.6,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,4320,32,ROXANA WIENAND,F,GER,32.5,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1270,33,SANDRA LETTNER,F,AUT,32.53,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,3979,34,VALERI KREMER,F,ISR,35.14,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,316,35,CHLOE CAULIER,F,BEL,35.72,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1148,35,TJASA SLEMENSEK,F,SLO,35.72,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,4301,37,MICHELLE HULLIGER,F,SUI,36.12,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,4002,37,NOA SHIRAN,F,ISR,36.12,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,11823,39,OLIVIA MA,F,USA,37.15,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,3426,40,ANNE-SOPHIE KOLLER,F,SUI,37.55,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,3424,41,KÄTHE ATKINS,F,GER,38.74,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1914,42,QUINN MASON,F,USA,39.85,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,12324,43,MARTINA DEMMEL,F,GER,41.74,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,895,44,ILARIA SCOLARIS,F,ITA,41.95,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,653,45,JENNIFER WOOD,F,GBR,42.36,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1239,46,JULIA FISER,F,AUT,42.93,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,11480,47,THEA CAMERON,F,GBR,43.49,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1447,48,TEREZA SIRUCKOVA,F,CZE,44.27,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,697,49,JOANNA NEAME,F,GBR,46.9,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,11557,50,MILICA MARJANOVIC,F,SRB,47.37,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,11614,51,BIANCA MAGALHAES DE CASTRO,F,BRA,48.25,,
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1577,,REBECCA FRANGOS,F,CAN,DNS,,
