Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,56,1,EVGENII VAITSEKHOVSKII,RUS,16.830,12.58
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,48,2,SERGEI SINITCYN,RUS,16.580,13.59
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,3174,3,MANUEL ESCOBAR,VEN,15.110,13.13
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,1470,4,MAKSYM STYENKOVYY,UKR,15.990,13.19
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,3175,5,LEONEL DE LAS SALAS,VEN,18.620,15.18
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4746,6,MAKSYM OSIPOV,UKR,18.580,15.37
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,1471,7,OLEKSANDR SALIMOV,UKR,18.590,15.41
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,5761,8,OLEXIY SHULGA,UKR,18.910,17.23
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,51,9,ALEXANDER KOSTERIN,RUS,19.240,14.33
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,5181,10,IVAN SHYSHKOVSKYY,UKR,19.970,16.52
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,2167,11,CSABA KOMONDI,HUN,19.420,16.65
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,52,12,ALEXANDER PESHEKHONOV,RUS,19.310,16.87
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,1359,13,LIBOR HROZA,CZE,18.620,17.28
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,5605,14,NESTOR CARVAJAL,VEN,18.660,18.78
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4581,15,TOMASZ OLEKSY,POL,18.700,18.87
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,5863,16,ALEXANDR SHAULSKIY,RUS,18.000,19.25
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4745,17,LUKASZ SWIRK,POL,20.100,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,54,18,ANATOLY SKRIPOV,RUS,20.170,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4885,19,VALERIY VOROBYEV,RUS,20.830,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,2838,20,JEDRZEJ KOMOSINSKI,POL,21.780,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4957,21,MICHEL SIROTTI,ITA,24.980,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4778,22,LUCAS PRETI,ITA,25.030,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4681,23,MATTHIAS SCHMIDL,ITA,26.110,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,1208,24,MARK AMANN,AUT,27.550,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,4753,25,SALAH BOULBAHAIEM,BEL,29.410,
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,5776,26,PAUL STADLOBER,AUT,31.780,
