Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2929,1,QIXIN ZHONG,M,CHN,7.910,7.47
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2932,2,NING ZHANG,M,CHN,11.100,10.44
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4746,3,MAKSYM OSIPOV,M,UKR,9.870,8.75
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,51,4,ALEXANDER KOSTERIN,M,RUS,11.320,8.98
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,48,5,SERGEI SINITCYN,M,RUS,9.340,8.59
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3356,6,ALEXANDR NIGMATULIN,M,KAZ,11.020,10.17
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1470,7,MAKSYM STYENKOVYY,M,UKR,9.770,10.86
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,56,8,EVGENII VAITSEKHOVSKII,M,RUS,9.910,FALL
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1471,9,OLEKSANDR SALIMOV,M,UKR,11.260,9.45
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5463,10,GUANGPU LI,M,CHN,9.700,9.53
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4748,11,JOSMAR NIEVES,M,VEN,11.470,10.08
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4745,12,LUKASZ SWIRK,M,POL,11.350,10.30
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4778,13,LUCAS PRETI,M,ITA,11.120,10.67
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4885,14,VALERIY VOROBYEV,M,RUS,10.980,10.83
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4581,15,TOMASZ OLEKSY,M,POL,11.020,FALL
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3174,16,MANUEL ESCOBAR,M,VEN,11.220,FALL
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,52,17,ALEXANDER PESHEKHONOV,M,RUS,11.480,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3175,18,LEONEL DE LAS SALAS,M,VEN,11.600,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3359,19,NIKITA DEVYATERIKOV,M,KAZ,11.780,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5915,20,VYACHESLAV TITOV,M,KAZ,12.150,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5916,21,KOSTIANTYN PODCHESOV,M,UKR,12.440,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5863,22,ALEXANDR SHAULSKIY,M,RUS,12.540,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4957,23,MICHEL SIROTTI,M,ITA,12.590,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4681,24,MATTHIAS SCHMIDL,M,ITA,13.560,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1208,25,MARK AMANN,M,AUT,13.610,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1359,26,LIBOR HROZA,M,CZE,13.990,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5917,27,SERGEY DONETS,M,RUS,14.150,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2928,28,JINYU PAN,M,CHN,14.250,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5918,29,DMITRIY ABROSSIMOV,M,KAZ,14.720,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2167,30,CSABA KOMONDI,M,HUN,15.110,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4864,31,IVAN KAUROV,M,RUS,15.510,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5913,32,ALEXANDER TUZHILKIN,M,RUS,16.440,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,66,33,ARMAN TER-MINASYAN,M,RUS,17.920,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5919,34,VLADISLAV VALIEV,M,RUS,21.610,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4953,35,YOANN LE COUSTER,M,FRA,24.110,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4754,36,GYULA JUHASZ,M,HUN,25.350,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4753,37,SALAH BOULBAHAIEM,M,BEL,26.210,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3358,38,ARTYOM DEVYATERIKOV,M,KAZ,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5920,38,LUIS DIAZ,M,VEN,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,450,38,THOMAS DUPIN,M,FRA,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,774,38,MARCO ANTONIO JUBES ANGARITA,M,ESP,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4933,38,ALEXANDER KALINA,M,RUS,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,775,38,ERIC LOPEZ MATEOS,M,ESP,FALL,
