Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2929,1,QIXIN ZHONG,CHN,7.910,7.47
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2932,2,NING ZHANG,CHN,11.100,10.44
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4746,3,MAKSYM OSIPOV,UKR,9.870,8.75
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,51,4,ALEXANDER KOSTERIN,RUS,11.320,8.98
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,48,5,SERGEI SINITCYN,RUS,9.340,8.59
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3356,6,ALEXANDR NIGMATULIN,KAZ,11.020,10.17
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1470,7,MAKSYM STYENKOVYY,UKR,9.770,10.86
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,56,8,EVGENII VAITSEKHOVSKII,RUS,9.910,FALL
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1471,9,OLEKSANDR SALIMOV,UKR,11.260,9.45
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5463,10,GUANGPU LI,CHN,9.700,9.53
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4748,11,JOSMAR NIEVES,VEN,11.470,10.08
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4745,12,LUKASZ SWIRK,POL,11.350,10.30
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4778,13,LUCAS PRETI,ITA,11.120,10.67
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4885,14,VALERIY VOROBYEV,RUS,10.980,10.83
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4581,15,TOMASZ OLEKSY,POL,11.020,FALL
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3174,16,MANUEL ESCOBAR,VEN,11.220,FALL
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,52,17,ALEXANDER PESHEKHONOV,RUS,11.480,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3175,18,LEONEL DE LAS SALAS,VEN,11.600,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3359,19,NIKITA DEVYATERIKOV,KAZ,11.780,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5915,20,VYACHESLAV TITOV,KAZ,12.150,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5916,21,KOSTIANTYN PODCHESOV,UKR,12.440,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5863,22,ALEXANDR SHAULSKIY,RUS,12.540,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4957,23,MICHEL SIROTTI,ITA,12.590,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4681,24,MATTHIAS SCHMIDL,ITA,13.560,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1208,25,MARK AMANN,AUT,13.610,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,1359,26,LIBOR HROZA,CZE,13.990,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5917,27,SERGEY DONETS,RUS,14.150,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2928,28,JINYU PAN,CHN,14.250,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5918,29,DMITRIY ABROSSIMOV,KAZ,14.720,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,2167,30,CSABA KOMONDI,HUN,15.110,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4864,31,IVAN KAUROV,RUS,15.510,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5913,32,ALEXANDER TUZHILKIN,RUS,16.440,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,66,33,ARMAN TER-MINASYAN,RUS,17.920,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5919,34,VLADISLAV VALIEV,RUS,21.610,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4953,35,YOANN LE COUSTER,FRA,24.110,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4754,36,GYULA JUHASZ,HUN,25.350,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4753,37,SALAH BOULBAHAIEM,BEL,26.210,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,3358,38,ARTYOM DEVYATERIKOV,KAZ,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,5920,38,LUIS DIAZ,VEN,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,450,38,THOMAS DUPIN,FRA,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,774,38,MARCO ANTONIO JUBES ANGARITA,ESP,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4933,38,ALEXANDER KALINA,RUS,FALL,
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,775,38,ERIC LOPEZ MATEOS,ESP,FALL,
