Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2929,1,QIXIN ZHONG,CHN,8.110,7.35
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5233,2,XIAOJIE CHEN,CHN,9.090,8.48
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5463,3,GUANGPU LI,CHN,8.520,8.22
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2932,4,NING ZHANG,CHN,9.300,FALL
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,56,5,EVGENII VAITSEKHOVSKII,RUS,9.690,9.53
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2928,6,JINYU PAN,CHN,10.980,11.02
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,48,7,SERGEI SINITCYN,RUS,10.790,11.16
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5786,8,ALEKSEY PEROV,KAZ,10.790,11.57
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,1470,9,MAKSYM STYENKOVYY,UKR,11.540,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4746,10,MAKSYM OSIPOV,UKR,12.440,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,3360,11,ALEXEY MOLCHANOV,KAZ,13.100,
