Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,56,1,EVGENII VAITSEKHOVSKII,RUS,21.430,16.60
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3174,2,MANUEL ESCOBAR,VEN,25.350,18.54
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4885,3,VALERIY VOROBYEV,RUS,21.860,18.17
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5946,4,ANDREY SHILENBERG,RUS,25.820,22.30
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,51,5,ALEXANDER KOSTERIN,RUS,20.100,17.80
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,52,6,ALEXANDER PESHEKHONOV,RUS,22.620,19.45
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,53,7,DMITRII SHARAFUTDINOV,RUS,24.320,FALL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,48,8,SERGEI SINITCYN,RUS,21.360,FALL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5916,9,KOSTIANTYN PODCHESOV,UKR,27.230,22.39
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1470,10,MAKSYM STYENKOVYY,UKR,25.180,23.38
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3358,11,ARTYOM DEVYATERIKOV,KAZ,26.330,25.77
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,74,12,STANISLAV KOKORIN,RUS,25.130,26.37
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4778,13,LUCAS PRETI,ITA,25.870,FALL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,2932,14,NING ZHANG,CHN,26.540,FALL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3356,15,ALEXANDR NIGMATULIN,KAZ,27.000,FALL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4745,16,LUKASZ SWIRK,POL,27.220,FALL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5947,17,BOGDAN POSMASHNYY,RUS,27.720,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4746,18,MAKSYM OSIPOV,UKR,27.950,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,64,19,SERGEY ABDRAKHMANOV,RUS,28.050,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,72,20,YURY NOVITSKIY,RUS,28.610,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3175,21,LEONEL DE LAS SALAS,VEN,28.750,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5742,22,EDUARD ISMAGILOV,RUS,28.890,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,47,23,VASILY KOZLOV,RUS,29.520,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4888,24,EGOR SKACHKOV,RUS,29.590,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4744,25,IVAN NOVIKOV,RUS,29.660,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5915,26,VYACHESLAV TITOV,KAZ,29.940,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4150,27,ROLANDS RUGENS,LAT,30.030,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4882,28,ZUFAR NIGMANOV,RUS,30.300,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4933,29,ALEXANDER KALINA,RUS,30.470,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4883,30,VAGINAK SIREKANYAN,RUS,30.550,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5948,31,ALEXEY BELCHIKOV,RUS,30.630,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5917,32,SERGEY DONETS,RUS,31.340,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,83,33,GEORGY DERKACHEV,RUS,31.610,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4864,34,IVAN KAUROV,RUS,32.010,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5949,35,ANTON PODZOROV,UKR,32.190,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,57,36,STANISLAV LOBZOV,RUS,32.260,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4869,37,VLADIMIR MUSICH,RUS,32.540,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4747,38,OLEKSIY YURKO,UKR,32.770,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4887,39,YAROSLAV TOPAL,UKR,33.980,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5175,40,ALEXANDER KHOPKO,RUS,34.550,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5970,41,JANIS PRIZAVOITS,LAT,37.440,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5918,42,DMITRIY ABROSSIMOV,KAZ,37.990,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5950,43,EDUARD SABITOV,RUS,38.730,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5463,44,GUANGPU LI,CHN,FALL,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5951,44,EVGENIY SHIROKOV,RUS,FALL,
