Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,3175,1,LEONEL DE LAS SALAS,VEN,21.680,16.17
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,56,2,EVGENII VAITSEKHOVSKII,RUS,18.850,16.25
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,1470,3,MAKSYM STYENKOVYY,UKR,21.480,17.98
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,52,4,ALEXANDER PESHEKHONOV,RUS,20.380,18.82
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,48,5,SERGEI SINITCYN,RUS,18.360,16.59
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,2929,6,QIXIN ZHONG,CHN,21.540,17.97
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,4746,7,MAKSYM OSIPOV,UKR,19.890,FALL
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,3174,8,MANUEL ESCOBAR,VEN,19.330,FALL
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,4745,9,LUKASZ SWIRK,POL,23.840,18.92
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,2167,10,CSABA KOMONDI,HUN,24.910,19.88
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,2838,11,JEDRZEJ KOMOSINSKI,POL,23.890,21.11
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,4778,12,LUCAS PRETI,ITA,26.250,22.19
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,4150,13,ROLANDS RUGENS,LAT,25.480,22.21
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,4864,14,IVAN KAUROV,RUS,27.260,23.40
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,5930,15,DAVID LEDUC,BEL,25.280,26.20
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,5497,16,ALEKSEI PORTSEV,RUS,25.220,FALL
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,2822,17,JONAS BAUMANN,GER,28.080,
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,5396,18,JÉRÔME DE BOECK,BEL,31.880,
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,4753,19,SALAH BOULBAHAIEM,BEL,FALL,
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,1359,19,LIBOR HROZA,CZE,FALL,
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,5015,19,JURGEN LIS,BEL,FALL,
