Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,74,1,STANISLAV KOKORIN,M,RUS,13.740,13.92
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4745,2,LUKASZ SWIRK,M,POL,14.600,14.16
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,48,3,SERGEI SINITCYN,M,RUS,15.320,14.58
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,1359,4,LIBOR HROZA,M,CZE,15.310,FALL
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4746,5,MAKSYM OSIPOV,M,UKR,16.420,14.92
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,56,6,EVGENII VAITSEKHOVSKII,M,RUS,15.460,17.03
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4581,7,TOMASZ OLEKSY,M,POL,16.320,17.85
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,1470,8,MAKSYM STYENKOVYY,M,UKR,15.560,18.69
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,2838,9,JEDRZEJ KOMOSINSKI,M,POL,16.000,16.17
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,66,10,ARMAN TER-MINASYAN,M,RUS,18.330,17.38
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,86,11,ARSENII SHEVCHENKO,M,RUS,19.220,17.43
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4883,12,VAGINAK SIREKANYAN,M,RUS,19.860,19.20
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,856,13,LEONARDO GONTERO,M,ITA,19.940,19.34
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4744,14,IVAN NOVIKOV,M,RUS,16.420,19.39
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4882,15,ZUFAR NIGMANOV,M,RUS,16.460,FALL
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,64,16,SERGEY ABDRAKHMANOV,M,RUS,16.970,FALL
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4957,17,MICHEL SIROTTI,M,ITA,20.300,
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4971,18,GIANLUCA SIROTTI,M,ITA,21.100,
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,3174,19,MANUEL ESCOBAR,M,VEN,24.790,
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4748,20,JOSMAR NIEVES,M,VEN,26.730,
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4753,21,SALAH BOULBAHAIEM,M,BEL,29.390,
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,4972,22,JAN MODRZEJEWSKI,M,POL,30.750,
