Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",74,1,STANISLAV KOKORIN,M,RUS,19.980,14.03
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",56,2,EVGENII VAITSEKHOVSKII,M,RUS,18.570,14.57
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4746,3,MAKSYM OSIPOV,M,UKR,19.690,16.49
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4748,4,JOSMAR NIEVES,M,VEN,19.190,17.59
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",48,5,SERGEI SINITCYN,M,RUS,17.640,15.00
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2929,6,QIXIN ZHONG,M,CHN,19.460,18.22
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",64,7,SERGEY ABDRAKHMANOV,M,RUS,17.680,19.24
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4882,8,ZUFAR NIGMANOV,M,RUS,19.530,19.82
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3174,9,MANUEL ESCOBAR,M,VEN,19.710,15.75
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4744,10,IVAN NOVIKOV,M,RUS,20.470,18.34
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4581,11,TOMASZ OLEKSY,M,POL,20.120,18.78
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",76,12,ARTEM SAVELYEV,M,RUS,20.390,18.91
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2932,13,NING ZHANG,M,CHN,20.550,19.52
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",66,14,ARMAN TER-MINASYAN,M,RUS,21.160,20.37
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",1480,15,DANYIL BOLDYREV,M,UKR,21.310,20.53
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2167,16,CSABA KOMONDI,M,HUN,20.860,FALL
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",51,17,ALEXANDER KOSTERIN,M,RUS,21.570,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4883,18,VAGINAK SIREKANYAN,M,RUS,21.980,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4150,19,ROLANDS RUGENS,M,LAT,22.180,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4884,20,EVGENY ASTASHKIN,M,RUS,22.530,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",86,21,ARSENII SHEVCHENKO,M,RUS,22.800,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3359,22,NIKITA DEVYATERIKOV,M,KAZ,22.830,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4864,23,IVAN KAUROV,M,RUS,23.120,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3358,24,ARTYOM DEVYATERIKOV,M,KAZ,23.150,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4885,25,VALERIY VOROBYEV,M,RUS,23.230,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",72,26,YURY NOVITSKIY,M,RUS,23.350,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",1471,27,OLEKSANDR SALIMOV,M,UKR,23.850,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4877,28,JIACUO SUOLANG,M,CHN,23.950,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4745,29,LUKASZ SWIRK,M,POL,23.960,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4886,30,PAVLO FOYGEL,M,UKR,24.040,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",47,31,VASILY KOZLOV,M,RUS,24.420,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2838,32,JEDRZEJ KOMOSINSKI,M,POL,24.620,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",855,33,STEFANO GHISOLFI,M,ITA,25.450,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4887,34,YAROSLAV TOPAL,M,UKR,26.070,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4888,35,EGOR SKACHKOV,M,RUS,26.140,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4889,36,ALEXEY ERIKOV,M,RUS,27.230,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4869,37,VLADIMIR MUSICH,M,RUS,27.630,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4752,38,MÁTÉ GÁL,M,HUN,29.470,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3433,39,DMITRY KARAVAEV,M,BLR,29.660,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4890,40,SERGEY SOKOLOV,M,RUS,31.900,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4754,41,GYULA JUHASZ,M,HUN,35.310,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4753,42,SALAH BOULBAHAIEM,M,BEL,35.500,
