Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,856,1,LEONARDO GONTERO,M,ITA,6.930,6.60
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,48,2,SERGEI SINITCYN,M,RUS,6.900,6.74
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,1359,3,LIBOR HROZA,M,CZE,6.460,6.50
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,74,4,STANISLAV KOKORIN,M,RUS,7.220,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,2838,5,JEDRZEJ KOMOSINSKI,M,POL,7.070,6.84
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,64,6,SERGEY ABDRAKHMANOV,M,RUS,6.730,7.90
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,1480,7,DANYIL BOLDYREV,M,UKR,7.010,9.49
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,7613,8,BASSA MAWEM,M,FRA,6.920,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4745,9,LUKASZ SWIRK,M,POL,7.180,7.12
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,86,10,ARSENII SHEVCHENKO,M,RUS,8.050,7.54
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4953,11,YOANN LE COUSTER,M,FRA,8.140,7.54
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,56,12,EVGENII VAITSEKHOVSKII,M,RUS,7.030,7.70
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4952,13,ANDRES QUINTEROS,M,ECU,8.690,8.45
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4747,14,OLEKSIY YURKO,M,UKR,7.440,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,3174,15,MANUEL ESCOBAR,M,VEN,8.100,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,3208,16,ISAAC ESTEVEZ,M,ECU,8.440,FALL
