Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,856,1,LEONARDO GONTERO,ITA,6.930,6.60
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,48,2,SERGEI SINITCYN,RUS,6.900,6.74
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,1359,3,LIBOR HROZA,CZE,6.460,6.50
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,74,4,STANISLAV KOKORIN,RUS,7.220,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,2838,5,JEDRZEJ KOMOSINSKI,POL,7.070,6.84
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,64,6,SERGEY ABDRAKHMANOV,RUS,6.730,7.90
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,1480,7,DANYIL BOLDYREV,UKR,7.010,9.49
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,7613,8,BASSA MAWEM,FRA,6.920,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4745,9,LUKASZ SWIRK,POL,7.180,7.12
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,86,10,ARSENII SHEVCHENKO,RUS,8.050,7.54
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4953,11,YOANN LE COUSTER,FRA,8.140,7.54
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,56,12,EVGENII VAITSEKHOVSKII,RUS,7.030,7.70
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4952,13,ANDRES QUINTEROS,ECU,8.690,8.45
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,4747,14,OLEKSIY YURKO,UKR,7.440,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,3174,15,MANUEL ESCOBAR,VEN,8.100,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,3208,16,ISAAC ESTEVEZ,ECU,8.440,FALL
