Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",74,1,STANISLAV KOKORIN,RUS,6.480,10.00
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",1359,2,LIBOR HROZA,CZE,6.540,FALL
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2929,3,QIXIN ZHONG,CHN,6.540,6.22
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2845,4,MARCIN DZIENSKI,POL,6.600,6.45
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",1480,5,DANYIL BOLDYREV,UKR,6.950,6.47
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",1483,6,YAROSLAV GONTARYK,UKR,6.870,6.58
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",105,7,DMITRII TIMOFEEV,RUS,6.560,6.59
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",4745,8,LUKASZ SWIRK,POL,6.760,7.80
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",856,9,LEONARDO GONTERO,ITA,6.990,6.86
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",4990,10,YUHANG ZHANG,CHN,8.520,7.74
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2838,11,JEDRZEJ KOMOSINSKI,POL,7.200,8.09
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",6041,12,SAYAT BOKANOV,KAZ,7.620,8.20
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",6230,13,ALEXEY NAZAROV,KAZ,8.840,8.31
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",1485,14,VOLODYMYR ZINCHENKO,UKR,7.050,8.75
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2942,15,GUANGDONG LI,CHN,7.650,9.58
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2943,16,GUANGFENG LI,CHN,8.300,10.95
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",5026,17,LINCAI ZHONG,CHN,9.930,
