Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2929,1,QIXIN ZHONG,M,CHN,6.563,6.04
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1359,2,LIBOR HROZA,M,CZE,6.234,6.28
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",74,3,STANISLAV KOKORIN,M,RUS,6.125,7.32
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",56,4,EVGENII VAITSEKHOVSKII,M,RUS,6.406,FALL
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1480,5,DANYIL BOLDYREV,M,UKR,6.454,6.43
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",856,6,LEONARDO GONTERO,M,ITA,6.547,6.50
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",48,7,SERGEI SINITCYN,M,RUS,6.562,6.78
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",4745,8,LUKASZ SWIRK,M,POL,7.328,10.64
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1483,9,YAROSLAV GONTARYK,M,UKR,6.937,6.42
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",86,10,ARSENII SHEVCHENKO,M,RUS,6.719,6.439
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",105,11,DMITRII TIMOFEEV,M,RUS,6.625,6.56
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",3471,12,REZA ALIPOUR SHENAZANDIFARD,M,IRI,6.625,6.82
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",76,13,ARTEM SAVELYEV,M,RUS,7.328,7.42
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",6303,14,"WENG KHIT, ADRIEL CHOO",M,SGP,6.578,7.45
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2845,15,MARCIN DZIENSKI,M,POL,6.078,7.70
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2838,16,JEDRZEJ KOMOSINSKI,M,POL,6.719,FALL
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",109,17,ALEKSANDR SHIKOV,M,RUS,7.406,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",6042,18,VIACHESLAV VEDENCHUK,M,RUS,7.812,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2048,19,SUNGJOON CHAE,M,KOR,7.860,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1485,20,VOLODYMYR ZINCHENKO,M,UKR,8.750,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1559,21,SEAN MCCOLL,M,CAN,9.297,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",6304,22,YOUNGWOOK HER,M,KOR,9.906,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2037,23,PYEONGJU HWANG,M,KOR,10.265,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1214,24,JAKOB SCHUBERT,M,AUT,12.360,
