Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",86,1,ARSENII SHEVCHENKO,RUS,7.120,7.65
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",1359,2,LIBOR HROZA,CZE,6.680,FALL
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2929,3,QIXIN ZHONG,CHN,6.680,6.44
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",78,4,NIKITA SUYUSHKIN,RUS,6.870,11.85
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",856,5,LEONARDO GONTERO,ITA,6.610,8.22
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",105,6,DMITRII TIMOFEEV,RUS,6.550,99.99
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2845,7,MARCIN DZIENSKI,POL,6.620,FALL
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6298,8,IVAN ATLAROV,RUS,7.490,FALL
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",109,9,ALEKSANDR SHIKOV,RUS,7.170,7.03
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",108,10,RUSLAN FAIZULLIN,RUS,7.250,7.19
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",85,11,SERGEI LUZHETSKII,RUS,7.100,7.30
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",56,12,EVGENII VAITSEKHOVSKII,RUS,6.670,8.14
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",74,13,STANISLAV KOKORIN,RUS,6.360,8.29
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4745,14,LUKASZ SWIRK,POL,6.960,8.33
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",48,15,SERGEI SINITCYN,RUS,6.890,FALL
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6105,16,KONSTANTIN PAYL,RUS,7.250,FALL
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2838,17,JEDRZEJ KOMOSINSKI,POL,7.670,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",111,18,MAKSIM DIACHKOV,RUS,7.700,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",98,19,VLADISLAV DEULIN,RUS,7.800,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4883,19,VAGINAK SIREKANYAN,RUS,7.800,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4953,21,YOANN LE COUSTER,FRA,7.920,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6042,22,VIACHESLAV VEDENCHUK,RUS,8.410,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",66,23,ARMAN TER-MINASYAN,RUS,8.580,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",92,24,GEORGY ARTAMONOV,RUS,8.830,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6281,25,ANTON POLIAKOV,RUS,9.980,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4884,26,EVGENY ASTASHKIN,RUS,FALL,
