Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2845,1,MARCIN DZIENSKI,POL,6.261,6.23
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",1359,2,LIBOR HROZA,CZE,6.083,FALL
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",1480,3,DANYIL BOLDYREV,UKR,6.253,5.98
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",7613,4,BASSA MAWEM,FRA,6.285,6.07
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",56,5,EVGENII VAITSEKHOVSKII,RUS,6.423,6.282
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",86,6,ARSENII SHEVCHENKO,RUS,6.569,6.58
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",74,7,STANISLAV KOKORIN,RUS,6.301,7.13
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",1574,8,ROBERT STEWART-PATTERSON,CAN,6.735,8.81
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",464,9,QUENTIN NAMBOT,FRA,6.014,6.81
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",154,10,ALEKSANDR SHILOV,RUS,6.957,7.11
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2048,11,SUNGJOON CHAE,KOR,7.273,7.29
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6366,12,SEONGYEOP KU,KOR,7.758,7.76
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2042,13,SEUNGWOON CHO,KOR,7.849,9.57
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6337,14,SEUNGBIN CHOI,KOR,7.606,9.96
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2062,15,HYUNJAE KIM,KOR,7.753,9.97
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2045,16,HONGIL KIM,KOR,7.741,12.43
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",76,17,ARTEM SAVELYEV,RUS,7.956,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6367,18,DAEHYEON KWON,KOR,8.150,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2041,19,HANWOOL KIM,KOR,8.652,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6368,20,GWANSU PARK,KOR,8.796,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6304,21,YOUNGWOOK HER,KOR,8.892,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2060,22,DONGGYU SON,KOR,9.044,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2063,23,JUNGJU KIM,KOR,9.213,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",3930,24,THATTANA RAKSACHAT,THA,9.389,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6308,25,TERDPOL ARTAUI,THA,9.424,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",1559,26,SEAN MCCOLL,CAN,9.601,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",3931,27,PHANUPHONG BUNPRAKOP,THA,10.786,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",6369,28,SUPASAN THANAKORNKUL,THA,11.804,
