Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",3471,1,REZA ALIPOUR SHENAZANDIFARD,M,IRI,6.110,6.06
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",1359,2,LIBOR HROZA,M,CZE,5.710,FALL
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",7613,3,BASSA MAWEM,M,FRA,6.060,WILDCARD
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",1480,4,DANYIL BOLDYREV,M,UKR,6.200,FALSE START
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2845,5,MARCIN DZIENSKI,M,POL,6.300,6.03
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",154,6,ALEKSANDR SHILOV,M,RUS,6.260,6.16
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",74,7,STANISLAV KOKORIN,M,RUS,6.590,6.28
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2929,8,QIXIN ZHONG,M,CHN,6.370,FALSE START
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2951,9,ZHIYONG OU,M,CHN,6.990,6.86
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",464,10,QUENTIN NAMBOT,M,FRA,6.990,6.98
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",98,11,VLADISLAV DEULIN,M,RUS,7.200,7.07
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",3487,12,MORTEZA MOHAMMADI,M,IRI,7.380,7.66
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",474,13,GUILLAUME MORO,M,FRA,8.080,7.85
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2950,14,PENGHUI LIN,M,CHN,7.080,8.52
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2856,15,MICHAL LEWICKI,M,POL,7.730,13.35
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",56,16,EVGENII VAITSEKHOVSKII,M,RUS,6.880,FALL
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2938,17,ZIDA MA,M,CHN,8.520,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2063,18,JUNGJU KIM,M,KOR,8.620,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",1559,19,SEAN MCCOLL,M,CAN,9.000,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2958,20,ZHAXI BIANBA,M,CHN,10.330,
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2259,21,NAOTO HAKAMADA,M,JPN,10.650,
